"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"C774","RALN","ND","CA","0,66","4,62","0","0","0","0","0","0"
"C778","RALN","ND","CA","0","0","0","0","0","0","0,82","2,84"
"C802","PRTN","ND","CA","0","0,62","0","0","0","0","0","0"
"C811","RALN","ND","CA","0","0","0","0","0","0","2,32","0,6"
"C817","RALN","ND","CA","0","0","0","0","0","0","3,91","1"
"C824","RALN","ND","CA","0","0","0","0","0,6","0","0,99","0"
"C834","RALN","ND","CA","0","0","0","0","0","0","0,56","0"
"C835","RALN","ND","CA","0","0","0","0","0","0","1","2"
"C845","RALN","ND","CA","0","0","0","0","0,01","0","0","0"
"C881","PRTN","ND","CA","0","1,7","0","0","0","0","0","0"
"C893","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C895","RALN","ND","CA","3","3","0","0","0","0","1","5"
"C902","RALN","ND","CA","0","0,04","0","0","0","0","0","0"
"C912","PRTN","ND","CA","0","1,32","0","0","0","0","0","0"
"C923","RALN","ND","CA","4","4","0","0","0","0","5","17"
"C924","RALN","ND","CA","11","0","0","0","0","0","0","9"
"C926","RALN","ND","CA","0","0","0","0","0","0","2,78","0"
"C927","RALN","ND","CA","0","0","0","0","0","0","15","7"
"C934","RALN","ND","CA","0","0","0","0","0","0","4","6"
"C935","RALN","ND","CA","0","0","0","0","0","0","4","1"
"C946","RALN","ND","CA","0","0","0","0","0","0","0","5"
"C954","RALN","ND","CA","1,1","1","0","0","0","0","1,1","1"
"C960","RALN","ND","CA","0","0,13","0","0","0","0","0","0"
"C970","PRBZ","ND","CA","1,1","1,89","0","0","0","0","17,87","1,35"
"C972","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C975","RALN","ND","CA","3,35","1,34","0","0","0","0","0","0"
"C976","RALN","ND","CA","0","0,66","0","0","0","0","0","0"
"C977","RALN","ND","CA","0,26","0","0","0","0","0","0","0"
"C989","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1010","RALN","ND","CA","0","0","0","0","0","0","0,04","0"
"C1015","PRTN","ND","CA","0,83","0","0","0","0","0","0","0"
"C1044","RALN","ND","CA","0","0","0","0","0","0","3,52","1,81"
"C1050","RALN","ND","CA","0,51","0","0","0","0","0","0","0"
"C1070","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C1071","PRTN","ND","CA","0","2,02","0","0","0","0","0","0"
"C1078","RALN","ND","CA","0","0","0","0","0","0","3","0"
"C1083","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C1088","RALN","ND","CA","0","0","0","0","0","0","4,38","5,9"
"C1093","RALN","ND","CA","0","0","0","0","0","0","0,93","0,9"
"C1109","RALN","ND","CA","0","0","0","0","0","0","0,5","0,5"
"C1110","RALN","ND","CA","0","0","0","0","0","0","0,58","0,86"
"C1121","PRBZ","ND","CA","1","1","0","0","0","0","1","0"
"C1131","PRBZ","ND","CA","0,99","4,29","0","0","0","0","1,85","0,34"
"C1140","RALN","ND","CA","0","0","0","0","0","0","1,1","0"
"C1143","RALN","ND","CA","0","0","0","0","0","0","3,07","0,18"
"C1151","RALN","ND","CA","0","0","0","0","0","0","0,14","0"
"C1155","RALN","ND","CA","0","0","0","0","0","0","0,57","0"
"C1160","RALN","ND","CA","6,5","6","0","0","0","0","0","11,2"
