"Istituzione","Contratto","Categoria","Qualifica","Causale Assenza","Form Uomini","Form Donne","Form Media Uomini","Form Media Donne"
"U11799","SSNA","MD","SD0E33","Z01","14","10","0,304347826","0,666666667"
"U11799","SSNA","MD","SD0N33","Z01","1","0","0,5","0"
"U11799","SSNA","MD","SD0E34","Z01","15","22","0,078125","0,171875"
"U11799","SSNA","MD","SD0N34","Z01","1","0","0,071428571","0"
"U11799","SSNA","MD","SD0035","Z01","88","85","0,20754717","0,172413793"
"U11799","SSNA","MD","SD0036","Z01","9","3","0,209302326","0,272727273"
"U11799","SSNA","DS","SD0E38","Z01","0","2","0","0,4"
"U11799","SSNA","DS","SD0E12","Z01","3","10","0,75","0,416666667"
"U11799","SSNA","DS","SD0A12","Z01","0","19","0","0,333333333"
"U11799","SSNA","DS","SD0A41","Z01","2","0","1","0"
"U11799","SSNA","DS","SD0E65","Z01","0","6","0","3"
"U11799","SSNA","DP","PD0A45","Z01","5","0","1,25","0"
"U11799","SSNA","DP","PD0A03","Z01","1","1","0,333333333","0,5"
"U11799","SSNA","DA","AD0032","Z01","0","10","0","1,25"
"U11799","SSNA","DA","AD0A31","Z01","1","0","0,25","0"
"U11799","SSNA","SI","S18023","Z01","24","86","0,184615385","0,168297456"
"U11799","SSNA","SI","S16020","Z01","110","356","0,233050847","0,153912668"
"U11799","SSNA","SI","S14E52","Z01","0","8","0","0,054054054"
"U11799","SSNA","ST","S18920","Z01","23","50","0,353846154","0,458715596"
"U11799","SSNA","ST","S16021","Z01","13","39","0,103174603","0,100775194"
"U11799","SSNA","SV","S16022","Z01","0","1","0","0,166666667"
"U11799","SSNA","SF","S18922","Z01","1","24","0,076923077","0,648648649"
"U11799","SSNA","SF","S16019","Z01","6","35","0,222222222","0,360824742"
"U11799","SSNA","LT","T18027","Z01","1","13","0,090909091","6,5"
"U11799","SSNA","LT","T16026","Z01","17","3","0,404761905","0,3"
"U11799","SSNA","LT","T14007","Z01","12","7","0,2","0,636363636"
"U11799","SSNA","LT","T14E59","Z01","10","0","0,138888889","0"
"U11799","SSNA","LT","T13059","Z01","13","0","0,139784946","0"
"U11799","SSNA","LT","T13660","Z01","6","34","0,033333333","0,029059829"
"U11799","SSNA","LT","T12057","Z01","4","1","0,055555556","0,007092199"
"U11799","SSNA","LA","A18029","Z01","12","21","0,387096774","0,287671233"
"U11799","SSNA","LA","A16028","Z01","7","36","0,162790698","0,214285714"
"U11799","SSNA","LA","A14005","Z01","4","17","0,050632911","0,043256997"
"U11799","SSNA","LA","A13018","Z01","6","2","0,193548387","0,010309278"
"U10903","SSNA","MD","SD0E33","Z01","39","0","1,344827586","0"
"U10903","SSNA","MD","SD0E34","Z01","2","27","0,020408163","1,227272727"
"U10903","SSNA","DS","SD0E65","Z01","4","0","4","0"
"U10903","SSNA","DS","SD0A65","Z01","0","1","0","1"
