"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"M8653","CDIP","E1","0D0107","E1","0D0109","O","15"
"M8653","CDIP","E1","0D0108","E1","0D0107","O","19"
"M8653","CDIP","E1","0D0110","E1","0D0108","O","42"
"M8660","CFOR","DI","0D0189","DI","0D0400","O","1"
"M8660","CFOR","DI","0D0511","DI","0D0274","O","3"
"M8660","CFOR","DI","0D0194","DI","0D0511","O","7"
"M10756","CPOR","DI","0D0334","DI","0D0329","O","1"
"M10756","CPOR","DI","0D0562","DI","0D0346","O","4"
"M10756","CPOR","DI","0D0346","DI","0D0334","O","2"
"M10756","CPOR","DI","0D0345","DI","0D0562","O","5"
"M8655","CPRE","I1","0D0112","I1","0D0111","O","1"
"M8655","CPRE","I1","0D0113","I1","0D0112","O","30"
"OC9829","CSTA","G1","0D0COE","G1","0D0PSE","O","11"
"OC9829","CSTA","G1","0D0362","G1","0D0COE","O","2"
"M8659","EEII","DI","0D0323","DI","0D0328","O","4"
"M8659","EEII","DI","0D0317","DI","0D0323","O","10"
"M8659","EEII","DI","0D0218","DI","0D0317","O","41"
"M8659","EEII","DI","0D0217","DI","0D0524","O","6"
"M8668","GGFF","DI","0D0221","DI","0D0554","O","2"
"M8668","GGFF","DI","0D0220","DI","0D0221","O","7"
"M8668","GGFF","DI","0D0524","DI","0D0218","O","30"
"M8668","GGFF","DI","0D0218","DI","0D0220","O","9"
"M8668","GGFF","DI","0D0217","DI","0D0524","O","25"
"M8652","MGOR","G1","0D0MT5","G1","0D0MT4","O","196"
"M8652","MGOR","G1","0D0MT6","G1","0D0MT5","O","5"
"M8652","MGOR","G1","0D0MT7","G1","0D0MT6","O","8"
"M8652","MGOR","G1","0D0MT8","G1","0D0MT7","O","215"
"M8652","MGOR","G1","0D0MT9","G1","0D0MT8","O","315"
"M8659","MMAA","DI","0D0339","DI","0D0340","O","4"
"M8659","MMAA","DI","0D0334","DI","0D0339","O","8"
"M8659","MMAA","DI","0D0562","DI","0D0346","O","2"
"M8659","MMAA","DI","0D0346","DI","0D0334","O","33"
"M8655","PPSS","DI","0D0189","DI","0D0400","O","18"
"M8655","PPSS","DI","0D0511","DI","0D0274","O","123"
"M8655","PPSS","DI","0D0274","DI","0D0189","O","29"
"M8655","PPSS","DI","0D0194","DI","0D0189","O","1"
"M8655","PPSS","DI","0D0194","DI","0D0511","O","67"
"C3693","PRBZ","FP","0D0485","FP","0D0103","O","1"
"C7959","PRTN","FP","0D033C","FP","0D034C","O","1"
"C802","PRTN","FP","0D033C","FP","0D0S4C","O","1"
"C3003","PRTN","FP","0D0S4C","FP","0D034C","O","1"
"C4892","PRTN","FP","0D0S4C","FP","0D034C","O","1"
"C4385","PRTN","FP","0D0S4C","FP","0D033C","O","1"
"C7476","PRTN","FP","0D0S4C","FP","0D033C","O","1"
"C8197","PRTN","FP","0D0S4C","FP","0D033C","O","1"
"C8152","REFR","FP","0D0485","FP","0D0103","O","1"
"ER10673","RESA","DI","0D0I97","DI","0D0164","O","1"
"RS9203","RESA","DI","0D0I97","DI","0D0164","O","1"
"ER10673","RESA","DI","0D0IDD","DI","0D0I97","O","1"
"ER10531","RESA","DI","0D0IDD","DI","0D0I97","O","1"
"ER10538","RESA","DI","0D0IDD","DI","0D0I97","O","1"
"ER10538","RESA","DI","0D0IDD","DI","0D0164","O","3"
"ER10531","RESA","DI","0D0164","DI","0D0IDD","O","1"
"Q10328","UNIV","PR","0D0173","PR","0D0172","O","2"
"Q9174","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9186","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9130","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9131","UNIV","PR","0D0173","PR","0D0172","O","3"
"Q9137","UNIV","PR","0D0173","PR","0D0172","O","4"
"Q9188","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9140","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9189","UNIV","PR","0D0173","PR","0D0172","O","2"
"Q9143","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9145","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9146","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9147","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9148","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9149","UNIV","PR","0D0173","PR","0D0172","O","2"
"Q9151","UNIV","PR","0D0173","PR","0D0172","O","2"
"Q9154","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9155","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9159","UNIV","PR","0D0173","PR","0D0172","O","2"
"Q9162","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9182","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9164","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9166","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q10602","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9168","UNIV","PR","0D0173","PR","0D0172","O","2"
"Q9169","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9172","UNIV","PR","0D0173","PR","0D0172","O","1"
"Q9178","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9173","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9175","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9179","UNIV","PR","0D0172","PR","0D0173","O","3"
"Q9186","UNIV","PR","0D0172","PR","0D0173","O","4"
"Q9130","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9131","UNIV","PR","0D0172","PR","0D0173","O","4"
"Q9132","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9134","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9140","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9141","UNIV","PR","0D0172","PR","0D0173","O","2"
"Q9187","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9148","UNIV","PR","0D0172","PR","0D0173","O","2"
"Q9151","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9153","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9154","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9159","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9161","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9163","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9164","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9165","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q10602","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9138","UNIV","PR","0D0172","PR","0D0173","O","1"
"Q9172","UNIV","PR","0D0172","PR","0D0173","O","2"
"Q10425","UNIV","PR","0D0175","PR","0D0173","O","2"
"Q9173","UNIV","PR","0D0175","PR","0D0173","O","27"
"Q9174","UNIV","PR","0D0175","PR","0D0173","O","22"
"Q9179","UNIV","PR","0D0175","PR","0D0173","O","10"
"Q9186","UNIV","PR","0D0175","PR","0D0173","O","6"
"Q9184","UNIV","PR","0D0175","PR","0D0173","O","3"
"Q9185","UNIV","PR","0D0175","PR","0D0173","O","1"
"Q9180","UNIV","PR","0D0175","PR","0D0173","O","2"
"Q9131","UNIV","PR","0D0175","PR","0D0173","O","13"
"Q9132","UNIV","PR","0D0175","PR","0D0173","O","10"
"Q9133","UNIV","PR","0D0175","PR","0D0173","O","4"
"Q9134","UNIV","PR","0D0175","PR","0D0173","O","4"
"Q9137","UNIV","PR","0D0175","PR","0D0173","O","19"
"Q9188","UNIV","PR","0D0175","PR","0D0173","O","13"
"Q9139","UNIV","PR","0D0175","PR","0D0173","O","2"
