"Istituzione","Contratto","Categoria","Qualifica","Causale Cessazione","Uomini","Donne"
"F8522","EPNE","MD","0D0584","C01","4","0"
"F8522","EPNE","MD","0D0585","C01","3","2"
"F8522","EPNE","AP","0D0473","C01","3","1"
"F8522","EPNE","AP","0D0481","C01","3","0"
"F8522","EPNE","RE","0E0076","C01","3","0"
"F8522","EPNE","AC","046000","C01","12","2"
"F8522","EPNE","AC","045000","C01","6","2"
"F8522","EPNE","AC","043000","C01","8","1"
"F8522","EPNE","AC","042000","C01","1","1"
"F8522","EPNE","AB","034000","C01","4","2"
"F8522","EPNE","AA","025000","C01","2","1"
"F8522","EPNE","AA","023000","C01","1","0"
"F8521","EPNE","D2","0D0079","C01","3","3"
"F8521","EPNE","MD","0D0584","C01","1","0"
"F8521","EPNE","MD","0D0585","C01","5","0"
"F8521","EPNE","AP","0D0473","C01","2","0"
"F8521","EPNE","AP","0D0481","C01","3","0"
"F8521","EPNE","AP","0D0480","C01","1","0"
"F8521","EPNE","RE","0E0076","C01","1","0"
"F8521","EPNE","AC","046000","C01","35","4"
"F8521","EPNE","AC","045000","C01","25","29"
"F8521","EPNE","AC","043000","C01","12","18"
"F8521","EPNE","AC","042000","C01","13","8"
"F8521","EPNE","AC","040000","C01","1","1"
"F8521","EPNE","AB","034000","C01","4","2"
"F8521","EPNE","AB","032000","C01","3","3"
"F8521","EPNE","AB","030000","C01","2","1"
"F8521","EPNE","AA","027000","C01","1","2"
"F8521","EPNE","AA","025000","C01","3","4"
"F8521","EPNE","AA","023000","C01","11","0"
"AA8589","EPNE","AC","045000","C01","1","0"
"PN8576","EPNE","D2","0D0080","C01","1","0"
"PN8576","EPNE","AC","042000","C01","1","0"
"PN8557","EPNE","AB","034000","C01","1","0"
"PN8577","EPNE","D2","0D0080","C01","1","0"
"PN8568","EPNE","AB","032000","C01","1","0"
"E8469","EPNE","AC","042000","C01","0","1"
"E8506","EPNE","AC","043000","C01","0","1"
"IR8598","ERIC","RI","0D0089","C01","0","1"
"IR8598","ERIC","RI","0D0397","C01","0","1"
"IR8545","ERIC","RI","0D0089","C01","14","4"
"IR8545","ERIC","RI","0D0397","C01","15","4"
"IR8545","ERIC","RI","0D0093","C01","8","4"
"IR8545","ERIC","TC","0D0090","C01","1","0"
"IR8545","ERIC","TC","0D0398","C01","1","0"
"IR8545","ERIC","TC","0D0094","C01","2","0"
"IR8545","ERIC","LI","012088","C01","9","1"
"IR8545","ERIC","LI","012091","C01","1","0"
"IR8545","ERIC","LI","013087","C01","0","1"
"IR8545","ERIC","LI","014088","C01","0","1"
"IR8545","ERIC","LI","014092","C01","4","1"
"IR8545","ERIC","LI","014087","C01","1","2"
"IR8545","ERIC","LI","016092","C01","3","1"
"IR8545","ERIC","LI","016396","C01","0","2"
"IR10216","ERIC","RI","0D0089","C01","5","1"
"IR10216","ERIC","RI","0D0397","C01","3","1"
"IR10216","ERIC","RI","0D0093","C01","1","0"
"IR10216","ERIC","LI","0E0076","C01","1","0"
"IR10216","ERIC","LI","012088","C01","3","0"
"IR10216","ERIC","LI","014087","C01","0","1"
"IR10216","ERIC","LI","016092","C01","1","0"
"IR10216","ERIC","LI","016396","C01","1","2"
"IR10216","ERIC","LI","016087","C01","0","1"
"IR10216","ERIC","LI","018092","C01","1","1"
"IR10216","ERIC","LI","018396","C01","0","2"
"AA8542","ERIC","RI","0D0089","C01","10","0"
"AA8542","ERIC","RI","0D0397","C01","11","1"
"AA8542","ERIC","LI","012088","C01","3","0"
"AA8542","ERIC","LI","013087","C01","1","0"
"AA8542","ERIC","LI","013EOA","C01","0","1"
"AA8542","ERIC","LI","014092","C01","0","1"
"AA8542","ERIC","LI","018396","C01","1","0"
"IR9963","ERIC","RI","0D0397","C01","3","0"
"IR9963","ERIC","RI","0D0093","C01","1","0"
"IR9963","ERIC","LI","013088","C01","1","0"
"IR9963","ERIC","LI","014092","C01","0","2"
"F8522","ERIC","RI","0D0089","C01","0","1"
"F8522","ERIC","TC","0D0094","C01","1","0"
"F8522","ERIC","LI","012088","C01","3","1"
"F8522","ERIC","LI","012091","C01","1","1"
"F8522","ERIC","LI","013087","C01","0","1"
"IR8552","ERIC","RI","0D0089","C01","0","1"
"IR8552","ERIC","LI","012088","C01","0","1"
"IR8544","ERIC","RI","0D0089","C01","1","0"
"IR8544","ERIC","TC","0D0398","C01","1","0"
"IR8563","ERIC","RI","0D0089","C01","1","0"
"IR8563","ERIC","RI","0D0397","C01","1","0"
"IR10592","ERIC","RI","0D0089","C01","1","0"
"IR10592","ERIC","TC","0D0090","C01","0","2"
"IR10592","ERIC","D2","0D0079","C01","1","1"
"IR10592","ERIC","LI","012088","C01","1","0"
"IR10592","ERIC","LI","012091","C01","1","0"
"IR73","ERIC","RI","0D0089","C01","2","2"
"IR73","ERIC","RI","0D0397","C01","2","2"
"IR73","ERIC","TC","0D0090","C01","1","0"
"IR73","ERIC","LI","012088","C01","1","1"
"IR73","ERIC","LI","012091","C01","1","1"
"IR73","ERIC","LI","013087","C01","0","1"
"IR73","ERIC","LI","014092","C01","2","3"
"IR24","ERIC","RI","0D0089","C01","2","0"
"IR24","ERIC","TC","0D0398","C01","2","0"
"IR24","ERIC","TC","0D0094","C01","1","0"
"IR24","ERIC","D1","0D0078","C01","1","0"
"IR24","ERIC","LI","012088","C01","4","2"
"IR24","ERIC","LI","012091","C01","1","0"
"IR24","ERIC","LI","013088","C01","1","0"
"IR24","ERIC","LI","016396","C01","1","0"
"M8659","ERIC","LI","012088","C01","1","0"
"IR75","ERIC","LI","018396","C01","0","1"
"IR8550","ERIC","RI","0D0089","C01","1","0"
"IR8550","ERIC","RI","0D0397","C01","1","0"
"Q9189","UNIV","PR","0D0173","C01","1","0"
"Q9189","UNIV","PR","0D0169","C01","1","0"
"Q9189","UNIV","CC","043000","C01","0","1"
"Q9144","UNIV","PR","0D0173","C01","3","0"
"Q9144","UNIV","PR","0D0169","C01","1","1"
"Q9144","UNIV","RI","0D0177","C01","1","1"
"Q9144","UNIV","RI","0D0677","C01","1","0"
"Q9144","UNIV","CE","062000","C01","0","1"
"Q9144","UNIV","CE","061000","C01","0","1"
"Q9144","UNIV","CD","0D6000","C01","0","1"
"Q9144","UNIV","CD","052000","C01","0","1"
"Q9144","UNIV","CD","050000","C01","1","0"
"Q9144","UNIV","CC","042000","C01","1","0"
"Q9144","UNIV","CB","036000","C01","1","0"
"Q9178","UNIV","PR","0D0173","C01","2","0"
"Q9178","UNIV","PR","0D0169","C01","0","2"
"Q9178","UNIV","RI","0D0677","C01","1","0"
"Q9178","UNIV","CD","050000","C01","0","1"
"Q9178","UNIV","CC","045000","C01","1","0"
"Q9130","UNIV","PR","0D0173","C01","15","2"
"Q9130","UNIV","PR","0D0172","C01","1","0"
"Q9130","UNIV","PR","0D0169","C01","8","4"
