"Istituzione","Contratto","Categoria","Qualifica","Causale Assenza","Form Uomini","Form Donne","Form Media Uomini","Form Media Donne"
"U11799","SSNA","MD","SD0E33","Z01","22","12","0,564102564","1"
"U11799","SSNA","MD","SD0E34","Z01","50","5","0,284090909","0,041666667"
"U11799","SSNA","MD","SD0N34","Z01","1","0","0,083333333","0"
"U11799","SSNA","MD","SD0035","Z01","101","67","0,242788462","0,134808853"
"U11799","SSNA","MD","SD0036","Z01","5","0","0,12195122","0"
"U11799","SSNA","DS","SD0E12","Z01","0","1","0","0,05"
"U11799","SSNA","DS","SD0A12","Z01","10","32","1,666666667","0,64"
"U11799","SSNA","DS","SD0A15","Z01","0","5","0","0,714285714"
"U11799","SSNA","DS","SD0A41","Z01","1","1","0,5","0,166666667"
"U11799","SSNA","DS","SD0E65","Z01","0","4","0","4"
"U11799","SSNA","DS","SD0A65","Z01","0","1","0","0,125"
"U11799","SSNA","DP","PD0A03","Z01","1","0","0,5","0"
"U11799","SSNA","DT","TD0A01","Z01","0","1","0","0"
"U11799","SSNA","DA","AD0032","Z01","15","1","3,75","0,142857143"
"U11799","SSNA","DA","AD0A31","Z01","2","2","0,4","0,333333333"
"U11799","SSNA","SI","S18023","Z01","10","93","0,076923077","0,185628743"
"U11799","SSNA","SI","S16020","Z01","75","385","0,140186916","0,160617438"
"U11799","SSNA","SI","S14E52","Z01","0","7","0","0,056910569"
"U11799","SSNA","ST","S18920","Z01","27","67","0,428571429","0,644230769"
"U11799","SSNA","ST","S16021","Z01","13","32","0,104","0,082901554"
"U11799","SSNA","SV","S16022","Z01","1","0","1","0"
"U11799","SSNA","SF","S18922","Z01","0","11","0","0,305555556"
"U11799","SSNA","SF","S16019","Z01","0","16","0","0,168421053"
"U11799","SSNA","LT","T18025","Z01","0","1","0","0,166666667"
"U11799","SSNA","LT","T16024","Z01","0","1","0","0,083333333"
"U11799","SSNA","LT","T18027","Z01","3","6","0,272727273","3"
"U11799","SSNA","LT","T16026","Z01","9","3","0,230769231","0,3"
"U11799","SSNA","LT","T14007","Z01","7","4","0,118644068","0,444444444"
"U11799","SSNA","LT","T14E59","Z01","4","0","0,061538462","0"
"U11799","SSNA","LT","T13059","Z01","10","0","0,114942529","0"
"U11799","SSNA","LT","T13660","Z01","14","57","0,081871345","0,048927039"
"U11799","SSNA","LT","T12057","Z01","2","2","0,028169014","0,015037594"
"U11799","SSNA","LA","A18029","Z01","14","47","0,451612903","0,68115942"
"U11799","SSNA","LA","A16028","Z01","7","34","0,166666667","0,204819277"
"U11799","SSNA","LA","A14005","Z01","12","4","0,157894737","0,01038961"
"U10903","SSNA","MD","SD0E33","Z01","10","0","0,344827586","0"
"U10903","SSNA","MD","SD0E34","Z01","5","45","0,06097561","2,142857143"
"U10903","SSNA","MD","SD0035","Z01","450","153","2,727272727","1,843373494"
"U10903","SSNA","DS","SD0E38","Z01","0","1","0","0,333333333"
"U10903","SSNA","DS","SD0A38","Z01","0","30","0","5"
"U10903","SSNA","DS","SD0A12","Z01","1","9","0,25","1,5"
"U10903","SSNA","DS","SD0A15","Z01","0","3","0","1,5"
"U10903","SSNA","DS","SD0A65","Z01","1","5","0","5"
