"Istituzione","Contratto","Categoria","Stipendio","Ria","Tredicesima","Straordinario","Indennità Fisse","Altre Accessorie"
"M8659","AAMM","DI","44668","7097","4535","7829","32810","5644"
"IC10938","AFAM","DI","39979","0","3357","0","4918","5000"
"IC10517","AFAM","DI","39980","0","3156","0","18838","0"
"IC10570","AFAM","DI","39180","0","3265","0","3558","18803"
"OC9816","AVST","G1","81386","53127","11238","0","45304","29"
"OC9815","CCON","G1","81540","58375","11398","0","14311","573"
"M10395","CCSS","DI","44287","6017","3094","18848","25884","375"
"M8659","CCSS","DI","44964","5635","7156","15622","29394","829"
"M8666","CCSS","DI","44581","6045","8471","17629","26042","309"
"M8665","CCSS","DI","44835","10151","7434","19263","33971","407"
"M8653","CDIP","E1","59488","1435","6245","0","25877","138"
"M8660","CFOR","DI","42958","3722","6373","225","28996","894"
"M8659","CM09","DI","44835","8121","6595","12174","26177","518"
"M8668","CM09","DI","44835","4060","6260","15739","22789","7973"
"M8659","CM10","DI","54114","66","9155","0","54172","0"
"M8652","CPEN","CP","37084","3297","5682","4341","27206","404"
"M10756","CPOR","DI","44902","4065","7112","6550","29444","3145"
"M8655","CPRE","I1","57371","989","7235","0","26018","2503"
"OC9829","CSTA","G1","84504","56010","11816","0","19957","0"
"AA8582","EEII","DI","45299","3045","8160","5189","24376","27"
"M8659","EEII","DI","44978","3513","6462","6397","30401","3071"
"T10647","EN60","DI","90546","0","7546","0","236","2852"
"CS11889","EN60","DI","53999","0","8999","0","0","0"
"CS11910","EN60","DI","68542","0","6206","0","0","0"
"CS11868","EN60","DI","67500","0","16808","0","33348","4484"
"CS11877","EN60","DI","71571","0","11929","0","0","12500"
"CS10085","EN60","DI","39600","0","0","0","0","2816"
"D8372","EN60","DI","44362","7994","7138","0","33106","6965"
"D8338","EN60","DI","76770","0","6398","0","0","9479"
"D8347","EN60","DI","89849","10329","7487","0","0","4661"
"D8383","EN60","DI","45376","2093","10474","0","18398","9460"
"D8385","EN60","DI","67323","4284","5967","0","0","737"
"D8405","EN60","DI","41238","7799","7654","0","42808","7863"
"D8413","EN60","DI","78709","3816","11520","0","31010","17390"
"D8320","EN60","DI","111806","0","9304","0","0","0"
"D8365","EN60","DI","77077","0","4923","0","0","10899"
"D8380","EN60","DI","41239","12689","8463","0","47623","18638"
"D8343","EN60","DI","72297","1549","6154","0","0","11805"
"D8414","EN60","DI","55105","9880","7379","0","23165","13285"
"D8339","EN60","DI","41238","11568","7936","0","26245","0"
"D10098","EN60","DI","94832","0","5956","0","0","6385"
"D8351","EN60","DI","41238","6360","17994","0","60367","0"
"D8393","EN60","DI","79339","0","6614","0","0","0"
"D8363","EN60","DI","69692","3494","6099","0","11904","0"
"D8381","EN60","DI","40950","0","8860","0","61630","23587"
"D8407","EN60","DI","43180","5924","7465","0","40471","0"
"D8370","EN60","DI","64806","10905","13188","0","7611","591"
"D8389","EN60","DI","43126","0","2893","0","50211","22048"
"D8409","EN60","DI","72094","4412","8366","0","0","4467"
"D8395","EN60","DI","72133","9296","13571","0","0","44"
"D8410","EN60","DI","90843","0","7575","0","0","16"
"D8391","EN60","DI","43495","11463","13106","0","38039","16531"
"D8392","EN60","DI","90160","4196","7863","0","0","20167"
"D8411","EN60","DI","52637","0","3612","0","27221","0"
"D8408","EN60","DI","44362","7561","9336","0","8115","36570"
"D8376","EN60","DI","92239","5078","8285","0","0","27906"
"D10956","EN60","DI","76518","2033","7049","0","0","25384"
"D8394","EN60","DI","78680","5052","12230","0","1277","7304"
"D8364","EN60","DI","86497","4648","7375","0","0","0"
"D8312","EN60","DI","50469","7747","6535","0","20196","14257"
"D8371","EN60","DI","84721","0","7141","0","0","20290"
"D8331","EN60","DI","38066","7151","6144","0","28507","20223"
"D8314","EN60","DI","57724","2064","5048","0","0","8802"
"D8348","EN60","DI","68095","5823","5960","0","0","11786"
"D8335","EN60","DI","77422","2877","8168","0","7266","0"
"D8362","EN60","DI","60819","0","5077","0","0","22085"
"AG9845","EN60","DI","95353","0","8007","0","0","34370"
"ER11106","EN60","DI","36959","1133","6160","0","33340","9159"
"M8668","GGFF","DI","44915","4220","6356","16299","29869","4504"
"M8659","MAMI","G1","66612","57863","11767","0","14812","0"
"M8652","MGOR","G1","74057","35988","9184","0","14337","223"
"M8659","MMAA","DI","44684","3522","6759","7764","28934","98"
"M8649","PCMD","D1","51162","965","11638","0","115504","1257"
"M8652","PPEN","DI","43984","3792","5522","4408","33162","54"
"M8655","PPSS","DI","46970","3925","6584","20982","27937","1635"
"C347","PRBZ","FP","40214","6790","5841","0","27702","3912"
