"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"IP11028","SCTN","CO","SN","2,38","10,79","0","0","0","0","0","0"
"CS10225","RALN","ND","CA","1,84","0,69","0","0","0","0","0","0"
"CS10529","RALN","ND","CA","0","0,01","0","0","0","0","0","0"
"C222","RALN","ND","CA","0","0","0","0","0","0","16","5"
"C223","RALN","ND","CA","0,67","0","0","0","0","0","0","0"
"C226","RALN","ND","CA","2,67","1,59","0","0","0","0","0","0"
"C230","RALN","ND","CA","5,05","1,44","0","0","0","0","0","0"
"C231","RALN","ND","CA","0","0","0","0","0","0","0","0,88"
"C236","RALN","ND","CA","13","4","0","0","0","0","0","0"
"C243","RALN","ND","CA","0,5","0","0","0","0","0","0","0"
"C8248","RALN","ND","CA","5,5","3","0","0","0","0","0,5","0"
"C247","RALN","ND","CA","7","5","0","0","0","0","0","0"
"C250","RALN","ND","CA","0","0,61","0","0","0","0","0","0"
"C258","RALN","ND","CA","5","6","0","0","0","0","0","0"
"C262","RALN","ND","CA","6,56","1,4","0","0","0","0","0","0"
"C268","RALN","ND","CA","0,75","0,75","0","0","0","0","0","0"
"C277","RALN","ND","CA","16,8","3,14","0","0","0","0","0","0"
"C285","RALN","ND","CA","0","0","0","0","0","0","0,92","0"
"C287","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C303","RALN","ND","CA","0","0","0","0","0","0","4,25","0"
"C308","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C314","RALN","ND","CA","0","0","0","0","0","0","0","2"
"C324","RALN","ND","CA","0,61","0,06","0","0","0","0","0","0"
"C344","RALN","ND","CA","7,5","53,65","0","0","0","0","4,62","7,5"
"C345","RALN","ND","CA","0,67","4,67","0","0","0","0","0","0"
"C349","RALN","ND","CA","0,66","0","0","0","0","0","5,2","1,1"
"C359","RALN","ND","CA","0,22","1,59","0","0","0","0","0","0"
"C361","RALN","ND","CA","0,76","6,76","0","0","0","0","0,73","1,68"
"C368","RALN","ND","CA","0,77","5,33","0","0","0","0","0","0"
"C370","RALN","ND","CA","1,83","5,5","0","0","0","0","0","0"
"C378","RALN","ND","CA","0","0","0","0","0","0","0,46","0"
"C382","RALN","ND","CA","0","0","0","0","0","1","0","0"
"C384","RALN","ND","CA","0","0","0","0","0","0","0,5","0"
"C388","RALN","ND","CA","0,49","0","0","0","0","0","0","0"
"C392","RALN","ND","CA","0,68","0,68","0","0","0","0","0","0"
"C396","RALN","ND","CA","3","0","0","0","0","0","0","0"
"C397","RALN","ND","CA","0","0","0","0","0","0","0,79","0"
"C402","RALN","ND","CA","3,61","5,05","0","0","0","0","0","0"
"C405","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C408","RALN","ND","CA","0","0","0","0","0","0","2,93","1,19"
"C416","RALN","ND","CA","4,27","0","0","0","0","0","0","0"
"C422","RALN","ND","CA","6","17","0","0","0","0","13","5"
"C430","RALN","ND","CA","0,35","2,12","0","0","0","0","0,37","0"
"C437","RALN","ND","CA","0","0","0","0","0","0","2,4","1,95"
"C445","RALN","ND","CA","0","0","0","0","0","0","1","0,5"
"C456","RALN","ND","CA","0","0","0","0","0","0","0,22","0,22"
"C457","RALN","ND","CA","8","0","0","0","0","0","0","0"
"C465","RALN","ND","CA","0,83","2","0","0","0","0","0","0,67"
"C469","RALN","ND","CA","0","0","0","0","0","0","0,75","0"
"C481","PRBZ","ND","CA","1,84","9,12","0","0","0","0","0","0"
"C495","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C497","RALN","ND","CA","0","0","0","0","0","0","5","85"
"C513","PRTN","ND","CA","0","1,35","0","0","0","0,27","0","0"
"C523","RALN","ND","CA","5","8","0","0","0","0","0","0"
"C524","RALN","ND","CA","7","5","0","0","0","0","0","0"
"C539","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C540","RALN","ND","CA","0","0","0","0","0","0","6,16","2,32"
"C547","RALN","ND","CA","0","0","0","0","1","0","0","0"
"C567","RALN","ND","CA","0","0","0","0","0","0","2,21","1,53"
"C574","RALN","ND","CA","0,06","0","0","0","0","0","0","0"
"C579","RALN","ND","CA","0","0","0","0","0","0","6","36"
"C582","RALN","ND","CA","0","0","0","0","0","0","1,89","0,69"
"C600","RALN","ND","CA","10","7","0","0","0","0","1","0"
"C603","RALN","ND","CA","0,35","0","0","0","0","0","0","0"
"C609","RALN","ND","CA","0","0","0","0","0,5","0","7,41","0,64"
"C621","RALN","ND","CA","0","0","0","0","0","0","0","0,27"
"C625","RALN","ND","CA","0","0","0","0","0","0","6","0"
"C628","RALN","ND","CA","0","0","0","0","0","0","3,31","13,1"
"C629","RALN","ND","CA","0","0","0","0","0","0","7,78","0"
"C630","RALN","ND","CA","0","0","0","0","0","0","0,55","0"
"C634","RALN","ND","CA","0","0","0","0","0","0","9","1"
"C637","RALN","ND","CA","0","0","0","0","0","0","23","36"
"C642","RALN","ND","CA","0","0","0","0","0","0","0,05","0"
"C646","RALN","ND","CA","0","0","0","0","1","0","0","0"
"C651","PRBZ","ND","CA","0","3,55","0","0","0","0","0","0"
"C657","RALN","ND","CA","0,67","0,67","0","0","0","0","0","0"
"C673","RALN","ND","CA","0","0","0","0","0","0","0","1,56"
"C679","RALN","ND","CA","0","0","0","0","0","0","1,4","0"
"C685","RALN","ND","CA","0","0","0","0","0","0","2,35","1,17"
"C686","RALN","ND","CA","0,05","0,02","0","0","0","0","0","0"
"C696","RALN","ND","CA","0","0","0","0","0","0","1,12","2,24"
"C703","RALN","ND","CA","0","0","0","0","0","0","0,66","0"
"C705","RALN","ND","CA","0","0","0","0","0","0","0,28","0"
"C10363","RALN","ND","CA","0","0,91","0","0","0","0","0","0"
"C730","RALN","ND","CA","13","11,22","0","0","0","0","19,8","4,4"
"C739","RALN","ND","CA","0","0,29","0","0","0","0","0","0"
"C770","RALN","ND","CA","0","0","0","0","0","0","0,16","0,16"
"C771","PRTN","ND","CA","0","5,12","0","0","0","0","0","0"
"C774","RALN","ND","CA","0,66","4,62","0","0","0","0","0","0"
"C778","RALN","ND","CA","0","0","0","0","0","0","4","4,5"
"C789","RALN","ND","CA","0","0","0","0","0","0","0,08","0"
"C802","PRTN","ND","CA","0","0,7","0","0","0","0","0","0"
"C817","RALN","ND","CA","0","0","0","0","0","0","4,83","1"
"C824","RALN","ND","CA","0","0","0","0","0,42","0","0,99","0"
"C834","RALN","ND","CA","0","0","0","0","0","0","0,56","0"
"C835","RALN","ND","CA","1,44","1,44","0","0","0","0","0","0"
"C881","PRTN","ND","CA","0","2,67","0","0","0","0","0","0"
"C893","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C894","RALN","ND","CA","0","4,33","0","0","0","0","0","0"
"C895","RALN","ND","CA","4","5","0","0","0","0","0","0"
"C902","RALN","ND","CA","0","0,07","0","0","0","0","0","0"
"C912","PRTN","ND","CA","0","0,94","0","0","0","0","0","0"
"C923","RALN","ND","CA","1,98","3,3","0","0","0","0","2,2","9,16"
"C924","RALN","ND","CA","11","0","0","0","0","0","0","6"
"C926","RALN","ND","CA","0","0","0","0","0","0","2,66","0"
"C927","RALN","ND","CA","10,83","5,06","0","0","0","0","0","0"
"C934","RALN","ND","CA","0","0","0","0","0","0","4","6"
"C935","RALN","ND","CA","4","1","0","0","0","0","4","1"
"C946","RALN","ND","CA","1","6","0","0","0","0","0","0"
"C954","RALN","ND","CA","0","0","0","0","0","0","1,1","0"
"C970","PRBZ","ND","CA","1,02","2,64","0","0","0","0","19,72","0,98"
"C972","RALN","ND","CA","0","0","0","0","0","0","0,07","0"
"C975","RALN","ND","CA","3,35","1,11","0","0","0","0","0","0"
"C976","RALN","ND","CA","0","0,66","0","0","0","0","0","0"
"C977","RALN","ND","CA","0","0","0","0","0","0","0,29","0"
"C995","RALN","ND","CA","0","0","0","0","0","0","2","1"
"C1015","PRTN","ND","CA","0,92","0","0","0","0","0","0","0"
"C1044","RALN","ND","CA","0","0","0","0","0","0","3,6","2,79"
"C1050","RALN","ND","CA","0,73","0","0","0","0","0","0","0"
"C1070","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C1071","PRTN","ND","CA","0","2,02","0","0","0","0","0","0"
"C1078","RALN","ND","CA","2,17","0","0","0","0","0","0","0"
"C1083","RALN","ND","CA","2","2","0","0","0","0","0","0"
"C1088","RALN","ND","CA","0","0","0","0","0","0","5,49","6,49"
"C1093","RALN","ND","CA","0","0","0","0","0","0","0,33","0,4"
"C1110","RALN","ND","CA","0","0","0","0","0","0","1,86","0,57"
"C1121","PRBZ","ND","CA","1","0","0","0","0","0","1","0"
"C1131","PRBZ","ND","CA","0,63","3,43","0","0","0","0","1,61","0,5"
"C1140","RALN","ND","CA","0","0","0","0","0","0","1,1","0"
"C1143","RALN","ND","CA","0","0","0","0","0","0","0,31","0"
"C1149","RALN","ND","CA","0","0","0","0","0","0","0,32","0"
"C1160","RALN","ND","CA","6,5","6","0","0","0","0","0","11,2"
"C1177","PRBZ","ND","CA","0,55","0,13","0","0","0","0","2,7","0"
"C1181","RALN","ND","CA","0","0","0","0","0","0","8,98","3,99"
"C1186","RALN","ND","CA","3,49","3,61","0","0","0","0","0","0"
"C1189","RALN","ND","CA","0","1,33","0","0","0","0","0","0"
"C1192","RALN","ND","CA","0","0","0","0","0","0","6,75","0"
"C1202","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1213","RALN","ND","CA","0","0","0","0","0","0","0","5"
"C1216","RALN","ND","CA","2,22","0","0","0","0","0","0","0"
"C1220","RALN","ND","CA","0","0","0","0","0","0","0,28","0"
"C1228","RALN","ND","CA","0","7","0","0","0","0","0","0"
"C1249","RALN","ND","CA","0","2","0","0","0","0","0","0"
"C1257","RALN","ND","CA","0","0","0","0","0","0","1,22","0"
"C1260","RALN","ND","CA","0","0","0","0","0","0","0,87","1,08"
"C1267","RALN","ND","CA","0,04","0","0","0","0","0","0","0"
"C1270","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C1271","RALN","ND","CA","0","0","0","0","0","0","2","4"
"C1276","RALN","ND","CA","0","0","0","0","0","0","2,88","1,44"
"C1278","RALN","ND","CA","0","0","0","0","0","0","13","3"
"C1279","RALN","ND","CA","0","0","0","0","2","1","0","0"
"C1282","RALN","ND","CA","4","4","0","0","0","0","0","0"
"C1287","RALN","ND","CA","0","0","0","0","2","0","0","0"
"C1290","RALN","ND","CA","0","0","0","0","0","0","0,6","0"
"C1291","PRTN","ND","CA","0","0,29","0","0","0","0","0","0"
"C1299","RALN","ND","CA","0","0","0","0","0","0","3,03","0,59"
"C1302","PRBZ","ND","CA","0","0","0","0","0","0","1","0,1"
"C1305","PRTN","ND","CA","0,5","0","0","0","0","0","0","0"
"C1307","RALN","ND","CA","0","0","0","0","0","0","2","2"
"C1314","RALN","ND","CA","0,16","0","0","0","0","0","0","0"
"C1315","RALN","ND","CA","0","0","0","0","0","0","22","0"
"C1319","PRTN","ND","CA","0","1,09","0","0","0","0","0","0"
"C1323","RALN","ND","CA","2","8","0","0","0","0","0","0"
"C1324","RALN","ND","CA","0,68","0,68","0","0","0","0","7","1,56"
"C1325","RALN","ND","CA","4,66","2","0","0","0","0","0","0"
"C1327","RALN","ND","CA","1,13","2,22","0","0","0","0","14","0"
"C1330","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C1334","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1337","RALN","ND","CA","0","0","0","0","0","0","0,11","0,18"
"C1341","RALN","ND","CA","0","0","0","0","0","0","4","1,33"
"C1346","RALN","ND","CA","0","0","0","0","0","0","8","2"
"C1347","RALN","ND","CA","0","0","0","0","0","0","0","0,44"
"C1351","RALN","ND","CA","2,72","1,36","0","0","0","0","0","0"
"C1366","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1368","RALN","ND","CA","1","0","0","0","0","0","1","0"
"C1373","RALN","ND","CA","9","4","0","0","0","0","1","1"
"C1384","RALN","ND","CA","1,44","1,44","0","0","0","0","0,12","0,12"
"C1389","RALN","ND","CA","0,1","0","0","0","0","0","2,24","0"
"C1406","RALN","ND","CA","0","0","0","0","0","0","1,4","0"
"C1409","PRBZ","ND","CA","0","0,5","0","0","0","0","0","0"
"C1445","PRBZ","ND","CA","0","0,77","0","0","0","0","1,9","0"
"C1401","RALN","ND","CA","2,67","0","0","0","0","0","1,11","0"
"C1412","RALN","ND","CA","0","0","0","0","0","0","0,91","0"
"C1415","RALN","ND","CA","1,36","0","0","0","0","0","0","0"
"C1417","RALN","ND","CA","6","6","0","0","0","0","0","0"
"C1434","RALN","ND","CA","4,66","14","0","0","0","0","0","0"
"C1439","RALN","ND","CA","0","0","0","0","0","0","0,59","0,33"
"C1441","RALN","ND","CA","0","0","0","0","0","0","5","0"
"C1453","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1461","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1471","RALN","ND","CA","2,1","5,63","0","0","0","0","0","0"
"C1474","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C1476","RALN","ND","CA","0","0","0","0","0","0","5","0"
"C1477","RALN","ND","CA","0","0","0","0","0","0","1,5","0"
"C1483","RALN","ND","CA","0","2","0","0","0","0","0","0,5"
"C1490","RALN","ND","CA","0","0","0","0","0","0","0","0,55"
"C1494","RALN","ND","CA","0","0","0","0","0","0","0","0,55"
"C1507","RALN","ND","CA","0","3","0","0","0","0","0","0"
"C1515","RALN","ND","CA","5","5","0","0","0","0","0","0"
"C1517","RALN","ND","CA","1","1","0","0","0","0","0","0"
"C1518","RALN","ND","CA","2,03","0","0","0","0","0","0","0"
"C1522","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1523","RALN","ND","CA","6,33","4","0","0","0","0","0,91","5,2"
"C1533","RALN","ND","CA","0","0","0","0","0","0","0,83","0,42"
"C1536","RALN","ND","CA","0","0","0","0","0","0","1,24","1,11"
"C1549","RALN","ND","CA","0","0","0","0","0","0","2,22","2,24"
"C1551","PRTN","ND","CA","0","0,48","0","0","0","0","0","0"
"C1567","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C1570","RALN","ND","CA","0","0","0","0","0","0","0,67","0"
"C1593","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C1597","RALN","ND","CA","2,89","0,72","0","0","0","0","0","0"
"C1598","RALN","ND","CA","0,72","0","0","0","0","0","0","0"
