"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"M8660","CFOR","DI","0D0274","IP","017837","V","2"
"M8660","CFOR","DI","0D0194","TS","0D0574","V","2"
"C476","REVA","FP","0D0102","DI","0D0164","V","1"
"AA57","UCAM","DI","0D0164","AC","000476","V","1"
"Q9158","UNIV","PR","0D0169","RI","0D0177","V","1"
"Q9146","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9147","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9178","UNIV","RI","0D0177","PR","0D0169","V","25"
"Q9173","UNIV","RI","0D0177","PR","0D0169","V","135"
"Q9174","UNIV","RI","0D0177","PR","0D0169","V","36"
"Q9181","UNIV","RI","0D0177","PR","0D0169","V","41"
"Q9179","UNIV","RI","0D0177","PR","0D0169","V","29"
"Q9186","UNIV","RI","0D0177","PR","0D0169","V","48"
"Q9135","UNIV","RI","0D0177","PR","0D0169","V","4"
"Q9184","UNIV","RI","0D0177","PR","0D0169","V","21"
"Q9185","UNIV","RI","0D0177","PR","0D0169","V","9"
"Q9130","UNIV","RI","0D0177","PR","0D0169","V","87"
"Q9180","UNIV","RI","0D0177","PR","0D0169","V","8"
"Q9131","UNIV","RI","0D0177","PR","0D0169","V","66"
"Q9132","UNIV","RI","0D0177","PR","0D0169","V","48"
"Q9133","UNIV","RI","0D0177","PR","0D0169","V","38"
"Q9134","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9136","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9137","UNIV","RI","0D0177","PR","0D0169","V","37"
"Q9188","UNIV","RI","0D0177","PR","0D0169","V","20"
"Q9139","UNIV","RI","0D0177","PR","0D0169","V","22"
"Q9140","UNIV","RI","0D0177","PR","0D0169","V","9"
"Q9141","UNIV","RI","0D0177","PR","0D0169","V","146"
"Q9142","UNIV","RI","0D0177","PR","0D0169","V","47"
"Q9187","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9143","UNIV","RI","0D0177","PR","0D0169","V","39"
"Q9145","UNIV","RI","0D0177","PR","0D0169","V","17"
"Q9146","UNIV","RI","0D0177","PR","0D0169","V","31"
"Q9147","UNIV","RI","0D0177","PR","0D0169","V","164"
"Q9148","UNIV","RI","0D0177","PR","0D0169","V","37"
"Q9149","UNIV","RI","0D0177","PR","0D0169","V","141"
"Q9171","UNIV","RI","0D0177","PR","0D0169","V","3"
"Q9170","UNIV","RI","0D0177","PR","0D0169","V","13"
