"Istituzione","Contratto","Categoria","Qualifica","Causale Cessazione","Uomini","Donne"
"M8659","SCLA","DO","016132","C01","3","1"
"M10398","SCLA","SD","0D0158","C01","176","148"
"M10398","SCLA","DO","016132","C01","725","872"
"M10398","SCLA","DO","016135","C01","355","924"
"M10398","SCLA","DO","014154","C01","84","1458"
"M10398","SCLA","DO","014155","C01","2","646"
"M10398","SCLA","DO","014143","C01","107","37"
"M10398","SCLA","DO","014646","C01","13","6"
"M10398","SCLA","IS","016630","C01","10","29"
"M10398","SCLA","IS","016638","C01","35","119"
"M10398","SCLA","IS","014634","C01","5","96"
"M10398","SCLA","IS","014714","C01","0","17"
"M10398","SCLA","IS","014656","C01","7","6"
"M10398","SCLA","SA","013159","C01","56","35"
"M10398","SCLA","SA","012117","C01","103","198"
"M10398","SCLA","SA","012119","C01","105","37"
"M10398","SCLA","SA","012125","C01","2","4"
"M10398","SCLA","SA","011121","C01","753","909"
"M10398","SCLA","SR","016139","C01","26","47"
"M10398","SCLA","SR","014138","C01","2","40"
"C963","SCLA","DO","014154","C01","1","0"
"RS9208","SCLA","DO","016132","C01","1","0"
"RS9208","SCLA","DO","016135","C01","0","2"
"RS9208","SCLA","DO","014154","C01","0","1"
"P9112","AFAM","PR","018P01","C01","2","3"
"M10398","AFAM","PR","018P01","C01","71","39"
"M10398","AFAM","PR","016P02","C01","2","1"
"M10398","AFAM","EP","013504","C01","0","1"
"M10398","AFAM","EP","013159","C01","1","0"
"M10398","AFAM","PA","012117","C01","2","7"
"M10398","AFAM","PA","011121","C01","8","13"
"IC10570","AFAM","PR","018P01","C01","0","1"
"IC10844","AFAM","PR","018P01","C01","2","0"
"IC10832","AFAM","PR","018P01","C01","0","1"
"AG10325","MNST","D2","0D0080","C01","1","0"
"AG10325","MNST","3A","043F04","C01","0","1"
"AG10325","MNST","2A","035F04","C01","0","1"
"OC9816","MNST","3A","044F05","C01","0","1"
"OC9816","MNST","3A","041F02","C01","1","1"
"OC9816","MNST","2A","035F04","C01","2","1"
"OC9816","MNST","2A","034F03","C01","0","2"
"OC9816","MNST","2A","032F02","C01","1","2"
"OC9816","MNST","2A","030F01","C01","0","1"
"OC9816","MNST","1A","024F03","C01","1","0"
"OC9829","MNST","2A","035F05","C01","1","3"
"OC9829","MNST","2A","035F04","C01","0","2"
"OC9829","MNST","2A","034F03","C01","0","1"
"OC9829","MNST","2A","032F02","C01","0","1"
"OC9815","MNST","3A","044F06","C01","2","0"
"OC9815","MNST","3A","043F04","C01","1","2"
"OC9815","MNST","3A","042F03","C01","3","2"
"OC9815","MNST","3A","041F02","C01","1","0"
"OC9815","MNST","3A","040F01","C01","1","0"
"OC9815","MNST","2A","035F05","C01","1","0"
"OC9815","MNST","2A","035F04","C01","1","2"
"OC9815","MNST","2A","034F03","C01","2","1"
"OC9815","MNST","2A","032F02","C01","5","1"
"M8653","MNST","D2","0D0079","C01","0","1"
"M8653","MNST","3A","044F05","C01","3","1"
"M8653","MNST","3A","043F04","C01","9","8"
"M8653","MNST","3A","042F03","C01","4","2"
"M8653","MNST","3A","041F02","C01","4","5"
"M8653","MNST","3A","040F01","C01","3","2"
"M8653","MNST","2A","035F04","C01","3","9"
"M8653","MNST","2A","034F03","C01","10","9"
