ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;TELE_LAVORO_UOMINI;TELE_LAVORO_DONNE;SOGGETTI_TURNAZIONE_UOMINI;SOGGETTI_TURNAZIONE_DONNE;SOGGETTI_REPERIBILITà_UOMINI;SOGGETTI_REPERIBILITà_DONNE
C6951;RALN;ND;CA;0;0;0;0;6;0
C6951;RALN;ND;CC;0;0;7;2;11;2
C6951;RALN;ND;CB;0;0;0;0;5;2
C6951;RALN;ND;CD;0;0;1;0;0;0
C2307;PRBZ;NF;CB;0,26;0;2;0;3;0
C2307;PRBZ;NF;CC;0;0;1;0;1;0
C2307;PRBZ;NF;CA;0;0;0;0;4;0
C5839;RALN;ND;CD;0;0;1;0;1;2
C5839;RALN;ND;CA;0;0;0;0;2;0
C5839;RALN;ND;CC;0;0;7;7;4;1
C5839;RALN;ND;CB;0;0;4;0;10;0
C1003;RALN;ND;CC;0;0;5;4;5;1
C1003;RALN;ND;CD;0;0;1;0;1;0
C6071;RALN;ND;CC;0;0;2;0;3;0
C6071;RALN;ND;CB;0;0;1;0;1;0
C7478;RALN;ND;CC;0;0;4;1,5;4;1,5
C7478;RALN;ND;CA;0;0;1;0;0;0
C5925;PRBZ;NF;CB;0;0;0;5;0;0
C5925;PRBZ;NF;CA;0;0;0;1;1;0
C5925;PRBZ;NF;CD;0;0;0;2;0;0
C8139;PRBZ;NF;CB;0;0;0;0;11;0
CS10265;RALN;ND;CB;0;0;3;25;3;25
P9044;RALN;ND;CC;0;0;0;0;12;0
P9044;RALN;ND;CB;0;0;0;0;27;0
P9044;RALN;ND;CD;0;0;0;0;5;0
C3584;RALN;ND;CD;0;0;0;0;1;1
C3584;RALN;ND;CA;0;0;3;3;0;0
C3584;RALN;ND;CC;0;0;15;2;0;0
C3584;RALN;ND;CB;0;0;2;0;0;1
C5090;RALN;ND;CC;0;0;1;0;0;0
U9463;SSNA;ME;LT;0;0;24;17;0;0
U9463;SSNA;ME;SI;0;0;160;218;108;72
U9463;SSNA;ME;ST;0;0;22;8;24;11
C4783;RALN;ND;CC;0;0;2;1;0;0
C5112;RALN;ND;CB;0;0;0;0;4;0
C5112;RALN;ND;CC;0;0;4;4;2;0
C5112;RALN;ND;CD;0;0;1;0;0;1
C1063;RALN;ND;CC;0;0;8;1;0;0
C1063;RALN;ND;CB;0;0;0;0;2;0
C7708;RALN;ND;CB;0;0;0;0;34;4
