ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ESONERI_INTERNO_70%_UOMINI;ESONERI_INTERNO_70%_DONNE
C7242;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C594;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5640;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C7116;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5456;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1558;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7962;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6603;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1544;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1293;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1951;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C4984;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5655;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7714;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6278;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C8067;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7726;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C8084;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1486;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C7582;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C5094;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C661;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C301;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C291;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6768;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C2801;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2023;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7522;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3094;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1830;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7658;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1898;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
UC10894;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2106;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C731;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7718;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5326;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2598;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C2991;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C318;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5466;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1678;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C650;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C767;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7003;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C1171;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1422;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1016;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C7036;RALN;FP;0D0103;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C723;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5770;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2251;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2321;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C889;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C900;RALN;FP;0D0103;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
