ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
Q9180;UNIV;ND;CC;0;0;0;0;0;3,83;0;0
C6951;RALN;ND;CB;9;17,33;0;0;0;0;0;0
C6951;RALN;ND;CC;6;20;0;0;0;0;0;0
C6310;RALN;ND;CC;0;0,6;0;0;0;0;0;0
C6310;RALN;ND;CB;0;0,41;0;0;0;0;0;0
C2307;PRBZ;NF;CB;0;1;0,21;0,71;0;0;0;0
C2307;PRBZ;NF;CA;0,38;2,42;0;0;0;0;0;0
C2307;PRBZ;NF;CD;0;0,08;0;0;0;0;0;0
C5839;RALN;ND;CD;0;0,38;0;0;0;0;0;0
C5839;RALN;ND;CC;0;0,88;0;0;0;0;0;0
C3044;RALN;ND;CA;0;0;0;0;0;0;3;7
C3044;RALN;ND;CC;0;0;0;0;0;0;0;3
C3044;RALN;ND;CB;0;0;0;0;0;0;3;6
C1003;RALN;ND;CB;0;0;0;0;0,14;0;0;0
C6071;RALN;ND;CB;0;2,5;0;0;0;0;0;0
C6071;RALN;ND;CA;1,1;4,9;0;0;0;0;0;0
C6071;RALN;ND;CD;0,14;0;0;0;0;0;0;0
C4013;RALN;ND;CC;0;0;0;0;0;0;2;1
C7309;RALN;ND;CD;0,33;0;0;0;0;0;0;0
C7583;RALN;ND;CB;0;0;0;0;0;0,47;0;0
C7478;RALN;ND;CA;0;0;0;0;0;0;0,25;0
C7478;RALN;ND;CD;0;0;0;0;0;0,55;0;0
C7478;RALN;ND;CC;0,11;0,11;0;0;0;0;0;0
C5925;PRBZ;NF;CB;0;8,85;0;0;0;0;0;0
C5925;PRBZ;NF;CD;1,89;2;0;0;0;0;0;0
C5925;PRBZ;NF;CA;1;2,71;0;0;0;0;0;0
C5925;PRBZ;NF;CC;1;1;0;0;0;0;0;0
C8139;PRBZ;NF;CC;2;1;0;0;0;0;0;0
C8139;PRBZ;NF;CD;0;0,85;0;0;0;0;0;0
C8139;PRBZ;NF;CB;1,43;1,84;0;0;0;0;0;0
CS10265;RALN;ND;CD;0;0,76;0;0;0;0,09;0;0
CS10265;RALN;ND;CC;0,61;1,88;0;0;0;0;0;0
CS10265;RALN;ND;CB;0,31;4,23;0;0;0;0;0;0
Q9171;UNIV;ND;CC;0;0;0;0;0;2,54;0;0
Q9171;UNIV;ND;CB;1;0;0;0;0;0;0;0
Q9171;UNIV;ND;AL;5,25;20,9;0;0;0;0;0;0
C610;RALN;ND;CD;0;0;0;0;0;0;3,17;0
P9044;RALN;ND;CB;0;0;0;0;1;1;0;0
P9044;RALN;ND;CC;0;0;0;0;30,34;49,4;0;0
C2496;RALN;ND;PC;0;0;0;0;0;0;1;7
C3584;RALN;ND;CC;1,46;0,45;0;0;0;0;5;3
C3584;RALN;ND;CA;0;0;0;0;0;0;3;2
C3584;RALN;ND;CB;0,56;0;0;0;0;0;2;0
D8381;EN60;ND;LI;0,25;0,25;0;0;0;0,25;0;0
U9463;SSNA;ME;LT;12;27;0;0;9;17;0;0
U9463;SSNA;ME;ST;0;0;0;0;6;6;0;0
U9463;SSNA;ME;LA;0;0;0;0;13;13;0;0
U9463;SSNA;ME;SF;0;1;0;0;0;3;0;0
U9463;SSNA;ME;SI;0;0;0;0;5;31;0;0
U9463;SSNA;ME;DS;0;2;0;0;0;0;0;0
U9463;SSNA;ME;MD;9,39;9;0;0;0;0;0;0
C4783;RALN;ND;CB;0,8;1;0;0;0;0;0;0
C5112;RALN;ND;CC;0;0,58;0;0;0;0;0;0
C5112;RALN;ND;CD;0;2,73;0;0;0;0;0;0
ES158;RALN;ND;CD;0;1;0;0;0;0;0;0
ES158;RALN;ND;CB;2,35;1,1;0;0;0;0;0;0
C7042;RALN;ND;CD;1;0;0;0;0;0;0;0
C5923;RALN;ND;CB;1;0;0;0;0;0;0;0
C1469;RALN;ND;CB;0,27;0,03;0;0;0;0;0;0
C1502;RALN;ND;CB;0;0;0;0;0;0;0;0,68
C1502;RALN;ND;CC;0,25;0;0;0;0;0;0;0
C1063;RALN;ND;CC;1,11;0,25;0;0;0;0;0;0
C1063;RALN;ND;CD;0;0,17;0;0;0;0;0;0
C3409;RALN;ND;CC;0,35;0,35;0;0;0;0;0;0
C7708;RALN;ND;CA;0;0;0;0;0,62;0;0;0
C7708;RALN;ND;CD;1;0,33;0;0;0;0;0;0
C7708;RALN;ND;CC;1;0,12;0;0;0;0,17;0;0
C6131;RALN;ND;CD;0,87;0;0;0;0;0;0;0
CS10771;RALN;ND;CD;0,2;0,15;0;0;0;0;0;0
D8385;EN60;ND;LI;0;0,25;0;0;0;0;0;0
C3892;RALN;ND;CC;5,15;7,77;0;0;0;0;0;0
C3892;RALN;ND;CA;1,52;0;0;0;0;0;7;7
C3892;RALN;ND;CB;0;0;0;0;0;0;0;2
RA68;RALN;ND;PC;7,94;1,96;0;0;0;0;0;0
RA68;RALN;ND;CD;3,03;2,47;0;0;2,59;4,36;0;0
U9834;SSNA;ME;ST;1;3;0;0;0;0;0;0
U9834;SSNA;ME;MD;2;6;0;0;0;0;0;0
U9834;SSNA;ME;SI;4;12;0;0;0;0;0;0
U10850;SSNA;ME;LT;46,76;51,55;0;0;0;0;3;9
U10850;SSNA;ME;MD;22,37;29,81;0;0;0;0;0;0
U10850;SSNA;ME;LA;28,55;129,5;0;0;0;0;29;134
U10850;SSNA;ME;DS;3,5;5,8;0;0;0;0;0;0
U10850;SSNA;ME;ST;5,68;8,91;0;0;0;0;0;0
U10850;SSNA;ME;MV;0,84;0;0;0;0;0;0;0
U10850;SSNA;ME;SF;1;5,76;0;0;0;0;0;0
U10850;SSNA;ME;SI;13,28;45,03;0;0;0;0;0;0
U9416;SSNA;ME;LA;0;0;0;0;0;0,3;0;0
U9416;SSNA;ME;SV;0,17;0,3;0;0;0;0;0;0
U9416;SSNA;ME;SI;0;0,81;0;0;0;0;0;0
U9416;SSNA;ME;MD;1,23;1,28;0;0;0;0;0;0
C234;RALN;ND;CC;0,42;0;0;0;0;0;0;0
C234;RALN;ND;CB;0,3;0;0;0;0;0;0;0
C1363;RALN;ND;CC;0;0,66;0;0;0;0;0;0
C7050;RALN;ND;CB;0;0;0;0;0;0;1;0
C1917;RALN;ND;CC;0;0,54;0;0;0;0;0;0
C1917;RALN;ND;CB;0;0;0;0;0;0;0,46;0,34
CS11109;SSNA;ME;LA;0;0;0;0;0;1;0;0
CS11109;SSNA;ME;LT;0;0;0;0;0;1;0;0
N9001;RALN;ND;CD;2;0;0;0;0;0;0;0
N9001;RALN;ND;CC;1;1;0;0;0;0;0;0
C5629;RALN;ND;CA;0;0;0;0;0;0;2;0
C8072;PRBZ;NF;CA;0;0,38;0;0;0;0;0;0
C5396;RALN;ND;CC;0;0,25;0;0;0;0;0;0
C1145;RALN;ND;CC;2;13,3;0;0;0;0;0;0
C1145;RALN;ND;CA;0;0;0;0;0;0;76;15
C1145;RALN;ND;CD;3;0;0;0;0;0;0;0
C3783;RALN;ND;CC;0,33;0;0;0;0;0;0;0
C3686;RALN;ND;CB;0;0;0;0;0;1;0;0
C3686;RALN;ND;CC;0,5;0;0;0;0;0;0;0
C3663;RALN;ND;CB;0;0;0;0;0;0;0;1,42
C3918;RALN;ND;CB;0;0;0;0;0;0;0,5;1
C4508;RALN;ND;CD;0;0,28;0;0;0;0;0;0
C4508;RALN;ND;CB;0,5;0;0;0;0;0;0;0
C7161;RALN;ND;CB;0;0,67;0;0;0;0;0;0
C7161;RALN;ND;CC;0;0,97;0;0;0;0;0;0
C7161;RALN;ND;CD;0,33;0;0;0;0;0;0;0
C7135;RALN;ND;CB;0,17;0;0;0;0,01;0,24;0;0
C7193;RALN;ND;CB;0;0;0;0;0;0;2;1
C7193;RALN;ND;CD;1;0;0;0;0;0;0;0
C7199;RALN;ND;CD;0;0,27;0;0;0;0;0;0
C5825;RALN;ND;CB;0;0;0;0;0;0;0,19;0
C5995;RALN;ND;CA;0;1,32;0;0;0;0;0;0
C5995;RALN;ND;CB;13,86;14,52;0;0;0;0;0;1
C5995;RALN;ND;CD;1,16;1,16;0;0;0;0;0;0
C5995;RALN;ND;CC;3,3;13,86;0;0;0;0;3;1
C6179;PRTN;NF;PC;0;0;0;0;0;0;1,52;0
C6179;PRTN;NF;CC;0;0;0;0;0;1;0;0
C6335;RALN;ND;CB;0,33;0;0;0;0;0;0;0
C5561;RALN;ND;CD;0,6;0,6;0;0;0;0;0;0
C8047;RALN;ND;CC;0;0,17;0;0;0;0;0;0
C7563;RALN;ND;CB;1;1;0;0;0;0;0;0
C7563;RALN;ND;CC;0;2;0;0;0;0;0;0
C7480;RALN;ND;CC;0;0,09;0;0;0;0;0;0
C7480;RALN;ND;CD;0,05;0;0;0;0;0;0;0
C7963;RALN;ND;CB;0;0;0;0;3;0;0;0
C7942;RALN;ND;CB;0;0;0;0;0;0;4;5,72
C7401;RALN;ND;CB;0;0,2;0;0;0;0;0;0
C7401;RALN;ND;CC;0,54;0;0;0;0;0;0;0
C7377;RALN;ND;CB;0;0,5;0;0;0;0;0;0
C7292;RALN;ND;CB;0;0;0;0;0,27;0,23;0;0
IP10123;RALN;ND;CC;0;0;0;0;1;3;0;0
IP10123;RALN;ND;CB;0;0;0;0;1;4;0;0
N9021;RALN;ND;CC;0,41;0,8;0;0;0;0;0;0
Q9140;UNIV;ND;CC;7,94;31,78;0;0;0;0;0;0
Q9140;UNIV;ND;CD;0;1;0;0;0;0;0;0
Q9140;UNIV;ND;CB;0,67;1,5;0;0;0;0;0;0
C229;RALN;ND;CA;1;0;0;0;0;0;0;0
C5885;RALN;ND;CB;0;1,01;0;0;0,04;0;0;0
C5885;RALN;ND;CC;1,84;2,21;0;0;0;0;0;0
C5885;RALN;ND;CD;1,3;4,27;0;0;0;2;0;0
C2116;RALN;ND;CB;0;0;0;0;0;0;1;0
C2116;RALN;ND;CC;0;0;0;0;0;0;0;1
C2732;PRTN;NF;CA;0;1,33;0;0;0;0;0;0
C2802;RALN;ND;CC;2;0;0;0;0;0;0;0
C3848;PRTN;NF;PC;0;0;0;0;0;0;1;0
C4481;RALN;ND;CB;0;0;0;0;0;0;0,1;0
C5979;RALN;ND;CD;1;2;0;0;0;0;0;0
C5979;RALN;ND;CB;0;1;0;0;0;0;0;0
C5979;RALN;ND;CC;1;3;0;0;0;0;0;0
C4131;PRBZ;NF;CA;0;0,53;0;0;0;0;0;0
C4131;PRBZ;NF;CB;0,19;0,89;0;0;0;0;0;0
C7314;RALN;ND;CA;2,58;0,43;0;0;0;0;0;0
C7314;RALN;ND;CD;0,77;0,48;0;0;0;0;0;0
C7535;RALN;ND;CB;0;0,38;0;0;0;0;0;0
C7319;RALN;ND;CB;0;0;0;0;0;0;0;3
C7319;RALN;ND;CA;0;0;0;0;0;0;1,48;4
C7665;RALN;ND;CA;0;0;0;0;0;10;0;0
C7665;RALN;ND;CD;0,5;0;0;0;1;12;0;0
C7665;RALN;ND;CB;0;0;0;0;1;2;0;0
C7524;RALN;ND;CA;0;0;0;0;1;1;6;1
C5559;RALN;ND;CA;0;0;0;0;0;0;0,1;0
C5559;RALN;ND;CC;0,27;0,46;0;0;0;0;0;0
C5559;RALN;ND;CD;1;0;0;0;0;0;0;0
C2464;RALN;ND;CB;0;0;0;0;0;0;1,18;0,79
C2447;RALN;ND;CC;0,84;0;0;0;0;0;0;0
C2315;RALN;ND;CC;0;0,5;0;0;0;0,61;0;0
C2295;RALN;ND;CD;0,79;0;0;0;0;0;0;0
C2295;RALN;ND;CB;0;0;0;0;0,21;0;0;0
C2407;RALN;ND;CB;0;0,11;0;0;0;0;0;0
C2407;RALN;ND;PC;0;0;0;0;0;0;11,5;1
C2407;RALN;ND;CC;0;4,6;0;0;0;0;0;0
C2338;PRTN;NF;CA;0;0,55;0;0;0;0;0,58;0
C2338;PRTN;NF;CC;1;0;0;0;0;0;0;0
C2387;RALN;ND;CA;0;0;0;0;0;0;1,12;0,69
C2387;RALN;ND;CD;0,5;0;0;0;0;0;0;0
C2387;RALN;ND;CC;0;0;0;0;0;0;2,08;0,65
C2294;RALN;ND;CC;4,5;5,01;0;0;0;0;0;0
C2294;RALN;ND;CB;1,17;0;0;0;0;0;0;0
