ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
C1169;RALN;CD;057000;Z01;3;7;0,6;1,4
C1169;RALN;CB;037492;Z01;1;0;0;0
C1169;RALN;CC;046000;Z01;0;10;0;0
C1169;RALN;CD;052486;Z01;0;2;0;0
C1169;RALN;CC;056000;Z01;14;17;0;0
C1169;RALN;CD;051488;Z01;2;1;0;0
C1169;RALN;CD;052487;Z01;0;5;0;0
C1169;RALN;CB;055000;Z01;0;2;0;0
C1169;RALN;CD;050000;Z01;2;32;0,16666666666667;2,6666666666667
C1169;RALN;CC;042000;Z01;2;4;0;0
C1169;RALN;DI;0D0164;Z01;3;1;0;0
C1169;RALN;CC;045000;Z01;0;7;0;0
C1169;RALN;CC;043000;Z01;1;8;0;0
C1169;RALN;CD;058000;Z01;3;0;0;0
C1169;RALN;CD;051489;Z01;1;3;0;0
C1169;RALN;CD;0D6A00;Z01;15;19;0;0
C1169;RALN;CD;049000;Z01;0;5;0;0
C1169;RALN;CB;0B7A00;Z01;0;2;0;0
C1169;RALN;CB;036495;Z01;0;1;0;0
D8392;EN60;LI;0000ND;Z01;28;33;0;0
D8392;EN60;DI;0D00NF;Z01;2;0;0;0
C4257;RALN;CB;054000;Z01;1;0;0;0
C4257;RALN;CD;0D6A00;Z01;1;0;0;0
C4257;RALN;CD;057000;Z01;1;13;0;0
C4257;RALN;CC;056000;Z01;4;14;0,8;2,8
C4257;RALN;CD;051489;Z01;0;3;0;0
C1453;RALN;CC;046000;Z01;0;6;0;1,5
C2583;RALN;CD;052487;Z01;1;0;0;0
C2583;RALN;CD;0D6000;Z01;0;1;0;0
C2583;RALN;CD;049000;Z01;0;12;0;0
C2583;RALN;CD;0D6A00;Z01;0;3;0;0
C2583;RALN;CD;051488;Z01;98;0;0;0
CS10072;RALN;DI;0D0164;Z01;0;3;0;0
CS10072;RALN;CC;042000;Z01;0;1;0;0
CS10072;RALN;CD;058000;Z01;0;11;0;0
CS10072;RALN;CD;051489;Z01;0;2;0;0
CS10072;RALN;CC;056000;Z01;0;8;0;0
CS10072;RALN;CD;057000;Z01;0;10;0;0
CS10072;RALN;CD;049000;Z01;0;3;0;0
CS10072;RALN;CD;050000;Z01;0;8;0;2
IP11858;RALN;CB;0B7000;Z01;0;2;0;0
IP11858;RALN;CD;050000;Z01;3;0;0;0
U10746;SSNA;ST;S18920;Z01;5;5;0;0
U10746;SSNA;LT;T13660;Z01;4;2;0,067796610169492;0,033898305084746
U10746;SSNA;DS;SD0A15;Z01;1;0;0,33333333333333;0
U10746;SSNA;SF;S16019;Z01;87;230;1,1447368421053;3,0263157894737
U10746;SSNA;LT;T18025;Z01;0;9;0;2,25
U10746;SSNA;LT;T16026;Z01;2;1;0;0
U10746;SSNA;SI;S18023;Z01;34;33;1,7894736842105;1,7368421052632
U10746;SSNA;MD;SD0035;Z01;795;629;2,2206703910615;1,7569832402235
U10746;SSNA;DA;AD0A31;Z01;13;10;0;0
U10746;SSNA;MV;SD0E73;Z01;25;0;0;0
U10746;SSNA;SF;S18922;Z01;6;2;0;0
U10746;SSNA;DA;AD0S31;Z01;10;0;0;0
U10746;SSNA;DS;SD0E39;Z01;23;26;0;0
U10746;SSNA;DT;TD0A67;Z01;1;12;0;0
U10746;SSNA;DP;PD0606;Z01;0;19;0;0
U10746;SSNA;DS;SD0E65;Z01;11;15;0;0
U10746;SSNA;DP;PD0A09;Z01;2;2;0;0
U10746;SSNA;LA;A16028;Z01;12;6;0,11538461538462;0,057692307692308
U10746;SSNA;LT;T16024;Z01;0;249;0;2,8953488372093
U10746;SSNA;DS;SD0E38;Z01;10;46;0;0
U10746;SSNA;SI;S14E52;Z01;4;0;0,1025641025641;0
U10746;SSNA;DS;SD0A65;Z01;32;154;0,3265306122449;1,5714285714286
U10746;SSNA;LA;A12017;Z01;7;0;0;0
U10746;SSNA;DP;PD0S45;Z01;6;0;0;0
U10746;SSNA;LA;A18029;Z01;8;2;0,27586206896552;0,068965517241379
U10746;SSNA;DT;TD0S67;Z01;11;0;0;0
U10746;SSNA;SV;S16022;Z01;145;75;0;0
U10746;SSNA;MO;SD0A48;Z01;0;4;0;0
U10746;SSNA;MD;SD0036;Z01;33;0;11;0
U10746;SSNA;MD;SD0E33;Z01;116;19;0;0
U10746;SSNA;DP;PD0A45;Z01;2;0;0;0
U10746;SSNA;DT;TD0A70;Z01;0;3;0;0
U10746;SSNA;DP;PD0046;Z01;1;0;0;0
U10746;SSNA;LA;A14005;Z01;3;10;0,032608695652174;0,10869565217391
U10746;SSNA;DS;SD0A38;Z01;28;46;0;0
U10746;SSNA;SV;S18921;Z01;11;9;0;0
U10746;SSNA;MD;SD0N34;Z01;18;1;18;1
U10746;SSNA;DA;AD0032;Z01;7;0;0;0
U10746;SSNA;LT;T11008;Z01;0;2;0;0,046511627906977
U10746;SSNA;SI;S16020;Z01;462;680;0,65439093484419;0,96317280453258
U10746;SSNA;ST;S16021;Z01;68;80;1,0149253731343;1,1940298507463
U10746;SSNA;DS;SD0A12;Z01;5;25;0,26315789473684;1,3157894736842
U10746;SSNA;MD;SD0E34;Z01;158;134;2,5079365079365;2,1269841269841
U10746;SSNA;DS;SD0E12;Z01;0;8;0;0
U10746;SSNA;MV;SD0A73;Z01;115;9;0;0
U10746;SSNA;MD;SD0N33;Z01;16;0;0;0
C4138;RALN;CD;058000;Z01;3;0;0;0
C4138;RALN;CD;052486;Z01;1;0;0;0
C4138;RALN;CC;056000;Z01;0;1;0;0
C4138;RALN;CC;042000;Z01;0;1;0;0
C4138;RALN;FP;0D0103;Z01;0;8;0;0
C4138;RALN;CD;057000;Z01;0;2;0;0
C3612;RALN;CC;046000;Z01;1;0;0;0
C3612;RALN;CD;050000;Z01;0;1;0;0
C5739;RALN;CD;058000;Z01;0;1;0;0
C5739;RALN;CC;056000;Z01;2;0;0;0
C5739;RALN;CC;042000;Z01;0;2;0;0
C5739;RALN;CC;043000;Z01;0;2;0;1
C5739;RALN;CD;051489;Z01;1;0;0;0
C7162;RALN;CC;043000;Z01;0;2;0;0
C7162;RALN;CD;052486;Z01;4;0;0;0
C7162;RALN;CB;037493;Z01;0;1;0;0
C7162;RALN;CC;042000;Z01;2;0;0;0
C7162;RALN;CD;052487;Z01;0;2;0;0
C7162;RALN;CD;050000;Z01;4;0;0;0
C7162;RALN;CD;049000;Z01;0;2;0;0
C7162;RALN;CC;046000;Z01;0;2;0;0
C7162;RALN;CC;056000;Z01;2;3;1;1,5
U9637;SSNA;MD;SD0N33;Z01;66;0;0;0
U9637;SSNA;LA;A18029;Z01;6;23;0;0
U9637;SSNA;DS;SD0A41;Z01;3;0;0;0
U9637;SSNA;MD;SD0E33;Z01;288;47;96;15,666666666667
U9637;SSNA;MD;SD0E34;Z01;180;37;36;7,4
U9637;SSNA;LT;T14007;Z01;0;1;0;0
U9637;SSNA;DA;AD0A31;Z01;2;4;0,66666666666667;1,3333333333333
U9637;SSNA;DS;SD0E38;Z01;0;3;0;0
U9637;SSNA;DP;PD0S45;Z01;0;5;0;0
U9637;SSNA;LT;T16026;Z01;5;1;0;0
U9637;SSNA;LT;T13660;Z01;131;417;0;0
U9637;SSNA;LT;T12057;Z01;6;15;0;0
U9637;SSNA;MD;SD0036;Z01;180;25;45;6,25
U9637;SSNA;DS;SD0A65;Z01;0;7;0;0
U9637;SSNA;ST;S18920;Z01;32;31;0;0
U9637;SSNA;LA;A14005;Z01;0;29;0;0
U9637;SSNA;SI;S16020;Z01;311;2572;0,33989071038251;2,8109289617486
U9637;SSNA;ST;S16021;Z01;124;395;0,97637795275591;3,1102362204724
U9637;SSNA;DS;SD0483;Z01;0;3;0;0
U9637;SSNA;DS;SD0A38;Z01;0;6;0;2
U9637;SSNA;LT;T14E59;Z01;38;0;0;0
U9637;SSNA;SI;S14E52;Z01;14;85;0;0
U9637;SSNA;SV;S18921;Z01;10;0;0;0
U9637;SSNA;LT;T16024;Z01;0;4;0;0
U9637;SSNA;MD;SD0N34;Z01;30;0;0;0
U9637;SSNA;LA;A12017;Z01;3;24;0;0
U9637;SSNA;DS;SD0A12;Z01;15;50;0;0
U9637;SSNA;SF;S18922;Z01;0;8;0;0
U9637;SSNA;SV;S16022;Z01;0;22;0;0
U9637;SSNA;LT;T12058;Z01;0;1;0;0
U9637;SSNA;LA;A16028;Z01;3;24;0;0
U9637;SSNA;LA;A13018;Z01;1;8;0;0
U9637;SSNA;LT;T13059;Z01;23;3;0;0
U9637;SSNA;LT;T18027;Z01;0;1;0;0
U9637;SSNA;DA;AD0032;Z01;0;9;0;0
U9637;SSNA;SI;S18023;Z01;29;269;0;0
U9637;SSNA;MD;SD0035;Z01;748;791;0;0
U9637;SSNA;DP;PD0046;Z01;2;0;0;0
U9637;SSNA;LT;T11008;Z01;1;15;0;0
U9637;SSNA;SF;S16019;Z01;27;122;0;0
U9637;SSNA;DS;SD0E12;Z01;15;21;0;0
AP9841;SSNA;LA;A16028;Z01;12;14;1,7142857142857;2
AP9841;SSNA;LT;T14063;Z01;10;0;0;0
AP9841;SSNA;DS;SD0E12;Z01;0;2;0;0
AP9841;SSNA;LT;T18027;Z01;23;7;0;0
AP9841;SSNA;DS;SD0A41;Z01;0;2;0;0
AP9841;SSNA;DS;SD0A12;Z01;6;9;0;0
AP9841;SSNA;DS;SD0E16;Z01;4;0;0;0
AP9841;SSNA;SV;S16022;Z01;57;38;2,5909090909091;1,7272727272727
AP9841;SSNA;DS;SD0E13;Z01;4;7;0;0
AP9841;SSNA;LA;A13018;Z01;0;3;0;0
AP9841;SSNA;DS;SD0E15;Z01;6;14;0;0
AP9841;SSNA;LT;T16026;Z01;73;117;0;0
AP9841;SSNA;LT;T12057;Z01;2;1;0;0
AP9841;SSNA;SV;S18921;Z01;17;4;0;0
AP9841;SSNA;DT;TD0S01;Z01;0;3;0;0
AP9841;SSNA;DP;PD0S45;Z01;1;0;0;0
AP9841;SSNA;LT;T13059;Z01;7;3;0;0
AP9841;SSNA;LT;T14007;Z01;35;16;0;0
AP9841;SSNA;LA;A18029;Z01;0;4;0;0
AP9841;SSNA;LA;A12017;Z01;2;5;0;0
AP9841;SSNA;DS;SD0A15;Z01;18;0;0;0
AP9841;SSNA;DP;PD0607;Z01;1;0;0;0
AP9841;SSNA;DS;SD0E41;Z01;0;7;0;0
AP9841;SSNA;LA;A14005;Z01;3;21;0;0
AP9841;SSNA;ST;S16021;Z01;38;7;0;0
U10423;SSNA;MD;SD0N33;Z01;20;0;0;0
U10423;SSNA;LT;T11008;Z01;11;67;0;0
U10423;SSNA;LT;T14E59;Z01;12;0;0;0
U10423;SSNA;LA;A11030;Z01;1;1;0;0
U10423;SSNA;DS;SD0A41;Z01;8;22;0;0
U10423;SSNA;DS;SD0A38;Z01;0;26;0;5,2
U10423;SSNA;DA;AD0612;Z01;0;10;0;0
U10423;SSNA;DT;TD0S67;Z01;1;0;0;0
