REGIONE;ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;UOMINI;DONNE
R00161;AA10;MNST;3A;042F03;1;2
R00161;AA10;MNST;D2;0D0079;1;0
R00161;AA10;MNST;3A;040F01;3;3
R00161;AA10;MNST;1A;023F01;1;0
R00161;AA10;MNST;2A;032F02;0;1
R00161;AA10;MNST;2A;030F01;3;2
R00161;AA10;MNST;2A;034F03;2;1
R00161;AA10;MNST;D1;0D0078;1;0
R00161;AA10;MNST;3A;043F04;6;1
R00205;IR10216;ERIC;LI;014092;0;1
R00205;IR10216;ERIC;LI;018396;1;1
R00125;IR10216;ERIC;LI;013088;6;0
R00018;IR10216;ERIC;LI;014088;2;0
R00054;IR10216;ERIC;LI;014092;1;1
R00161;IR10216;ERIC;LI;013088;0;1
R00072;IR10216;ERIC;D1;0D0077;0;1
R00045;IR10216;ERIC;LI;012088;17;3
R00027;IR10216;ERIC;LI;016092;4;0
R00081;IR10216;ERIC;LI;018092;6;0
R00205;IR10216;ERIC;RI;0D0093;5;6
R00054;IR10216;ERIC;LI;016087;0;3
R00090;IR10216;ERIC;LI;014088;5;7
R00134;IR10216;ERIC;LI;014087;1;2
R00205;IR10216;ERIC;LI;013088;5;1
R00161;IR10216;ERIC;LI;014092;0;1
R00090;IR10216;ERIC;LI;016092;13;10
R00072;IR10216;ERIC;LI;0E0076;1;0
R00152;IR10216;ERIC;LI;014092;1;2
R00125;IR10216;ERIC;LI;018396;1;4
R00018;IR10216;ERIC;RI;0D0093;0;1
R00018;IR10216;ERIC;LI;012088;2;0
R00018;IR10216;ERIC;LI;016087;0;1
R00045;IR10216;ERIC;LI;014087;0;1
R00214;IR10216;ERIC;LI;018396;1;1
R00152;IR10216;ERIC;LI;018092;7;1
R00152;IR10216;ERIC;DB;0D0IST;1;0
R00189;IR10216;ERIC;RI;0D0397;1;0
R00214;IR10216;ERIC;LI;018092;4;0
R00125;IR10216;ERIC;LI;018092;1;2
R00090;IR10216;ERIC;LI;018092;4;7
R00134;IR10216;ERIC;LI;012088;4;2
R00072;IR10216;ERIC;LI;016087;9;30
R00072;IR10216;ERIC;LI;013087;11;23
R00134;IR10216;ERIC;LI;014088;1;0
R00161;IR10216;ERIC;RI;0D0397;4;1
R00214;IR10216;ERIC;LI;016396;2;0
R00072;IR10216;ERIC;TC;0D0398;3;9
R00072;IR10216;ERIC;LI;014088;30;22
R00189;IR10216;ERIC;LI;014092;1;0
R00090;IR10216;ERIC;LI;013088;6;3
R00134;IR10216;ERIC;LI;013088;2;1
R00205;IR10216;ERIC;LI;014088;2;2
R00214;IR10216;ERIC;RI;0D0093;2;1
R00072;IR10216;ERIC;LI;013091;3;12
R00134;IR10216;ERIC;TC;0D0094;4;0
R00214;IR10216;ERIC;LI;014087;1;1
R00205;IR10216;ERIC;LI;016092;3;2
R00107;IR10216;ERIC;LI;016092;1;0
R00205;IR10216;ERIC;LI;018092;4;6
R00090;IR10216;ERIC;LI;016396;0;8
R00054;IR10216;ERIC;LI;016396;0;2
R00125;IR10216;ERIC;LI;012088;2;0
R00072;IR10216;ERIC;LI;018092;23;9
R00045;IR10216;ERIC;PC;000061;1;0
R00045;IR10216;ERIC;LI;012091;0;2
R00036;IR10216;ERIC;LI;016396;1;0
R00072;IR10216;ERIC;DG;0D0097;1;0
R00214;IR10216;ERIC;TC;0D0094;1;0
R00125;IR10216;ERIC;TC;0D0094;1;1
R00152;IR10216;ERIC;LI;013091;1;0
R00134;IR10216;ERIC;DB;0D0IST;1;0
R00081;IR10216;ERIC;RI;0D0089;2;0
R00045;IR10216;ERIC;LI;018092;11;2
R00205;IR10216;ERIC;RI;0D0397;4;0
R00205;IR10216;ERIC;LI;012091;1;0
R00081;IR10216;ERIC;LI;012088;2;0
R00081;IR10216;ERIC;RI;0D0093;0;1
R00045;IR10216;ERIC;LI;016092;5;1
R00072;IR10216;ERIC;PC;000061;1;0
R00125;IR10216;ERIC;LI;016396;1;5
R00045;IR10216;ERIC;LI;013088;3;1
R00081;IR10216;ERIC;LI;014087;1;0
R00107;IR10216;ERIC;RI;0D0093;2;2
R00152;IR10216;ERIC;LI;014087;3;1
R00072;IR10216;ERIC;TC;0D0094;5;9
R00205;IR10216;ERIC;LI;016396;0;3
R00036;IR10216;ERIC;LI;012091;0;1
R00161;IR10216;ERIC;RI;0D0089;3;0
R00090;IR10216;ERIC;RI;0D0093;10;17
R00125;IR10216;ERIC;RI;0D0089;0;2
R00107;IR10216;ERIC;RI;0D0089;1;0
R00214;IR10216;ERIC;LI;014088;1;0
R00081;IR10216;ERIC;LI;016092;6;1
R00090;IR10216;ERIC;LI;014087;2;1
R00161;IR10216;ERIC;LI;014087;2;1
R00107;IR10216;ERIC;LI;012088;2;0
R00090;IR10216;ERIC;LI;014092;0;7
R00152;IR10216;ERIC;TC;0D0094;0;1
R00134;IR10216;ERIC;LI;013091;3;0
R00045;IR10216;ERIC;LI;016396;3;1
R00205;IR10216;ERIC;LI;013087;0;1
R00090;IR10216;ERIC;LI;013087;0;3
R00072;IR10216;ERIC;LI;014092;7;2
R00125;IR10216;ERIC;LI;013091;1;1
R00045;IR10216;ERIC;TC;0D0094;3;0
R00214;IR10216;ERIC;LI;012088;2;0
R00018;IR10216;ERIC;LI;018396;1;0
R00134;IR10216;ERIC;LI;014092;2;1
R00152;IR10216;ERIC;LI;016396;2;0
R00054;IR10216;ERIC;LI;013088;7;4
R00152;IR10216;ERIC;LI;016087;1;3
R00214;IR10216;ERIC;LI;012091;1;0
R00072;IR10216;ERIC;TC;0D0090;0;1
R00134;IR10216;ERIC;LI;018092;21;7
R00027;IR10216;ERIC;LI;014088;1;0
R00018;IR10216;ERIC;LI;016092;0;1
R00072;IR10216;ERIC;LI;012091;4;3
R00072;IR10216;ERIC;LI;018396;8;29
R00063;IR10216;ERIC;RI;0D0093;2;0
R00125;IR10216;ERIC;DB;0D0IST;0;1
