ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
IP10535;SSNA;LA;20787,85;2395,98;1973,88;109,48;280,15;3386,84
IP10535;SSNA;SF;21919,23;1751,31;2013,74;553,49;231,34;2900,72
IP10535;SSNA;DA;39979,5;52,5;4048;0;12518,5;1905
IP10535;SSNA;SI;21775,63;984,77;1916,67;540,08;578,85;4593,33
IP10535;SSNA;MD;39979,29;2613,14;6366,29;0;24346,57;3979,71
IP10535;SSNA;LT;18253,24;779,83;1609,52;390,42;165,75;3289,58
IP10535;SSNA;ST;22096,75;1758,48;2003,18;0;1405,02;2675,57
IP10428;SSNA;LA;20377,47;2337,01;1895,02;0;168,33;0
IP10428;SSNA;SF;22094;1547;1985;0;177;0
IP10428;SSNA;SI;22541,81;1802,13;2145,65;292,23;615,54;3137,36
IP10428;SSNA;LT;17643,8;1452,08;1606,23;17,16;165,95;1978,46
IP10490;SSNA;LA;20405,6;2597,66;1978,82;219,4;170,56;3343,53
IP10490;SSNA;SF;22207,02;2735,03;2100,89;0;203,64;3853
IP10490;SSNA;DA;44249,74;5305,84;6017,69;0;24869,33;12,69
IP10490;SSNA;SI;22197,17;2708,05;2114,3;572,18;675,29;5714,41
IP10490;SSNA;MD;39956,86;2157,93;5734,51;0;17760,91;1439,53
IP10490;SSNA;LT;18153,3;1704,53;1662,98;393,17;154,49;4476,59
IP10490;SSNA;ST;22254;3491,91;2197,02;0;646,8;4063,02
IP10490;SSNA;DS;39979,25;348,5;5073,25;0;10257,75;1709,5
U10735;SSNA;LA;19261,29;2054,02;1820,62;1316,88;156,73;2427,41
U10735;SSNA;SF;22181,13;3657,67;2198,99;181,43;191,54;2232,24
U10735;SSNA;DA;39634,69;532,07;5847,14;0;31492,93;346,97
U10735;SSNA;SI;22072,01;3852,13;2189,39;4405,96;635,16;4421,61
U10735;SSNA;MD;39788,04;3025,81;5904,92;1804,61;17462,74;2658,66
U10735;SSNA;LT;18995,53;1994,85;1758,3;4879,7;154,3;4720,24
U10735;SSNA;ST;22148,55;4088,19;2208,17;4100,47;881,45;3845,47
U10735;SSNA;DS;39869,77;454,42;5094,84;424,17;11610,5;1095,07
U10735;SSNA;SV;22717,5;4720;2354,55;1260,42;199,97;6897,16
