ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
Q9162;UNIV;CD;048000;A23;1;0
Q9173;UNIV;CD;048000;A23;12;15
Q9162;UNIV;CD;048000;A29;1;0
Q9161;UNIV;CD;048000;A23;2;3
Q9173;UNIV;CD;048000;A29;0;2
Q9161;UNIV;CD;048000;A41;1;6
Q9129;UNIV;CD;048000;A23;0;3
Q9187;UNIV;CD;048000;A41;1;1
Q9174;UNIV;CD;048000;A40;7;48
Q9138;UNIV;CD;048000;A23;0;3
Q9129;UNIV;CD;048000;A41;1;2
Q9160;UNIV;CD;048000;A23;0;2
Q9187;UNIV;CD;048000;A23;1;0
Q9148;UNIV;CD;048000;A30;0;1
Q9172;UNIV;CD;048000;A23;0;1
Q9172;UNIV;CD;048000;A24;0;1
Q9175;UNIV;CD;048000;A31;0;1
Q9168;UNIV;CD;048000;A30;1;0
Q9130;UNIV;CD;048000;A41;1;6
Q9175;UNIV;CD;048000;A23;2;8
Q9168;UNIV;CD;048000;A23;6;19
Q9143;UNIV;CD;048000;A23;1;4
Q9130;UNIV;CD;048000;A24;1;0
Q9148;UNIV;CD;048000;A23;1;1
Q9130;UNIV;CD;048000;A30;0;1
Q9141;UNIV;CD;048000;A23;6;7
Q9130;UNIV;CD;048000;A23;0;1
Q9131;UNIV;CD;048000;A24;1;0
Q9131;UNIV;CD;048000;A23;24;48
Q9133;UNIV;CD;048000;A23;2;4
Q9186;UNIV;CD;048000;A41;0;1
Q9167;UNIV;CD;048000;A30;1;0
Q9133;UNIV;CD;048000;A41;0;3
Q9186;UNIV;CD;048000;A24;0;1
Q9163;UNIV;CD;048000;A30;4;3
Q9163;UNIV;CD;048000;A41;7;19
Q9189;UNIV;CD;048000;A41;1;0
Q9163;UNIV;CD;048000;A28;0;4
Q9163;UNIV;CD;048000;A23;6;16
Q9167;UNIV;CD;048000;A23;3;8
Q9156;UNIV;CD;048000;A24;0;1
Q9159;UNIV;CD;048000;A23;3;14
Q9164;UNIV;CD;048000;A41;0;8
Q9132;UNIV;CD;048000;A23;3;2
Q9179;UNIV;CD;048000;A23;1;0
Q9174;UNIV;CD;048000;A28;4;5
Q9139;UNIV;CD;048000;A41;0;2
Q9164;UNIV;CD;048000;A23;3;7
Q9147;UNIV;CD;048000;A24;6;5
Q9174;UNIV;CD;048000;A23;1;0
Q9144;UNIV;CD;048000;A41;1;3
Q9180;UNIV;CD;048000;A23;1;1
Q9147;UNIV;CD;048000;A23;16;36
Q9186;UNIV;CD;048000;A23;2;6
Q9128;UNIV;CD;048000;A23;0;2
Q9151;UNIV;CD;048000;A23;3;10
Q9142;UNIV;CD;048000;A24;0;1
Q9142;UNIV;CD;048000;A23;6;2
Q9143;UNIV;CD;048000;A30;1;0
Q9149;UNIV;CD;048000;A23;8;15
Q9155;UNIV;CD;048000;A41;1;1
Q9142;UNIV;CD;048000;A30;0;1
Q9155;UNIV;CD;048000;A23;11;8
Q9810;UNIV;CD;048000;A23;0;1
Q9146;UNIV;CD;048000;A24;2;1
Q9153;UNIV;CD;048000;A24;8;6
Q9134;UNIV;CD;048000;A23;0;1
Q9154;UNIV;CD;048000;A41;1;2
Q9154;UNIV;CD;048000;A40;0;2
Q9137;UNIV;CD;048000;A24;6;6
Q10602;UNIV;CD;048000;A41;0;1
Q9169;UNIV;CD;048000;A23;1;1
Q9146;UNIV;CD;048000;A23;0;2
Q9158;UNIV;CD;048000;A23;5;9
Q9155;UNIV;CD;048000;A30;0;1
Q9150;UNIV;CD;048000;A23;15;10
Q9158;UNIV;CD;048000;A30;1;1
Q9152;UNIV;CD;048000;A23;2;4
Q9150;UNIV;CD;048000;A24;0;2
Q9170;UNIV;CD;048000;A23;0;1
Q9141;UNIV;CD;048000;A30;0;1
Q9145;UNIV;CD;048000;A23;0;1
Q10425;UNIV;CD;048000;A41;1;0
C5761;RALN;CD;0D1000;A30;0;1
C5761;RALN;CD;0D1000;A23;2;2
ES10847;RALN;CD;0D1000;A31;1;0
C2404;RALN;CD;0D1000;A23;0;3
C2896;RALN;CD;0D1000;A23;1;0
C2541;RALN;CD;0D1000;A23;0;1
ES10847;RALN;CD;0D1000;A23;1;0
UC8797;RALN;CD;0D1000;A23;1;0
C6966;RALN;CD;0D1000;A23;0;2
C747;RALN;CD;0D1000;A30;0;4
IP10175;RALN;CD;0D1000;A41;5;15
C1301;RALN;CD;0D1000;A23;0;1
