ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
LS12139;LS13;LI;0000ND;C21;4;2
LS12139;LS13;LI;0000ND;C25;1;0
LS12198;LS13;LI;0000ND;C18;0;3
LS11946;LS13;LI;0000ND;C21;0;1
LS12139;LS13;LI;0000ND;C03;1;0
LS12060;LS13;LI;0000ND;C99;0;1
LS11969;LS13;LI;0000ND;C03;4;1
LS12198;LS13;LI;0000ND;C21;1;0
LS12060;LS13;LI;0000ND;C03;1;0
LS12060;LS13;LI;0000ND;C01;1;0
LS12052;LS13;LI;0000ND;C01;4;1
LS11989;LS13;LI;0000ND;C18;20;14
LS12200;LS13;LI;0000ND;C03;1;0
LS12200;LS13;LI;0000ND;C21;1;0
LS12810;LS13;LI;0000ND;C25;2;0
LS12810;LS13;LI;0000ND;C99;1;0
LS11952;LS13;LI;0000ND;C18;3;1
LS11979;LS13;LI;0000ND;C01;0;2
LS12052;LS13;LI;0000ND;C99;5;1
LS12855;LS13;LI;0000ND;C03;1;0
LS12057;LS13;LI;0000ND;C99;1;0
LS12997;LS13;LI;0000ND;C18;1;0
LS11969;LS13;LI;0000ND;C99;1;0
LS12156;LS13;LI;0000ND;C99;1;2
LS11919;LS13;LI;0000ND;C25;1;3
LS11956;LS13;LI;0000ND;C99;2;1
LS12156;LS13;LI;0000ND;C19;1;0
LS12156;LS13;LI;0000ND;C03;3;0
LS11956;LS13;LI;0000ND;C03;1;0
LS12066;LS13;LI;0000ND;C99;2;0
LS12057;LS13;LI;0000ND;C01;3;1
LS12156;LS13;LI;0000ND;C25;1;0
LS11919;LS13;LI;0000ND;C03;3;1
LS11919;LS13;LI;0000ND;C99;15;7
LS12003;LS13;LI;0000ND;C18;45;37
LS12282;LS13;LI;0000ND;C99;0;2
LS12282;LS13;LI;0000ND;C03;0;1
LS12300;LS13;LI;0000ND;C03;2;1
CS10309;LS13;LI;0000ND;C01;0;1
LS12855;LS13;LI;0000ND;C99;1;1
LS12300;LS13;LI;0000ND;C99;1;1
LS12182;LS13;LI;0000ND;C25;1;0
LS12182;LS13;LI;0000ND;C03;1;0
CS10309;LS13;LI;0000ND;C18;0;1
LS12072;LS13;LI;0000ND;C03;0;1
LS12300;LS13;LI;0000ND;C21;1;0
LS12997;LS13;LI;0000ND;C99;2;0
LS11920;LS13;LI;0000ND;C03;0;1
LS11920;LS13;LI;0000ND;C01;2;1
LS11920;LS13;LI;0000ND;C21;3;1
LS11991;LS13;LI;0000ND;C18;19;14
LS12059;LS13;LI;0000ND;C99;1;0
LS12432;LS13;LI;0000ND;C03;1;1
LS12044;LS13;LI;0000ND;C01;0;2
LS12148;LS13;LI;0000ND;C19;1;0
LS12432;LS13;LI;0000ND;C21;2;0
LS12158;LS13;LI;0000ND;C19;1;0
LS12148;LS13;LI;0000ND;C99;1;0
LS12010;LS13;LI;0000ND;C03;1;0
LS12148;LS13;LI;0000ND;C01;1;0
LS12103;LS13;LI;0000ND;C99;1;0
LS12010;LS13;LI;0000ND;C99;0;2
LS11931;LS13;LI;0000ND;C03;1;1
LS12058;LS13;LI;0000ND;C21;1;1
LS12148;LS13;LI;0000ND;C21;2;0
LS11930;LS13;LI;0000ND;C03;2;0
LS12044;LS13;LI;0000ND;C99;0;1
