ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;TRATTAMENTO_INIZIALE_UOMINI;FASCIA1_UOMINI;FASCIA2_UOMINI;FASCIA3_UOMINI;FASCIA4_UOMINI;FASCIA5_UOMINI;FASCIA6_UOMINI;TRATTAMENTO_INIZIALE_DONNE;FASCIA1_DONNE;FASCIA2_DONNE;FASCIA3_DONNE;FASCIA4_DONNE;FASCIA5_DONNE;FASCIA6_DONNE
U9515;SSNA;LT;T12058;0;0;0;0;0;0;0;0;0;0;1;0;0;0
U9515;SSNA;ST;S18864;0;0;0;0;0;0;0;0;0;1;1;0;0;1
U9515;SSNA;LT;T14S59;0;2;0;4;5;0;0;0;0;0;0;0;0;0
U9515;SSNA;SI;S14S52;0;0;0;0;4;0;0;0;0;0;0;10;0;0
U9515;SSNA;SI;S16020;77;0;9;7;26;17;90;134;0;17;19;80;49;116
U9515;SSNA;LT;T16024;0;0;0;0;0;0;0;0;0;1;0;0;0;3
U9515;SSNA;LA;A16028;3;9;1;4;3;1;0;1;31;2;5;4;5;1
U9515;SSNA;LT;T12057;6;6;0;0;1;1;0;5;2;0;0;0;0;0
U9515;SSNA;LA;A18869;0;0;0;1;2;1;0;0;0;2;0;1;2;0
U9515;SSNA;LT;T14007;3;0;1;3;0;0;0;0;0;0;0;0;0;0
U9515;SSNA;LA;A12017;0;2;2;4;0;0;0;0;2;0;2;0;0;0
U9515;SSNA;ST;S16021;8;10;1;3;10;4;15;17;8;3;5;5;3;24
U9515;SSNA;SI;S18863;0;0;1;1;1;1;6;0;0;0;1;0;2;2
U9515;SSNA;SF;S16019;0;0;0;1;0;0;1;0;0;0;0;2;0;4
U9515;SSNA;LT;T13660;24;10;5;32;1;2;0;27;8;3;10;1;5;0
U9515;SSNA;LT;T13059;1;3;3;2;0;2;0;0;0;0;0;0;0;0
U9515;SSNA;LA;A13870;0;0;0;2;0;0;0;0;0;0;1;0;0;0
U9515;SSNA;SF;S18866;0;0;0;0;0;0;0;0;0;0;0;1;0;0
U9515;SSNA;LT;T16026;0;5;2;0;1;0;0;0;2;0;0;0;0;0
U9515;SSNA;LT;T18868;0;0;0;0;0;0;0;0;0;0;1;0;0;0
U9515;SSNA;LA;A11030;1;0;0;0;0;0;0;3;1;0;0;0;0;0
U9515;SSNA;LA;A14005;1;2;2;6;1;2;0;0;4;2;1;1;7;0
U9515;SSNA;LT;T11008;0;0;0;0;1;2;0;0;0;0;0;0;1;0
J8624;SSNA;ST;S18864;0;0;0;0;0;0;0;0;0;0;0;0;0;1
J8624;SSNA;LT;T16026;0;0;0;0;0;0;1;0;0;0;0;0;0;1
J8624;SSNA;LT;T13059;0;0;0;0;0;2;0;0;0;0;0;0;1;0
J8624;SSNA;LA;A12017;0;2;0;0;0;2;0;0;0;0;0;0;1;0
J8624;SSNA;SF;S16019;1;0;0;0;0;0;0;2;1;0;0;0;0;0
J8624;SSNA;LT;T18868;0;0;0;0;0;0;1;0;0;0;0;0;0;0
J8624;SSNA;SI;S16020;11;26;15;5;1;15;79;21;18;12;7;2;15;99
J8624;SSNA;LA;A18869;0;0;0;0;0;0;1;0;0;0;0;0;0;6
J8624;SSNA;LA;A13870;0;0;0;0;0;1;0;0;0;0;0;0;2;0
J8624;SSNA;LT;T12057;0;3;0;0;1;0;0;0;0;0;0;0;0;0
J8624;SSNA;LT;T14007;0;3;0;0;0;1;0;0;0;0;0;0;0;0
J8624;SSNA;LA;A16028;0;0;0;0;0;0;3;0;0;0;2;0;0;11
J8624;SSNA;LT;T13660;1;1;0;0;1;8;0;2;1;0;1;0;2;0
J8624;SSNA;ST;S16021;9;6;3;7;2;1;34;5;4;0;1;2;1;8
J8624;SSNA;SI;S14S52;0;0;0;0;0;2;0;0;0;0;0;0;0;0
J8624;SSNA;LA;A14005;2;4;0;1;1;4;0;2;5;0;3;0;1;0
J8624;SSNA;SI;S18863;0;0;0;0;0;0;4;0;0;0;0;0;0;2
J8624;SSNA;LA;A11030;0;1;0;0;0;3;0;0;0;0;0;0;0;0
J8634;SSNA;LA;A12017;0;0;0;3;0;2;0;2;0;0;3;0;0;0
J8634;SSNA;SF;S16019;0;0;0;0;0;0;0;0;0;0;0;0;0;2
J8634;SSNA;LT;T14S59;1;0;0;1;0;0;0;0;0;0;0;0;0;0
J8634;SSNA;ST;S16021;2;2;2;0;0;1;9;1;0;4;0;0;0;6
J8634;SSNA;LT;T12057;0;0;0;0;0;8;0;0;0;0;0;0;2;0
J8634;SSNA;LT;T12058;0;0;0;0;0;4;0;0;0;0;0;0;2;0
J8634;SSNA;LT;T14007;0;0;0;0;0;1;0;0;0;1;0;0;0;0
J8634;SSNA;LT;T11008;1;0;0;11;0;4;0;2;0;0;7;0;2;0
J8634;SSNA;LA;A16028;0;0;0;0;0;0;3;0;0;0;0;0;0;3
J8634;SSNA;LT;T13059;0;0;1;1;0;1;0;0;0;0;0;0;0;0
J8634;SSNA;LT;T16026;0;0;0;1;0;0;4;0;0;0;0;0;0;0
J8634;SSNA;SI;S16020;3;5;1;6;3;2;9;8;12;9;20;4;2;33
J8634;SSNA;LA;A14005;0;0;0;0;0;3;0;0;0;0;0;0;6;0
J8634;SSNA;LA;A11030;1;0;0;0;0;0;0;0;0;0;0;0;0;0
J8634;SSNA;SI;S14S52;0;0;0;0;0;2;0;0;0;0;0;0;1;0
J8634;SSNA;LT;T13660;1;0;0;0;0;0;0;0;0;0;0;0;0;0
J8634;SSNA;SI;S18863;0;0;0;0;0;0;1;0;0;0;0;0;0;2
U9449;SSNA;SV;S16022;0;1;0;0;0;0;0;0;0;0;0;0;0;0
U9449;SSNA;LA;A11030;0;0;0;1;0;1;0;2;0;0;2;0;2;0
U9449;SSNA;LT;T14063;0;1;0;0;0;0;0;0;0;0;0;0;1;0
U9449;SSNA;LT;T18868;0;2;0;0;0;0;0;0;0;0;0;0;0;0
U9449;SSNA;LA;A13870;0;0;0;0;1;2;0;0;0;1;2;3;2;0
U9449;SSNA;LA;A14005;1;2;2;2;2;4;0;11;4;3;0;1;12;0
U9449;SSNA;LA;A12017;2;0;0;2;3;10;0;0;0;4;2;2;2;0
U9449;SSNA;LT;T12058;0;0;0;0;0;3;0;0;0;0;0;1;2;0
U9449;SSNA;LT;T13660;21;17;8;15;2;5;0;63;41;3;12;0;1;0
