ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C2305;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
R9207;RALN;CD;050000;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CS12299;RALN;CD;050000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C5517;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1582;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC10148;RALN;CD;050000;0;0;0;0;7;4;0;0;0;0;1;1;0;0;0;0
C1771;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4701;RALN;CD;050000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7214;RALN;CD;050000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C4410;RALN;CD;050000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5131;RALN;CD;050000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C2928;RALN;CD;050000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C7967;RALN;CD;050000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C3095;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
CM9058;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
C4609;RALN;CD;050000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P9104;RALN;CD;050000;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
UC10792;RALN;CD;050000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5150;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C3240;RALN;CD;050000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C4192;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6769;RALN;CD;050000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7337;RALN;CD;050000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5395;RALN;CD;050000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
