ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
IP10428;SSNA;LT;18260,18;1802,18;1684,68;40,04;60,08;2775,86
IP10428;SSNA;SI;23252,3;2679,07;2335,04;333,02;496,63;5206,84
IP10428;SSNA;LA;21078,67;4092,33;2114,67;0;60,67;1049,67
IP10490;SSNA;LT;18798,95;2185,32;1761,48;173,91;62,57;3894,07
IP10490;SSNA;SI;23134,21;3736,57;2308,15;395,59;507,12;5465,37
IP10490;SSNA;SF;22834;3575,68;2226,03;10,95;86,17;3752,05
IP10490;SSNA;LA;21255,83;3275,23;2128,24;42,67;114,64;3641,58
IP10490;SSNA;MD;39978,51;1622,29;6086,67;0;26832,17;402,57
IP10490;SSNA;DA;39980,73;6630,72;6016,66;0;45378,28;205,9
IP10490;SSNA;ST;23336,25;4957,25;2409,25;0;1306,75;4081,75
IP10490;SSNA;DS;40219,75;19,5;4505,75;0;13414;535
IP10535;SSNA;LT;19171,7;874,87;1691,54;30,92;110,49;3120,5
IP10535;SSNA;SI;23156,56;1260,45;2074,02;93,2;476,99;4426,73
IP10535;SSNA;SF;22923,02;1966,83;2141,23;444,64;118,17;2626,29
IP10535;SSNA;LA;21426,02;2396,48;2074,38;9,76;297;3360,15
IP10535;SSNA;MD;40051,25;1888,86;5950,43;0;20583,39;2106,22
IP10535;SSNA;DA;39979,5;52,5;4179,5;0;14830;0
IP10535;SSNA;ST;22895,53;2175,14;2107,53;0;1312,43;2388,24
IP11873;SSNA;LT;18107,38;714,21;1600,78;0;81,29;3074,88
IP11873;SSNA;SI;22701,31;3485,89;2260,73;0;545,61;3941,98
IP11873;SSNA;SF;21720,45;2987,99;2189,87;0;109,19;2141,09
IP11873;SSNA;LA;17937,53;1483,82;1663,57;0;95,36;2011,25
IP11873;SSNA;DA;39979;0;4591;0;24773;0
U12256;SSNA;LT;19004,51;822,97;1667,23;129,3;61,98;2887,69
U12256;SSNA;SI;22795,89;2113,04;2147,04;155,48;504,32;3369,46
U12256;SSNA;SF;22985,69;1931,55;2101,04;0;66,28;993,84
U12256;SSNA;LA;20474,65;1740,37;1901,05;9,78;95,14;896,27
U12256;SSNA;MD;39907,34;1246,58;5540,11;1128,41;17908,68;2647,08
U12256;SSNA;DA;39979,4;194,71;4700,48;0;18540;868,15
U12256;SSNA;ST;22883,3;2322,33;2136,63;1464,45;441,83;2416,74
U12256;SSNA;DS;39608,53;947,79;4595,88;197,96;7574,7;588,31
U12256;SSNA;DP;39982,15;302,96;4723,82;0;20421,74;18,56
U12256;SSNA;SV;22805,75;2204,71;2133,34;79,96;295,68;2610,56
U12256;SSNA;DT;39979;323,33;3822,67;0;8511,33;35
U12256;SSNA;MV;39979,76;3046,56;5899,39;89,15;16645,56;2547,21
U12262;SSNA;LT;19218,28;922,86;1697,26;25,98;79,24;2857,1
U12262;SSNA;SI;22852,65;1918,67;2142,65;50,19;501,44;3056,58
U12262;SSNA;SF;22969,45;1716,06;2123,95;14,02;62,02;1083,05
U12262;SSNA;LA;20501,97;2119,08;1934,59;6,02;96,36;776,54
U12262;SSNA;MD;39978,5;1367,08;5716,19;819,01;15874,94;2373,03
U12262;SSNA;DA;39981,75;0;5557,67;0;32723,6;23,55
U12262;SSNA;ST;23030,23;1580,43;2105,73;311,6;1047,55;2205,8
U12262;SSNA;DS;39979,79;2175,67;4924,7;0;6167,27;27,26
U12262;SSNA;SV;23018,85;1055,44;2086,63;0;198,53;1389,39
U12262;SSNA;DT;39979;715;4007;0;9367;1640
U12262;SSNA;MV;39979,86;1895,77;5643,08;345,45;13397,93;2000,85
AP192;SSNA;LT;23104,02;1316,17;2118;194,26;280,24;6176,83
AP192;SSNA;LA;21459,34;1380,09;1944,95;168,08;284,21;4904,94
AP192;SSNA;MD;39979,5;6001,5;6395,5;0;27409,5;725
AP192;SSNA;DS;39980,34;165,59;5477,43;3,65;23927,28;1377,81
AP192;SSNA;SV;23592,57;2415,98;2219,01;107,61;64,33;7116,91
AP192;SSNA;DT;39979,31;318,54;4878,31;0;28374,46;1323,08
U10520;SSNA;LT;19561,03;1128,69;1748,35;122,39;54,99;4118,01
U10520;SSNA;SI;22959,69;2649,33;2169,05;218,95;512,5;5249,54
U10520;SSNA;SF;22921,35;3078,72;2204,61;123,89;88,57;3705,23
U10520;SSNA;LA;21628,85;1948,64;2035,34;156,05;82,02;3283,66
U10520;SSNA;MD;39991,76;1259,47;5729,45;485,04;23559,7;2265,4
U10520;SSNA;DA;39980,35;469,72;6517,19;0;63879,59;189,18
U10520;SSNA;ST;23018,25;2955,04;2195,76;270,82;547,46;4745,74
U10520;SSNA;DS;39979,29;110,77;5214,5;41,41;33393,37;957,85
U10520;SSNA;DP;39979,3;0;5136,25;0;47994,8;835,3
U10520;SSNA;SV;23469,92;2973,05;2253,9;249,1;148,01;6270,81
U10520;SSNA;DT;39979,25;0;3836,25;0;21967,25;9
U10520;SSNA;MV;39979,05;3458,2;6289,85;238,46;25444,16;2384,83
U12386;SSNA;LT;19416,45;1813,9;1786,8;509,37;69,13;3916,71
U12386;SSNA;SI;22911,63;3113,09;2196,75;412,73;503,92;5417,85
U12386;SSNA;SF;22909,26;3433,09;2193,11;90,36;63,58;3072,69
U12386;SSNA;LA;20662,62;2534,31;2013,17;293,03;81,45;3059,68
U12386;SSNA;MD;39996,68;1304,72;5767,45;307,94;21517,8;2331,08
U12386;SSNA;DA;39854,38;302,88;7443,88;0;61526,13;15,38
U12386;SSNA;ST;22946,47;3705,68;2257,36;463,83;438,13;4756,41
U12386;SSNA;DS;39990,22;272,21;5067,86;113,89;16188,9;308,45
U12386;SSNA;DP;39979,2;0;7602,98;0;69941,24;0
U12386;SSNA;SV;22951,47;4865,37;2342,31;368,24;485,29;3124,29
U12386;SSNA;DT;39979;0;7603;0;76606;0
U10532;SSNA;LT;19535,34;2178,16;1818,73;1054,02;96,3;2242,17
U10532;SSNA;SI;22756,81;2910,43;2157,82;915,26;544,62;4072,88
U10532;SSNA;SF;22888,4;3176,69;2189,63;4,63;81,35;2026,85
U10532;SSNA;LA;20334,12;2731,58;1938,93;512,5;58,82;1292,42
U10532;SSNA;MD;39864,87;2832,6;6164,27;1347,08;20861,41;2443,25
U10532;SSNA;DA;40073,56;294,73;6580,1;0;39961,46;119,12
U10532;SSNA;ST;22744,24;3723,79;2215,78;2559,74;491,17;2714,71
U10532;SSNA;DS;39866,22;1261,91;5297;2513,76;14776,63;673,73
U10532;SSNA;DP;39979,5;0;6112,5;0;34746,5;0
U10532;SSNA;SV;22901,56;3155,87;2195,05;1465,99;64,84;4905,93
U10532;SSNA;DT;40011,97;384,19;5001,28;0;23028,23;0
U10532;SSNA;MV;39979,96;2404,96;6246,58;371,59;22605,4;2006,46
U12352;SSNA;LT;18921,92;2176,67;1756,41;497,42;65,35;3297,95
U12352;SSNA;SI;22929,15;3892,42;2333,49;723,65;510,38;5348,6
U12352;SSNA;SF;22574,27;3229,97;2170,59;8,9;142,42;2997,43
U12352;SSNA;LA;20781,77;2898,96;2220,43;769,71;69,86;3509,37
U12352;SSNA;MD;40166,85;1481,03;5443,68;34,25;18686,26;2404,49
U12352;SSNA;DA;39981,46;181,05;3678,19;0;22946,89;20,31
U12352;SSNA;ST;22955,83;3838,92;2262,1;389,83;969,99;3954,51
U12352;SSNA;DS;39979;284;4620,4;0;14688;0
U12352;SSNA;DP;39979;0;6419;0;58048;36
U9477;SSNA;LT;19554,17;1762,46;1818,05;154,7;60,52;2753,54
U9477;SSNA;SI;22981,5;2506,38;2169,03;400,91;497,1;3772,59
U9477;SSNA;SF;22967,52;2370,68;2186,83;30,09;61,95;1979,67
U9477;SSNA;LA;21428,99;2935,21;2091,04;129,94;80,01;1948,39
U9477;SSNA;MD;40003,46;1211,63;5705,71;390,35;21286;3331,57
U9477;SSNA;DA;39978,46;267,82;5231,55;0;25036,95;0
U9477;SSNA;ST;22995,82;2669,9;2193,89;235,45;589,57;3439,73
U9477;SSNA;DS;39979,05;100,7;4455,21;109,85;12463,54;410,56
U9477;SSNA;DP;39979,12;15,39;4942,66;296,8;18698,1;609,04
U9477;SSNA;SV;23335,26;3412,18;2284,76;207,35;178,55;4485,73
U9477;SSNA;DT;39979,12;218,93;5041,95;0;22595,72;7,26
U9477;SSNA;MV;40001,66;2896,74;5896,59;58,38;20359,91;2399,6
U9477;SSNA;MO;39979;0;7711;0;34936;29
U10751;SSNA;LT;19645,87;1959,92;1819,21;0;144,02;679,3
U10751;SSNA;SI;22887,26;3755,44;2245,52;0;501,84;441,38
U10751;SSNA;SF;23009,03;3465,78;2230,98;0;64,35;1331,99
U10751;SSNA;LA;20370,91;2225,41;1901,63;7,71;70,04;163,2
U10751;SSNA;MD;40025,73;2189,63;5446,18;0;12748,3;716,54
U10751;SSNA;DA;40082,89;70,35;3996,24;0;7893,86;35,45
U10751;SSNA;ST;22840,39;3520,95;2216,07;0;62,72;918,68
U10751;SSNA;DS;39979,14;242,45;4673,26;0;5634,23;641,1
U10751;SSNA;DP;39979,18;7,78;3927,01;0;6950,47;302,68
U10751;SSNA;SV;22885,09;4657,37;2318,91;0;67,85;2625,04
U10751;SSNA;DT;39979,31;153,69;3952,77;0;7300;37,31
U10751;SSNA;MV;39979,45;1650,16;5461,67;0;12758,62;2823,43
U9602;SSNA;LT;19278,63;1528,25;1856,62;377,18;555,06;4609,62
U9602;SSNA;SI;23277,19;2463,35;2302,78;629,76;633,18;5664,79
U9602;SSNA;SF;23278,16;2025,79;2233,58;136,92;193,45;3714,57
U9602;SSNA;LA;21170,15;2284,38;2171,86;120,32;678,31;3722,58
U9602;SSNA;MD;40957,4;1165,71;6668,79;1438,15;33176,08;14860,25
U9602;SSNA;ST;23275,83;2356,78;2270,06;890,68;730,38;4801,51
U9602;SSNA;DS;40763,15;105,71;5766,71;212,92;26714,11;11547,84
U9602;SSNA;SV;23295,08;2911,94;2319,85;117,18;382,18;5782,99
U9602;SSNA;MV;40700,41;2059,45;6559,76;1019,15;29325,34;16246,27
