ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C769;RALN;ND;CD;0,5;0;0;0;0;0;0;0
C5548;RALN;ND;CA;0;0;0;0;0;0;1;1
C5548;RALN;ND;CB;0;0;0;0;0;0;2;0
C5548;RALN;ND;CC;0;0;0;0;0;0;1;0
C4230;RALN;ND;CD;0,21;0;0;0;0;0;0;0
C4230;RALN;ND;CC;0,19;0,64;0;0;0;0;0;0
D8342;RALN;ND;CB;1,39;0,98;0;0;0;0,61;0;0
C1180;RALN;ND;CB;0;0;0;0;0;0;2;1
C3791;RALN;ND;CB;0;0;0;0;0;1;0;0
C8059;RALN;ND;CB;0;0;0;0;0,53;0,75;0,05;0,14
C5694;RALN;ND;CD;0;1,07;0;0;0;0;0;0
C5694;RALN;ND;CC;0,28;0,78;0;0;0,33;0,5;0;0
C5694;RALN;ND;CB;0;0;0;0;0;0;0;0,17
C4700;RALN;ND;CD;0;0,08;0;0;0;0;0;0
C6528;PRBZ;NF;PC;0;0;0;0;0;0;0,75;0
C6528;PRBZ;NF;CC;0;0,16;0;0;0;0;0;0
C6528;PRBZ;NF;CB;0;0,1;0;0;0;0;0;0
C6528;PRBZ;NF;CA;0;0,38;0;0;0;0;0;0
C7480;RALN;ND;CC;0;0,35;0;0;0;0;0;0
C7480;RALN;ND;CD;0,25;0;0;0;0;0;0;0
M8653;SCLA;CO;SR;2;4;0;0;0;0;0;0
M8653;MNST;MM;PC;25;45;0;0;0;0;0;0
M8653;MNST;MM;3A;4;3;0;0;0;0;0;0
M8653;SCLA;CO;DO;23;21;0;0;0;0;0;0
M8653;MNST;MM;2A;0;6;0;0;2;2;0;0
C1153;RALN;ND;CD;0,22;0;0;0;0;0;0;0
C4029;RALN;ND;CC;2,04;2,89;0;0;0;0;0;0
C4029;RALN;ND;CB;0;0,68;0;0;0;0;0;0
U10738;SSNA;ME;ST;0,92;5,82;0;0;0;0;0;0
U10738;SSNA;ME;DS;2,01;1,14;0;0;0;0;0;0
U10738;SSNA;ME;SI;0,39;7,59;0;0;0;0;0;0
U10738;SSNA;ME;MD;23,75;27,1;0;0;0;0;0;0
U10738;SSNA;ME;LT;0;1;0;0;0;0;0;0
U10738;SSNA;ME;LA;0,71;0,71;0;0;0;0;0;0
C2268;REVA;SC;CC;0,68;0,29;0;0;0;0;0;0
C4718;REFR;SC;CC;0;0;0;0;0;0,35;0,48;0
C2966;RALN;ND;CC;1,87;1,98;0;0;0;0,44;0;0
C2966;RALN;ND;CD;1,23;0,75;0;0;0;0;0;0
C2966;RALN;ND;CB;0;0;0;0;0,38;0,09;0,7;0,56
C8243;RALN;ND;CC;0,64;0;0;0;0;0;0;0
C8243;RALN;ND;CD;0,63;0;0;0;0;0;0;0
C1282;RALN;ND;CA;4;4;0;0;0;0;0;0
C1282;RALN;ND;CC;2,03;6,5;0;0;0;0;0,2;0
C1282;RALN;ND;CD;3;0;0;0;0;0;0;0
C7346;RALN;ND;CD;0,5;0;0;0;0;0;0;0,66
C5920;RALN;ND;CB;0,67;0,67;0;0;0;0;0;1,12
C5920;RALN;ND;CC;1,34;4,02;0;0;0;0;0;0
C5920;RALN;ND;CA;0;0;0;0;0;0;0,56;0
C792;RALN;ND;CD;0;1;0;0;0;0;0;0
C3495;RALN;ND;CB;0;0,31;0;0;0;0;0;0
C2233;RALN;ND;CA;1;1;0;0;0;0;0;0
C2233;RALN;ND;CC;1;1;0;0;0;0;0;0
C2233;RALN;ND;CB;0;1;0;0;0;0;0;0
UC9696;RALN;ND;CD;0,09;0;0;0;0;0;0;0
UC9696;RALN;ND;CB;0;0;0;0;0;0;0,03;0
C3611;RALN;ND;CC;0;0,06;0;0;0;0;0;0
CS11115;SSNA;ME;LA;0;0;0;0;2;2;0;0
CS11115;SSNA;ME;LT;0;0;0;0;0;5;0;0
C3583;RALN;ND;CC;0,5;0;0;0;0;0;0;0
C2744;RALN;ND;CB;1,13;0;0;0;0;0;0;2,22
C3807;RALN;ND;CC;0,15;0;0;0;0;0;0;0
C6911;RALN;ND;CB;0,59;2,38;0;0;0;0;0,56;1,68
C6911;RALN;ND;CC;1,19;10,15;0;0;0;0;0;0
