ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
C982;RALN;CC;045000;CC;046000;O;2
C982;RALN;CB;037493;CB;038491;O;1
C982;RALN;CD;0D4000;CD;0D5000;O;2
C2299;RALN;CB;034000;CB;036495;O;1
C2299;RALN;CC;0C1000;CC;042000;O;2
C2299;RALN;CD;0D4000;DI;0D0165;V;1
C2299;RALN;CD;0D5000;CD;099000;O;1
C2299;RALN;CC;043000;CC;045000;O;2
C2299;RALN;CC;045000;CC;046000;O;1
M8652;PPEN;IP;017836;IP;017951;O;31
M8652;MGOR;G1;0D0MT5;G1;0D0MT4;O;252
M8652;PPEN;RS;014197;RS;015198;O;386
M8652;PPEN;AS;013954;RS;014280;V;3
M8652;MGOR;G1;0D0MT4;G1;0D0MT3;O;2
M8652;PPEN;RS;014280;RS;014197;O;11
M8652;MGOR;G1;0D0MT8;G1;0D0MT7;O;613
M8652;PPEN;IP;017268;IP;017837;O;11
M8652;PPEN;DI;019246;DI;0D0926;O;158
M8652;MGOR;G1;0D0MT7;G1;0D0MT6;O;37
M8652;MGOR;G1;0D0MT6;G1;0D0MT5;O;266
M8652;MGOR;G1;0D0MT9;G1;0D0MT8;O;340
M8652;PPEN;AS;013955;AS;013954;O;2807
M8652;PPEN;VD;018185;DI;019246;V;153
M8652;PPEN;IP;014201;IP;015191;O;11
M8652;MNST;2A;032F02;2A;034F03;O;1784
M8652;MNST;2A;030F01;2A;032F02;O;2
M8652;MNST;2A;032F02;2A;034F03;O;21
M8652;MNST;2A;030F01;2A;032F02;O;124
M8652;MNST;2A;030F01;2A;032F02;O;21
M8652;MNST;2A;032F02;2A;034F03;O;69
M8652;MNST;2A;034F03;2A;035F04;O;46
M8652;MNST;2A;034F03;2A;035F04;O;2286
M8652;MNST;1A;024F02;1A;024F03;O;6
M8652;MNST;2A;034F03;2A;035F04;O;34
M8652;MNST;2A;034F03;2A;035F04;O;6
M8652;MNST;1A;024F02;1A;024F03;O;18
M8652;PPEN;AS;013257;AS;013179;O;688
M8652;PPEN;RP;000180;AS;013257;V;1322
M8652;PPEN;AS;013179;AS;013181;O;192
M8652;PPEN;AS;013181;AS;013259;O;219
M8652;PPEN;AV;000180;AS;013257;V;1322
M8652;MNST;1A;023F01;1A;024F02;O;5
M8652;MNST;1A;024F02;1A;024F03;O;947
M8652;PPEN;AS;013259;AS;013955;O;1233
M8652;MNST;1A;023F01;1A;024F02;O;66
M8652;MNST;1A;023F01;1A;024F02;O;17
M8652;MNST;3A;040F01;3A;041F02;O;3
M8652;MNST;2A;035F05;2A;035F06;O;4
M8652;MNST;3A;041F02;3A;042F03;O;1059
M8652;MNST;3A;041F02;3A;042F03;O;1
M8652;MNST;3A;042F03;3A;043F04;O;79
M8652;MNST;3A;041F02;3A;042F03;O;424
M8652;MNST;2A;035F04;3A;042F03;V;1
M8652;MNST;3A;040F01;3A;041F02;O;105
M8652;MNST;2A;034F03;3A;041F02;V;1
M8652;MNST;2A;035F05;2A;035F06;O;185
M8652;MNST;3A;040F01;3A;041F02;O;2
M8652;MNST;3A;040F01;3A;041F02;O;136
M8652;MNST;3A;042F03;3A;043F04;O;2
M8652;MNST;2A;035F05;3A;041F02;V;1
M8652;MNST;3A;041F02;3A;042F03;O;72
M8652;MNST;3A;044F06;3A;044F07;O;26
M8652;MNST;3A;044F05;3A;044F06;O;10
M8652;MNST;3A;044F06;3A;044F07;O;1
M8652;CPEN;CP;0D0DPP;CP;0D0DGP;O;2
