ANNO;CODI_TITOLO;DESC_TITOLO
2019;004000;LICENZA MEDIA SUPERIORE
2019;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2019;003000;"FINO ALLA SCUOLA DELL'OBBLIGO"
2019;004500;LAUREA BREVE
2019;005000;LAUREA
2019;008000;ALTRI TITOLI POST LAUREA
