ANNO;CODI_COMPARTO;DESC_COMPARTO;CODI_AGGREGATO;DESC_AGGREGATO;CODI_CONTRATTO;DESC_CONTRATTO
2018;FL;FUNZIONI LOCALI;04;REGIONI ED AUTONOMIE LOCALI;RALN;REGIONI E AUT.LOC. (CCNL NAZ.)
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;REFR;CONTRATTO FRIULI VENEZIAGIULIA
2018;AF;COMPARTO AUTONOMO O FUORI COMPARTO;28;ENTI ART.60 -COMMA 3- D.165/01;EN60;ENTI ART 60 COMMA 3 D 165 01
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RESA;CONTRATTO REGIONE SARDEGNA
2018;SA;"SANITA'";01;SERVIZIO SANITARIO NAZIONALE;SSNA;SERVIZIO SANITARIO NAZIONALE
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;PRBZ;PROV. AUTONOMA DI BOLZANO
2018;FC;FUNZIONI CENTRALI;02;ENTI PUBBLICI NON ECONOMICI;EPNE;ENTI PUBBLICI NON ECONOMICI
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;REVA;"REGIONE VALLE D'AOSTA"
2018;IR;ISTRUZIONE E RICERCA;07;SCUOLA;SCLA;SCUOLA
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;PRTN;PROV. AUTONOMA DI TRENTO
2018;AF;COMPARTO AUTONOMO O FUORI COMPARTO;LS;ENTI LISTA S13 ISTAT;LS13;ENTI LISTA S13
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;PR;PROFESSORI E RICERCATORI UNIVERSITARI;PRUN;PROFESSORI E RICERCATORI UNIVERSITARI
2018;IR;ISTRUZIONE E RICERCA;08;"UNIVERSITA'";UNIV;"UNIVERSITA'"
2018;FC;FUNZIONI CENTRALI;05;MINISTERI;MNST;MINISTERI
2018;FC;FUNZIONI CENTRALI;15;AGENZIE FISCALI;AGFI;AGENZIE FISCALI
2018;IR;ISTRUZIONE E RICERCA;03;ENTI DI RICERCA;ERIC;ENTI DI RICERCA
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;31;CARRIERA PREFETTIZIA;CPRE;CARRIERA PREFETTIZIA
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;30;CARRIERA PENITENZIARIA;CPEN;CARRIERA PENITENZIARIA
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RESI;CONTRATTO REGIONE SICILIA
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;AVST;AVVOCATURA DI STATO
2018;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RETN;CONTRATTO REGIONE TRENTINO
2018;AF;COMPARTO AUTONOMO O FUORI COMPARTO;14;"AUTORITA' INDIPENDENTI";AUIN;"AUTORITA'' INDIPENDENTI"
2018;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;12;MAGISTRATURA;MAMI;MAGISTRATURA MILITARE
2018;IR;ISTRUZIONE E RICERCA;33;IST. FORM.NE ART.CO MUS.LE;AFAM;ISTIT.NI FORM.NE ART. E MUSIC.
2018;FC;FUNZIONI CENTRALI;74;ENTI ART.70 - E.N.A.C.;ENAC;E.N.A.C.
