ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C4204;RALN;CC;0C1000;A30;0;1
C7969;RALN;CC;0C1000;A23;2;2
C2569;RALN;CC;0C1000;A23;2;3
C3292;RALN;CC;0C1000;A23;1;0
C4204;RALN;CC;0C1000;A23;4;2
C2569;RALN;CC;0C1000;A24;0;1
C942;RALN;CC;0C1000;A23;0;1
C8186;RALN;CC;0C1000;A23;2;3
C2807;RALN;CC;0C1000;A23;1;0
CM12344;RALN;CC;0C1000;A31;1;0
C5082;RALN;CC;0C1000;A23;1;1
C7647;RALN;CC;0C1000;A30;1;1
C7404;RALN;CC;0C1000;A30;0;1
C7097;RALN;CC;0C1000;A23;1;0
CM12344;RALN;CC;0C1000;A23;3;6
C4177;RALN;CC;0C1000;A30;0;1
C5130;RALN;CC;0C1000;A23;2;0
C2304;RALN;CC;0C1000;A24;1;0
C6283;RALN;CC;0C1000;A23;3;1
C7687;RALN;CC;0C1000;A23;0;2
C4989;RALN;CC;0C1000;A35;1;0
C4265;RALN;CC;0C1000;A24;0;1
C4642;RALN;CC;0C1000;A23;6;7
C5386;RALN;CC;0C1000;A24;4;2
C5732;RALN;CC;0C1000;A31;4;2
C3485;RALN;CC;0C1000;A23;0;1
C5016;RALN;CC;0C1000;A24;3;1
C4642;RALN;CC;0C1000;A41;0;1
C5732;RALN;CC;0C1000;A24;3;0
CM12344;RALN;CC;0C1000;A24;1;3
C2807;RALN;CC;0C1000;A24;1;0
CM12344;RALN;CC;0C1000;A30;0;1
IP10580;RALN;CC;0C1000;A23;0;2
V9795;RALN;CC;0C1000;A23;2;2
N10837;RALN;CC;0C1000;A23;3;4
C7706;RALN;CC;0C1000;A23;1;0
C4204;RALN;CC;0C1000;A24;1;1
C2792;RALN;CC;0C1000;A23;2;7
C6338;RALN;CC;0C1000;A23;0;2
C7537;RALN;CC;0C1000;A23;3;0
C5523;RALN;CC;0C1000;A24;0;2
C6685;RALN;CC;0C1000;A23;2;0
C3316;RALN;CC;0C1000;A23;4;0
C2260;RALN;CC;0C1000;A24;1;0
C5966;RALN;CC;0C1000;A23;2;4
C2462;RALN;CC;0C1000;A23;3;4
C1626;RALN;CC;0C1000;A23;2;3
C256;RALN;CC;0C1000;A24;1;0
C4970;RALN;CC;0C1000;A23;0;1
CS10072;RALN;CC;0C1000;A23;0;1
C6022;RALN;CC;0C1000;A23;0;3
C1550;RALN;CC;0C1000;A23;3;5
C4996;RALN;CC;0C1000;A23;5;0
C2260;RALN;CC;0C1000;A23;1;1
UC11814;RALN;CC;0C1000;A23;3;1
C3273;RALN;CC;0C1000;A23;0;1
C6764;RALN;CC;0C1000;A23;2;0
C12251;RALN;CC;0C1000;A23;1;1
C1946;RALN;CC;0C1000;A23;0;2
C6537;RALN;CC;0C1000;A30;1;0
C878;RALN;CC;0C1000;A23;3;0
C3709;RALN;CC;0C1000;A23;3;4
C1560;RALN;CC;0C1000;A23;1;2
C6721;RALN;CC;0C1000;A23;1;2
C6368;RALN;CC;0C1000;A23;0;4
C5885;RALN;CC;0C1000;A30;2;0
CS10247;RALN;CC;0C1000;A23;1;0
C3316;RALN;CC;0C1000;A30;1;0
C2497;RALN;CC;0C1000;A23;0;1
C4473;RALN;CC;0C1000;A23;0;1
C3137;RALN;CC;0C1000;A24;1;0
C7214;RALN;CC;0C1000;A23;0;1
C7928;RALN;CC;0C1000;A23;1;2
C7798;RALN;CC;0C1000;A23;1;1
UC12469;RALN;CC;0C1000;A23;0;1
C6020;RALN;CC;0C1000;A23;11;14
C1339;RALN;CC;0C1000;A23;0;1
C1230;RALN;CC;0C1000;A23;0;1
C7647;RALN;CC;0C1000;A23;2;7
C4265;RALN;CC;0C1000;A23;1;0
C2608;RALN;CC;0C1000;A23;1;7
C5523;RALN;CC;0C1000;A23;1;0
C5885;RALN;CC;0C1000;A23;4;4
C8210;RALN;CC;0C1000;A23;1;0
C6627;RALN;CC;0C1000;A41;1;0
C4397;RALN;CC;0C1000;A23;0;1
C6851;RALN;CC;0C1000;A24;3;1
C2657;RALN;CC;0C1000;A23;1;2
C5066;RALN;CC;0C1000;A23;0;1
C3287;RALN;CC;0C1000;A23;2;5
C2333;RALN;CC;0C1000;A23;1;0
C815;RALN;CC;0C1000;A23;1;1
C5032;RALN;CC;0C1000;A30;1;0
C998;RALN;CC;0C1000;A23;0;3
C6758;RALN;CC;0C1000;A23;3;5
C6121;RALN;CC;0C1000;A23;0;1
C5951;RALN;CC;0C1000;A24;1;0
C4829;RALN;CC;0C1000;A23;1;1
C798;RALN;CC;0C1000;A23;0;2
C6626;RALN;CC;0C1000;A23;0;2
C6454;RALN;CC;0C1000;A24;1;1
C3303;RALN;CC;0C1000;A23;1;0
C3466;RALN;CC;0C1000;A23;3;5
C3979;RALN;CC;0C1000;A23;0;1
C5984;RALN;CC;0C1000;A23;2;1
C5016;RALN;CC;0C1000;A30;7;6
C1242;RALN;CC;0C1000;A35;1;0
C3144;RALN;CC;0C1000;A23;0;3
C7789;RALN;CC;0C1000;A30;1;3
C3219;RALN;CC;0C1000;A23;0;2
CM9053;RALN;CC;0C1000;A24;1;0
C6952;RALN;CC;0C1000;A23;3;0
C6241;RALN;CC;0C1000;A30;1;2
C538;RALN;CC;0C1000;A23;0;7
C538;RALN;CC;0C1000;A30;0;2
C13912;RALN;CC;0C1000;A24;1;0
C314;RALN;CC;0C1000;A23;0;1
C5263;RALN;CC;0C1000;A23;8;19
C3770;RALN;CC;0C1000;A23;11;11
C3219;RALN;CC;0C1000;A30;0;1
