ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
C5639;RALN;ND;CB;0;0;0;0;0,95;0;0;0
C5296;RALN;ND;CC;0;0;0;0;0;0,05;0;0
C7082;RALN;ND;CC;0,39;0,38;0;0;0;0;0;0
C5395;RALN;ND;CD;0,38;0,25;0;0;0;0;0;0
C605;RALN;ND;CC;0;0;0;0;0,5;0;0;0
C605;RALN;ND;CD;0;0,5;0;0;0;0;0;0
OL13742;EPNE;ME;AT;0;0;0;0;1;0;0;0
C3022;RALN;ND;CD;1;0;0;0;0;0;0;0
C3022;RALN;ND;CC;2;2;0;0;0;0;0;0
C3022;RALN;ND;CB;10;0;0;0;0;0;0;0
C3876;RALN;ND;CB;1;0;0;0;0;0;0;0
C2215;RALN;ND;CD;2;0;0;0;0;0;0;0
C2215;RALN;ND;CC;0;1;0;0;0;0;0;0
C14127;PRTN;NF;CB;0,9;0;0;0;0;0;0;0
C14127;PRTN;NF;CC;1,25;1,47;0;0;0;0;0;0
C14127;PRTN;NF;CA;0;0,32;0;0;0;0;0;0
C3742;RALN;ND;CD;0,17;0,53;0;0;0;0;0;0
C6514;RALN;ND;CB;0;0;0;0;0,04;0;0;0
C6514;RALN;ND;CD;0,38;0,23;0;0;0;0;0;0
C6198;RALN;ND;CB;0,17;0;0;0;0;0;0;0
C6198;RALN;ND;CD;1,28;2,68;0;0;0;0;0;0
C6198;RALN;ND;CC;5,49;3,74;0;1,08;0;0;0;0
M10756;MNST;MM;FU;21;17;0;0;0;0;0;0
C5783;RALN;ND;CC;0;0;0;0;0;1;0;0
PA11069;RALN;ND;CC;0;0;0;0,25;0;0;0;0
C6096;RALN;ND;CC;0;0,01;0;0;0;0;0;0
C4728;RALN;ND;CC;1;1;0;0;0;0;0;0
C2682;RALN;ND;CB;0;0,3;0;0;0;0;0;0
PA12204;RALN;ND;CC;0;0,83;0;0;0;0;0;0
PA12204;RALN;ND;CB;0;0;0;0;0,5;0;0;0
OL13657;EPNE;ME;AT;0;0;0;0;0;1;0;0
U9517;SSNA;ND;LA;0;1;0;0;0;0;0;0
U9517;SSNA;ND;MD;13,92;25,83;0;0;0;0;0;0
U9517;SSNA;ND;SI;19,98;38,96;0;0;0;0;0;0
C7566;RALN;ND;CC;0,3;0;0;0;0;0;0;0
C6477;RALN;ND;CC;0,3;0,13;0;0;0;0;0;0
AS12997;LS13;NF;LI;0;0;0;0;2,92;2,5;0;0
C3575;RALN;ND;CB;0;0;0;0;1;0;0;0
C1627;RALN;ND;CD;0,13;0;0;0;0;0;0;0
C4164;RALN;ND;CB;0;0;0;0;0,17;0;0;0
C7466;RALN;ND;CB;0;0;0;0;0;0;0,45;0,07
P9068;RALN;ND;CD;2;0;0;0;0;0;0;0
IP12431;LS13;NF;LI;0;1,44;0;0;0;0;0;0
C1755;RALN;ND;CA;0;0;0;0;0;0;4;0
C1107;RALN;ND;CB;0;0;0;0;0;0;0,02;0,06
C2382;RALN;ND;CC;0,75;0,48;0;0;0;0;0;0
UC8794;RALN;ND;PC;6,25;1;0;0;0;0;0;0
C2917;RALN;ND;CC;0,66;0,36;0;0;0;0;0;0
C1623;RALN;ND;CB;1,18;0,4;0;0;0;0;3;0
C1623;RALN;ND;CC;0,83;0,83;0;0;0;0;0;0
C1623;RALN;ND;CD;1,21;0;0;0;0;0;0;0
C1197;RALN;ND;CC;2;1;0;0;0;0;0;0
C1197;RALN;ND;CB;5;5;0;0;0;2;0;0
UC10909;RALN;ND;CD;0,99;0;0;0;0;0;0;0
C2781;RALN;ND;CD;0,36;0,76;0;0;0;0;0;0
C2781;RALN;ND;CC;0,38;0,27;0;0;1,38;0,15;0;0
C4533;RALN;ND;CC;1,26;3,88;0;0;0;0;0;0
C4533;RALN;ND;CD;0;1,02;0;0;0;0;0;0
C4717;RALN;ND;CC;0;0;0;0,95;0;0;0;0
C6241;RALN;ND;CA;0;0;0;0;0;0;0,13;0
C6241;RALN;ND;CB;0;0,04;0;0;0;0;0;0
C5995;RALN;ND;CD;0,29;0;0;0;0;1;0;0
C5995;RALN;ND;CC;0;0;0;0;0;0;1,68;0,56
C5995;RALN;ND;CB;0;0;0;0;1;0;0;0,56
C2274;RALN;ND;CC;0,93;0;0;0;0;0;0;0
CS14502;RALN;ND;CD;0;4,09;0;0;0;0;0;0
OL13332;EPNE;ME;AT;0;0;0;0;0;1;0;0
C4585;RALN;ND;CB;0;0;0;0;1;0;0;0
OL13222;EPNE;ME;AT;0;0;0;0;0;1;0;0
C1589;RALN;ND;PC;0;0;0;0;1;0;0;0
C4721;RALN;ND;PC;0,2;0;0;0;0;0;0;0
C7809;RALN;ND;CC;1,23;3,57;0;0;0;0;0;0
C7809;RALN;ND;CD;2,43;13,52;0;0;0;0;0;0
C5708;RALN;ND;CC;0;0,17;0;0;0;0;0;0
C3953;PRTN;NF;CB;0,61;0;0;0;0;0;0;0
C3953;PRTN;NF;CC;0;0,13;0;0;0;0;0;0
C3953;PRTN;NF;CA;0;0,19;0;0;0;0;0;0
C4263;RALN;ND;CB;0;0;0;0;0;0;0,2;0
C215;RALN;ND;CC;0;1,58;0;0;0;0;0;0
OL13157;EPNE;ME;AT;0;1;0;0;0;1;0;0
CS12604;LS13;NF;LI;1;7;0;0;0;2;0;0
CV14398;AFAM;AT;PA;1;8;0;0;0;0;0;0
CV14398;AFAM;AT;PR;17;6;0;0;0;0;0;0
C5897;RALN;ND;CD;0;3,57;0;3,22;0;0;0;0
C5897;RALN;ND;CC;7,19;60,6;0;0;0;0;0;0
C5213;RALN;ND;CD;0,08;0;0;0;0;0;0;0
OL13769;EPNE;ME;AT;1;0;0;0;0;0;0;0
C7496;RALN;ND;CC;1;0;0;0;0;0;0;0
C7496;RALN;ND;CA;0;0;0;0;0;0;0;1
C6427;RALN;ND;CB;1;0;0;0;0;0;0;0
C6480;RALN;ND;CC;0,21;0;0;0;0;0;0;0
D8407;EN60;ND;LI;0;0;0;0;2,22;3,19;0;0
C3102;RALN;ND;CC;0;1;0;0;0;0;0;0
C8243;RALN;ND;CD;0,25;0;0;0;0;0;0;0
N8745;RALN;ND;CD;1;0;0;0;0;0;0;0
C2563;RALN;ND;CA;0;0;0;0;0;0;0,75;0
C2563;RALN;ND;CC;0,49;0,37;0;0;0;0;0;0
C2563;RALN;ND;CD;0;1,48;0;0;0;0;0;0
C3749;RALN;ND;CC;0,33;0,33;0;0;0;0;0;0
C4313;RALN;ND;CA;0;0;0;0;0;0;1;0
C4313;RALN;ND;CB;0;0;0;0;0;0;1;3
C1015;PRTN;NF;CB;0;1,86;0;0;0;0;0;0
C1015;PRTN;NF;CC;1,49;3,45;0;0;0;0;0;0
C1015;PRTN;NF;CA;0;1;0;0;0;0;0;0
C6437;RALN;ND;CD;0,99;2;0;0;0;0;0;0
C6437;RALN;ND;CC;1,42;0;0;0;0;0;0;0
N8932;RALN;ND;PC;45;31;0;0;0;0;0;0
N8932;RALN;ND;CB;0,13;0;0;0;0;0;0;0
C6571;RALN;ND;CC;0,82;0,48;0;0;0;0;0;0
C6571;RALN;ND;PC;1,23;0;0;0;0;0;0;0
UC8800;RALN;ND;CC;0;0;0;0;0;1;0;0
C452;RALN;ND;CD;0;0;0;0;0;0,83;0;0
C6552;RALN;ND;CC;0,56;0,3;0;0;0;0;0;0
C6552;RALN;ND;CB;0;0;0,44;0;0;0;0;0
C2249;RALN;ND;CD;1,49;2,86;0;2;0;0,1;0;0
C2249;RALN;ND;CB;3,19;5,89;0;0;0;0;0;0
C2249;RALN;ND;CC;1;24,82;9,16;4,07;0;0;0;0
UC12257;RALN;ND;CC;1,08;1,57;0;0;0;0;0;0
UC12257;RALN;ND;CD;0,17;3,82;0;0;0;0;0;0
AC14392;AFAM;AT;PR;0;0,83;0;0;0;0;0;0
AC14392;AFAM;AT;PA;2;3,47;0;0;3;1,82;0;0
C3115;RALN;ND;CC;4,22;34,44;0;0,59;3,41;0,58;0;0
C3115;RALN;ND;PC;0;0;0;0;0;0;3,44;0,43
C3115;RALN;ND;CD;0;2,92;0;0,17;0,83;0,66;0;0
C3115;RALN;ND;CB;0,89;5,96;0;0;0,58;0,27;0;0
UC10044;RALN;ND;CB;0,66;0;0;0;0;0;0;0
C6937;RALN;ND;CD;1;1;0;0;0;0;0;0
C6937;RALN;ND;CC;1;2;0;0;0;1;0;0
C6845;RALN;ND;CC;0;1;0;0;0;0;0;0
CS10311;RALN;ND;CC;0;1;0;0;0;0;0;0
CS10311;RALN;ND;CD;0;0;0;0;0;3;0;0
LS12064;LS13;NF;LI;17,59;10,71;0;0;0;0;0;0
C5217;RALN;ND;CC;0,71;1;0;0,46;0;0;0;0
C5217;RALN;ND;CD;0;0,18;0;0;0;0;0;0
C6193;RALN;ND;CB;0,19;0;0;0;0;0;0;0
C8250;RALN;ND;CC;0,83;3,73;0;0;0;0;0;0
C3324;RALN;ND;CD;2,34;1;0;0;0;0;0;0
C2340;RALN;ND;CA;0;0;0;0;0;0;0,83;1,55
C2340;RALN;ND;CC;0;0;0;0;0;0;0,55;1,55
C2340;RALN;ND;CD;1,36;0,5;0;0;0;0;0;0
