ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
U12256;REFR;CB;21066,81;35,86;1758,92;3,26;1008,97;1510,49
U12256;REFR;CD;27801,78;6,7;2389,34;0;2928,98;1969,74
U12256;REFR;CC;24178,66;22,17;2021,11;0;1868,77;1722,45
U14017;REFR;CB;21581,75;11,35;1801,97;150,52;1015,17;1397,54
U14017;REFR;CD;28432,25;6,62;2506,3;29,62;3136,21;1100,75
U14017;REFR;CC;24476,92;61,44;2044,45;0;1708,77;1665,92
U14017;REFR;DI;44566;0;5252;0;21824;0
IP11873;REFR;CB;21623,16;0;1805,41;0;981,09;2206,25
IP11873;REFR;CD;28559,29;0;2340,89;0;1955,71;2311,66
IP11873;REFR;CC;23196,75;0;1861,46;0;1021,7;0
C7695;REFR;CB;20199,81;44,86;1708,04;99,65;748,94;3469,06
C7695;REFR;CD;28419,41;30,24;2367,07;152,22;2295,39;2863,01
C7695;REFR;CC;24007,49;42,67;1992,4;58,37;1061,95;2814,07
C7695;REFR;DI;44900,44;7,93;3714,51;0;42250,88;138
C7695;REFR;CA;18934,84;26,95;1534,89;139;661,76;3561,96
C7695;REFR;FP;42207;0;3499;0;77761;0
C7695;REFR;XB;28148,26;90,75;2329,59;540;2912,26;5468,5
C7695;REFR;XA;23645;30,67;1986,27;304,14;1933,65;5038,47
C2863;REFR;CB;21359,71;38,27;1786,7;161,91;1015,98;399,12
C2863;REFR;CD;29203,11;81,93;2463,82;393,35;8244,16;696,34
C2863;REFR;CC;24305,39;58,93;2034,63;90,19;1259,07;380,15
C2863;REFR;XB;30872;0;2573;2970;12081;54
C2863;REFR;XA;24243,37;0;2020,21;860;2282,53;2121,89
C2592;REFR;CB;19800,4;0;1617,27;1951,89;779,71;1051,37
C2592;REFR;CD;30581,76;32,79;3063,31;66,99;8409,45;935,34
C2592;REFR;CC;24169,85;0;1908,1;473,98;910,09;1643,47
C2592;REFR;XA;24929,33;0;2087;226,33;2042;3196,33
C5758;REFR;CB;20327;0;1694;1018,33;1002;1005
C5758;REFR;CD;28557,25;65,25;2385,25;823;8719,75;3216,25
C5758;REFR;CC;23976,08;59,12;2001,96;414,67;1159,19;1082,26
C5758;REFR;XB;28478;436;1920;808;10355;336
C5758;REFR;XA;23355,47;0;1946,4;1867,05;2255,5;2254,11
C4074;REFR;CB;19351;0;1613;79;990;63
C4074;REFR;CD;28084,87;0;2914,43;75,13;10238,96;0
C4074;REFR;CC;23862,08;0;2017,68;466,99;1411,79;1277,41
C7689;REFR;CB;19881,71;0;1524,93;180,3;948,34;2235,31
C7689;REFR;CD;28826,5;296;3097;0;10545,5;1694
C7689;REFR;CC;24598,89;0;2370,46;528,1;1105,53;4079,89
C3443;REFR;CB;20484,16;18,18;1717,67;606,96;994,4;1822,74
C3443;REFR;CD;29200,86;21,04;2565,43;546,21;2820,18;1785,37
C3443;REFR;CC;24249,29;19,44;2011,22;426,84;1414,01;1514,48
C3443;REFR;DI;44566,2;331,8;6370,8;0;40670,4;8051,8
C3443;REFR;CA;18976,86;77,63;1588,62;8,17;850,34;1561,07
C3443;REFR;FP;41779;0;7480;0;83268;0
C3443;REFR;XB;26449,03;0;2205,94;1138,97;2349,26;2497,03
C3443;REFR;XA;24162,76;16,91;2023,29;259,12;2199,63;3906,68
C3443;REFR;XC;35649;457;3716;738;14902;208
C6261;REFR;CB;20676,55;35,02;1728,59;834,37;1035,15;2075,55
C6261;REFR;CD;27739,76;0;2308,42;285;4399,22;1903,85
C6261;REFR;CC;23773,99;53,26;1982,09;376,94;1153,39;1859,29
C6261;REFR;FP;41779;0;3523;0;43439;0
C6261;REFR;XB;27475,5;0;2289,5;222;9415,5;1374,5
C6261;REFR;XA;24198,84;45,51;2016,07;225,31;2287,68;3616,67
C3460;REFR;CB;21146,91;42,01;1767,95;278,01;1011,51;392,09
C3460;REFR;CD;32334;0;2702;0;11220,75;2343,5
C3460;REFR;CC;23838,88;12,12;2078,23;99,47;1162,23;136,53
C3460;REFR;XB;29675;0;2473;1549;10446;0
C3460;REFR;XA;24741;0;2062;2647;2264,33;672,33
C2514;REFR;CB;19882,79;0;1715,11;480,52;1005,59;65,5
C2514;REFR;CD;31107;0;3232;289;9025;2208
C4754;REFR;CB;20920,75;0;1744,5;408;1022,5;2005,25
C4754;REFR;CD;29080;0;2423,33;145,67;11838,67;3588,33
C4754;REFR;CC;24042,15;150,46;1864,31;808,31;1149,54;2369,54
C4754;REFR;XA;24096;0;2008;860;2287,5;1600
