ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
C2020;RALN;CD;0D0I96;Z01;0;1;0;0
C2020;RALN;CD;049000;Z01;0;1;0;0
C2020;RALN;RP;000096;Z01;8;0;0;0
C2020;RALN;CB;034000;Z01;4;6;0;0
C2020;RALN;CC;0C1000;Z01;2;1;0;0
C2020;RALN;CD;099000;Z01;0;1;0;0
C2020;RALN;CB;054000;Z01;2;0;0;0
C2020;RALN;CC;042000;Z01;1;0;0;0
C2020;RALN;CC;097000;Z01;0;2;0;0
C2020;RALN;CD;0D1000;Z01;3;1;0;0
C2020;RALN;CC;046000;Z01;3;1;0;0
C1244;RALN;CC;043000;Z01;2;0;0;0
C1244;RALN;CC;0C1000;Z01;0;3;0;0
C1244;RALN;CC;097000;Z01;3;3;0;0
C1244;RALN;CD;0D7000;Z01;0;5;0;0
C1244;RALN;CB;0B8000;Z01;2;0;0;0
C1244;RALN;CC;042000;Z01;0;2;0;0
C1244;RALN;CD;0D5000;Z01;2;0;0;0
C1244;RALN;CB;032000;Z01;0;1;0;0
C1244;RALN;CB;0B7A00;Z01;0;3;0;0
C1244;RALN;CC;045000;Z01;0;1;0;0
D8373;RALN;CB;038491;Z01;1;0;0;0
D8373;RALN;CD;0D4000;Z01;1;0;0;0
D8373;RALN;CB;0B7000;Z01;8;3;0;0
D8373;RALN;CD;0D7000;Z01;10;0;0;0
D8373;RALN;CB;0B8000;Z01;1;1;0;0
D8373;RALN;CC;0C1000;Z01;0;1;0;0
D8373;RALN;CC;097000;Z01;3;1;0;0
D8373;RALN;CD;050000;Z01;1;0;0;0
D8373;RALN;CB;0B7A00;Z01;2;2;0;0
CS9936;RALN;CC;0C1000;Z01;1;0;0;0
CS9936;RALN;CC;046000;Z01;0;1;0;0
CS9936;RALN;CC;043000;Z01;0;3;0;0
CS9936;RALN;CD;0D1000;Z01;1;7;0;0
C13343;RALN;CC;0C1000;Z01;2;2;1;1
C13343;RALN;CC;042000;Z01;1;0;0;0
C6007;RALN;CD;0D5000;Z01;1;0;0;0
C3150;RALN;CD;0D4000;Z01;1;0;0;0
C3150;RALN;CD;0D1000;Z01;0;1;0;0
C3150;RALN;CD;0D5000;Z01;0;7;0;0
C3150;RALN;CB;036494;Z01;1;0;0;0
C3150;RALN;CC;0C1000;Z01;0;5;0;0
C3150;RALN;CD;049000;Z01;2;2;0;0
C3150;RALN;CC;046000;Z01;0;4;0;4
C3150;RALN;CB;038490;Z01;0;2;0;0
C3150;RALN;CD;099000;Z01;0;2;0;0
C3150;RALN;CC;042000;Z01;0;1;0;0
C3150;RALN;CC;043000;Z01;0;3;0;0
C3150;RALN;CB;055000;Z01;1;0;0;0
C3150;RALN;CB;034000;Z01;1;0;0;0
C3150;RALN;CB;054000;Z01;1;0;0;0
C6867;RALN;CC;046000;Z01;3;3;0;0
C6867;RALN;CC;043000;Z01;3;3;0;0
C6867;RALN;CB;038491;Z01;3;2;0;0
C6867;RALN;CB;0B8000;Z01;3;3;0;0
C6867;RALN;CD;050000;Z01;3;4;0;0
C6867;RALN;CB;037493;Z01;1;2;0;0
C6867;RALN;CD;0D4000;Z01;3;4;0;0
C6867;RALN;CC;045000;Z01;3;3;0;0
C6867;RALN;CB;037492;Z01;3;2;0;0
C6867;RALN;CB;036494;Z01;3;2;0;0
C6867;RALN;CB;032000;Z01;1;0;0;0
C6867;RALN;FP;0D0103;Z01;0;2;0;0
C6867;RALN;CD;0D7000;Z01;2;3;0;0
C6867;RALN;CD;099000;Z01;3;5;0;0
C6867;RALN;CC;097000;Z01;3;3;0;0
C6867;RALN;CB;038490;Z01;3;3;0;0
C6867;RALN;CD;049000;Z01;3;3;0;0
C6867;RALN;CB;0B7000;Z01;2;2;0;0
C6867;RALN;DI;0D0164;Z01;3;1;0;0
C6867;RALN;CB;0B7A00;Z01;3;3;0;0
C6867;RALN;CC;0C1000;Z01;3;3;0;0
C6867;RALN;CB;034000;Z01;2;0;0;0
C6867;RALN;CB;036495;Z01;3;2;0;0
C6867;RALN;CC;042000;Z01;3;3;0;0
C6867;RALN;CD;0D5000;Z01;3;3;0;0
C6867;RALN;CD;0D1000;Z01;3;3;0,375;0,375
C7484;RALN;DI;0D0164;Z01;1105;1069;29,864864864865;28,891891891892
C7484;RALN;CC;0C1000;Z01;20065;13836;60,987841945289;42,054711246201
C7484;RALN;CD;0D1000;Z01;2841;6668;0;0
C7484;RALN;CB;054000;Z01;346;3505;0;0
C7484;RALN;CD;050000;Z01;1931;2881;13,409722222222;20,006944444444
C3685;PRBZ;CA;000727;Z01;0;2;0;0
C3685;PRBZ;CC;000722;Z01;0;2;0;0
C3685;PRBZ;CD;000719;Z01;6;0;0;0
C3685;PRBZ;CA;000729;Z01;1;2;0;0
C3685;PRBZ;CB;000723;Z01;9;1;0;0
C3685;PRBZ;CD;000715;Z01;2;0;0;0
C3685;PRBZ;CC;000721;Z01;6;38;0;0
