ANNO;CODI_TITOLO;DESC_TITOLO
2017;005000;LAUREA
2017;004000;LICENZA MEDIA SUPERIORE
2017;008000;ALTRI TITOLI POST LAUREA
2017;003000;"FINO ALLA SCUOLA DELL'OBBLIGO"
2017;004500;LAUREA BREVE
2017;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
