ANNO;CODI_TITOLO;DESC_TITOLO
2021;004000;LICENZA MEDIA SUPERIORE
2021;003000;"FINO ALLA SCUOLA DELL'OBBLIGO"
2021;005000;LAUREA
2021;008000;ALTRI TITOLI POST LAUREA
2021;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2021;004500;LAUREA BREVE
