ANNO;CODI_TITOLO;DESC_TITOLO
2013;005000;LAUREA
2013;004500;LAUREA BREVE
2013;004000;LICENZA MEDIA SUPERIORE
2013;003000;"FINO ALLA SCUOLA DELL'OBBLIGO"
2013;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2013;008000;ALTRI TITOLI POST LAUREA
