ANNO;CODI_COMPARTO;DESC_COMPARTO;CODI_AGGREGATO;DESC_AGGREGATO;CODI_CONTRATTO;DESC_CONTRATTO
2013;FL;FUNZIONI LOCALI;04;REGIONI ED AUTONOMIE LOCALI;RALN;REGIONI E AUT.LOC. (CCNL NAZ.)
2013;SA;"SANITA'";01;SERVIZIO SANITARIO NAZIONALE;SSNA;SERVIZIO SANITARIO NAZIONALE
2013;IR;ISTRUZIONE E RICERCA;03;ENTI DI RICERCA;ERIC;ENTI DI RICERCA
2013;FC;FUNZIONI CENTRALI;73;ENTI ART.70 - C.N.E.L.;CNEL;C.N.E.L.
2013;FC;FUNZIONI CENTRALI;02;ENTI PUBBLICI NON ECONOMICI;EPNE;ENTI PUBBLICI NON ECONOMICI
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;PRTN;PROV. AUTONOMA DI TRENTO
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RESA;CONTRATTO REGIONE SARDEGNA
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;PRBZ;PROV. AUTONOMA DI BOLZANO
2013;AF;COMPARTO AUTONOMO O FUORI COMPARTO;28;ENTI ART.60 -COMMA 3- D.165/01;EN60;ENTI ART 60 COMMA 3 D 165 01
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;REVA;"REGIONE VALLE D'AOSTA"
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;PR;PROFESSORI E RICERCATORI UNIVERSITARI;PRUN;PROFESSORI E RICERCATORI UNIVERSITARI
2013;IR;ISTRUZIONE E RICERCA;08;"UNIVERSITA'";UNIV;"UNIVERSITA'"
2013;DP;PERSONALE IN REGIME DI DIRITTO PUBBLICO;10;FORZE ARMATE;CPOR;CAPITANERIE DI PORTO
2013;FL;FUNZIONI LOCALI;32;REGIONI A STATUTO SPECIALE E PROVINCE AUTONOME;RESI;CONTRATTO REGIONE SICILIA
2013;IR;ISTRUZIONE E RICERCA;33;IST. FORM.NE ART.CO MUS.LE;AFAM;ISTIT.NI FORM.NE ART. E MUSIC.
2013;FC;FUNZIONI CENTRALI;05;MINISTERI;MNST;MINISTERI
2013;AF;COMPARTO AUTONOMO O FUORI COMPARTO;80;ENTI ART.70 - ENTE NAZIONALE DIGITALIZ. P.A.;DGIT;ENTE NAZIONALE DIGITALIZ. P.A.
2013;FC;FUNZIONI CENTRALI;74;ENTI ART.70 - E.N.A.C.;ENAC;E.N.A.C.
