ANNO;CODI_CONTRATTO;CODI_MACROCATEGORIA;CODI_FONDO;DESC_FONDO;CODI_NATURA;DESC_NATURA;CODI_TIPO_VOCE_SPESA;TIPO_VOCE_SPESA
2013;AGFI;ND;38;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UCAM;ND;11;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;ENAC;ND;14;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;ENAC;ND;14;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ENAC;ND;14;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;ENAC;ND;14;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;UCAM;ND;11;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UCAM;ND;11;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;UCAM;ND;11;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;AGFI;ND;38;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;VVFF;ND;15;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;VVFF;ND;15;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;PCMD;ND;30;Destinazione delle Risorse;16;"Destinazioni temporaneamente allocate all'esterno del Fondo";U;UTILIZZO
2013;PCMD;ND;19;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;PCMD;ND;19;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;PCMD;ND;30;Destinazione delle Risorse;10;"Risorse temporaneamente allocate all'esterno del Fondo";F;FINANZIA
2013;VVFF;ND;15;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;RALN;NF;8;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;VVFF;ND;15;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;AGFI;ND;38;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;PCMD;ND;19;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;CNEL;ND;15;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;CNEL;ND;15;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;ENAC;ND;14;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;CNEL;ND;15;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;CNEL;ND;15;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;RALN;NF;8;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;AFAM;NF;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;SCLA;NF;44;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;SCLA;NF;44;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;SCLA;NF;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;AFAM;NF;44;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ERIC;2F;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;ERIC;2F;44;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;2F;44;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;UNIV;2F;44;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;2F;44;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;ERIC;2F;44;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;EPNE;2F;44;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ERIC;2F;44;Destinazione delle Risorse;21;(eventuali) Destinazioni ancora da regolare;U;UTILIZZO
2013;ERIC;2F;44;Destinazione delle Risorse;20;Destinazioni contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;UNIV;2F;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
2013;UNIV;2F;44;Destinazione delle Risorse;15;Destinazioni non contrattate specificamente dal CI di rif.to;U;UTILIZZO
2013;ENAC;NF;44;Destinazione delle Risorse;9;Risorse variabili;F;FINANZIA
2013;ENAC;NF;44;Destinazione delle Risorse;7;Risorse fisse aventi carattere di certezza e stabilità;F;FINANZIA
