ANNO;CODI_TITOLO;DESC_TITOLO
2020;005000;LAUREA
2020;004000;LICENZA MEDIA SUPERIORE
2020;003000;"FINO ALLA SCUOLA DELL'OBBLIGO"
2020;004500;LAUREA BREVE
2020;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2020;008000;ALTRI TITOLI POST LAUREA
