ANNO;CODI_TITOLO;DESC_TITOLO
2022;005000;LAUREA
2022;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2022;004000;LICENZA MEDIA SUPERIORE
2022;003000;"FINO ALLA SCUOLA DELL'OBBLIGO"
2022;004500;LAUREA BREVE
2022;008000;ALTRI TITOLI POST LAUREA
