ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
C957;RALN;CD;049000;CD;050000;O;2
C957;RALN;CC;046000;CC;097000;O;4
C957;RALN;CC;043000;CC;045000;O;1
C957;RALN;CB;0B7000;CB;0B8000;O;2
C957;RALN;CD;0D1000;CD;049000;O;1
C957;RALN;CC;042000;CC;043000;O;1
C957;RALN;CA;0A5000;CA;0A6000;O;1
C957;RALN;CB;055000;CB;036494;O;2
C3605;RALN;CB;037492;CB;038490;O;1
C3605;RALN;CC;0C1000;CC;042000;O;2
C3605;RALN;CB;054000;CB;032000;O;1
C3605;RALN;CD;0D4000;CD;0D5000;O;1
C3605;RALN;CC;045000;CC;046000;O;1
C3605;RALN;CC;042000;CC;043000;O;1
C7184;RALN;CD;0D4000;CD;0D5000;O;1
C7184;RALN;CD;049000;CD;050000;O;1
C7184;RALN;CC;043000;CC;045000;O;2
C2712;RALN;CC;046000;CC;097000;O;9
C2712;RALN;CB;036494;CB;037492;O;1
C2712;RALN;CB;036495;CB;037493;O;4
C2712;RALN;CD;0D4000;CD;0D5000;O;1
C2712;RALN;CA;0A5000;CA;0A6000;O;1
C2712;RALN;CB;037493;CB;038491;O;5
C2712;RALN;CB;034000;CB;036495;O;2
C2712;RALN;CB;0B7000;CB;0B8000;O;2
C2712;RALN;CC;042000;CC;043000;O;1
C2712;RALN;CB;0B7A00;CB;0B8000;O;2
C2712;RALN;CC;045000;CC;046000;O;2
C2712;RALN;CD;099000;CD;0D7000;O;2
U9432;SSNA;MD;SD0E34;MD;SD0035;O;16
U9432;SSNA;MD;SD0035;MD;SD0E33;O;2
U9432;SSNA;MD;SD0N34;MD;SD0E34;O;1
U9432;SSNA;LT;T12057;LA;A12017;V;8
U9432;SSNA;MD;SD0E34;MD;SD0E33;O;1
U9432;SSNA;SI;S16020;SV;S16022;V;2
U9432;SSNA;MD;SD0035;MD;SD0E34;O;3
U9432;SSNA;LT;T14S59;LA;A14005;V;3
U9432;SSNA;MD;SD0N34;MD;SD0036;O;1
U9432;SSNA;SF;S16019;SV;S16022;V;1
U9432;SSNA;MD;SD0036;MD;SD0035;O;4
U9432;SSNA;MV;SD0E73;MV;SD0A73;O;4
U9432;SSNA;MD;SD0035;MD;SD0036;O;2
U9432;SSNA;DS;SD0E65;DS;SD0A65;O;2
C3129;REFR;CD;049000;CD;050000;O;2
C4073;RALN;CC;046000;CC;097000;O;3
UC10798;RALN;CD;099000;CD;0D7000;O;1
UC10798;RALN;CD;0D4000;CD;0D5000;O;1
UC10798;RALN;CD;049000;CD;050000;O;1
UC10798;RALN;CC;045000;CC;046000;O;2
UC10798;RALN;CC;046000;CC;097000;O;5
UC10798;RALN;CC;042000;CC;043000;O;1
UC10798;RALN;CD;0D5000;CD;099000;O;2
UC10798;RALN;CC;043000;CC;045000;O;1
C294;RALN;CD;099000;CD;0D7000;O;2
C294;RALN;CB;0B7A00;CB;0B8000;O;2
C294;RALN;CC;046000;CC;097000;O;11
C1399;RALN;CD;0D4000;CD;0D5000;O;1
P9059;RALN;CD;0D4000;CD;0D5000;O;3
P9059;RALN;CC;045000;CC;046000;O;3
P9059;RALN;CC;0C1000;CC;042000;O;1
P9059;RALN;CC;043000;CC;045000;O;3
P9059;RALN;CD;050000;CD;0D4000;O;1
P9059;RALN;CD;049000;CD;050000;O;2
P9059;RALN;CC;046000;CC;097000;O;1
P9059;RALN;CD;0D5000;CD;099000;O;1
P9059;RALN;CB;036494;CB;037492;O;1
P9059;RALN;CD;099000;CD;0D7000;O;2
P9059;RALN;CB;032000;CB;034000;O;1
P9059;RALN;CB;055000;CB;036494;O;1
P9059;RALN;CC;042000;CC;043000;O;5
P9059;RALN;CB;038490;CB;0B7A00;O;1
P9059;RALN;CB;054000;CB;032000;O;3
C12290;RALN;CD;0D4000;CD;0D5000;O;1
C12290;RALN;DF;0D0098;DF;0D0095;O;1
C12290;RALN;CC;042000;CC;043000;O;1
C12290;RALN;CB;036494;CB;037492;O;1
C12290;RALN;CB;038490;CB;0B7A00;O;1
C12290;RALN;CB;054000;CB;032000;O;7
C12290;RALN;CC;046000;CC;097000;O;6
C12290;RALN;CA;0A1000;CA;025000;O;8
C12290;RALN;CC;0C1000;CC;042000;O;1
C12290;RALN;CD;099000;CD;0D7000;O;1
C12290;RALN;CA;0A5000;CA;0A6000;O;1
C12290;RALN;CB;032000;CB;034000;O;1
C12290;RALN;CC;045000;CC;046000;O;5
C12290;RALN;CD;0D5000;CD;099000;O;2
C7504;RALN;CA;0A5000;CA;0A6000;O;5
