ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C1392;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C4451;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7582;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C307;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3038;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5701;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C385;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C2439;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C6284;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C665;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4951;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5098;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5526;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C7466;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2570;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4688;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1647;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
P9088;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C1043;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C3184;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C5341;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C3572;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6087;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C5696;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4881;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C6674;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C2747;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C588;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C699;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C756;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5318;RALN;FP;0D0102;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C6277;RALN;FP;0D0102;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
