ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSUNZIONE;UOMINI;DONNE
C6843;RALN;SP;0D0I95;A24;1;0
C6794;RALN;SP;0D0I95;A24;2;0
C7091;RALN;SP;0D0I95;A23;1;0
C4788;RALN;SP;0D0I95;A23;0;1
C7136;RALN;SP;0D0I95;A24;0;1
C833;RALN;SP;0D0I95;A24;0;1
C2506;RALN;SP;0D0I95;A23;0;1
C6018;RALN;SP;0D0I95;A24;3;0
C334;RALN;SP;0D0I95;A24;1;1
C6088;RALN;SP;0D0I95;A24;2;1
C6149;RALN;SP;0D0I95;A23;0;1
C7784;RALN;SP;0D0I95;A24;1;0
C4268;RALN;SP;0D0I95;A23;1;0
C7095;RALN;SP;0D0I95;A24;1;0
C5097;RALN;SP;0D0I95;A24;0;1
C6687;RALN;SP;0D0I95;A24;2;0
C933;RALN;SP;0D0I95;A24;0;1
C3968;RALN;SP;0D0I95;A24;0;1
C2045;RALN;SP;0D0I95;A30;0;1
C6770;RALN;SP;0D0I95;A23;3;0
C1191;RALN;SP;0D0I95;A24;1;0
C942;RALN;SP;0D0I95;A23;1;0
C6783;RALN;SP;0D0I95;A24;1;0
C1784;RALN;SP;0D0I95;A23;0;1
C349;RALN;SP;0D0I95;A24;2;0
UC10632;RALN;SP;0D0I95;A23;1;0
UC12589;RALN;SP;0D0I95;A24;0;1
C7983;RALN;SP;0D0I95;A24;1;0
C306;RALN;SP;0D0I95;A24;1;0
UC12540;RALN;SP;0D0I95;A24;0;1
C8177;RALN;SP;0D0I95;A24;1;0
C3567;RALN;SP;0D0I95;A24;1;0
C7958;RALN;SP;0D0I95;A23;1;0
C2348;RALN;SP;0D0I95;A23;1;0
C6239;RALN;SP;0D0I95;A24;0;1
C1304;RALN;SP;0D0I95;A23;0;1
C6816;RALN;SP;0D0I95;A24;0;1
C4880;RALN;SP;0D0I95;A24;1;0
C3426;RALN;SP;0D0I95;A23;1;0
