ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
V9758;RALN;CC;22346,7;199,05;1891,35;267,51;641,78;4366,14
V9758;RALN;CA;18240;0;1175,23;169,27;448,62;3465,14
V9758;RALN;CD;27868,16;209,68;2456,83;386,36;4930,25;4218,9
V9758;RALN;CB;19844,5;0;1665,5;0;562;4153
V9758;RALN;DI;39979,5;0;7631;0;60732,5;0
C6541;RALN;CC;20875,51;114,89;1761,44;314,89;1082,99;912,26
C6541;RALN;CD;24133,8;0;2031,2;293,6;4681;610,2
C6541;RALN;CB;18658,33;64,83;1571,61;440,68;555,23;1627,82
C6541;RALN;SP;25401,8;0;2131,74;0;14826,95;711,98
C6541;RALN;FP;39979;0;5688;0;14627;13652
R9191;RALN;CC;22179,96;417,58;1874,62;495,95;659,78;1744,02
R9191;RALN;CA;18160,87;360,15;1447,52;169,57;438,2;1903,62
R9191;RALN;CD;27780,93;435,03;2765,86;163,3;6149,5;1627,14
R9191;RALN;CB;19953,13;477,46;1687,68;471,48;636,64;1548,02
R9191;RALN;DI;40063,21;365,16;6697,96;0;41611,12;511,27
C3060;RALN;CC;22147;361;1894,4;1236,8;1097,4;5417
C3060;RALN;CD;26405;0;3211;0;13175;6481
C3060;RALN;CB;19670;0;1651;1029;561;2739
C8229;RALN;CC;21962,01;37,43;1845,52;193;1082,86;1646,29
C8229;RALN;CD;26060,25;118,37;2415,24;339,36;4068,57;2193,25
C8229;RALN;CB;19512,35;15,78;1638,91;235,83;552,78;1861
C8229;RALN;FP;39979;1473;4820;0;22461;5028
C8030;RALN;CC;21492,36;45,43;2089,67;381,87;1033,41;800,34
C8030;RALN;CA;17888,7;82,17;1501,47;201,51;450,62;1072,27
C8030;RALN;CD;25418,04;317,7;2546,6;269,32;5423,02;452,27
C8030;RALN;CB;18881,51;111,23;1589,56;429,9;545,24;992,24
C845;RALN;CC;23543;0;1976;0;657;1153
C845;RALN;CD;26011,2;84;2493,09;189,77;5054,57;2288,91
C845;RALN;CB;20527,86;0;1725,31;249,52;594,83;2880,41
C845;RALN;FP;39979;675;6005;0;34744;20519
C4108;RALN;CC;22463,16;377,63;1916,46;668,97;1094,03;4687,15
C4108;RALN;CA;17061,75;0;1431,75;1023,75;469,87;808,12
C4108;RALN;CD;25810,03;407,18;2605,4;549,95;7425,37;3647,51
C4108;RALN;CB;19076,39;138,69;1550,45;1056,49;583,41;2215,45
C4108;RALN;FP;39979;0;5289;0;23376;8026
C8307;RALN;CC;21698,52;63,28;1825,85;168,34;1199,6;3008,11
C8307;RALN;CD;25159,97;54,64;2653,68;24,6;9017,22;1770,44
C8307;RALN;CB;19201,35;217,92;1628,57;98,36;545,61;1425,92
C8307;RALN;DI;39979,71;534,86;6860,57;0;82985,14;0
C544;RALN;CC;23543;0;1970;1082;1695;2755
C544;RALN;CA;17656;0;1478;600;440;1091
C544;RALN;CD;23220;0;2004;580;14010;192
C544;RALN;CB;19506,5;0;1632,5;713;533,5;2553
C4624;RALN;CC;21256,02;119,35;1793,97;519,42;890,4;2615,46
C4624;RALN;CD;25110,69;179,11;2516,99;238,05;6465,25;2048,51
C4624;RALN;CB;19792,11;28,64;1696,99;1096,53;507,32;2545,56
C6003;RALN;CD;25981;199,67;2789,33;606,33;9951,33;96
C6003;RALN;CB;20257;0;1700;1652;564;6124,5
C5170;RALN;CC;21544,82;51,77;2093,85;217,15;1400,35;2525,73
C5170;RALN;CA;17164,3;1,51;1435,92;325,53;454,22;1355,07
C5170;RALN;CD;24803,74;124,22;2172,57;303,25;1312,48;2642,57
C5170;RALN;CB;18458,68;45,04;1545,99;269,56;550,68;1422,01
C5170;RALN;DI;39979,5;492,56;6098,13;0;50275,73;8218,09
C5170;RALN;FP;39979;0;7760;0;57159;32500
ES158;RALN;CC;22171,45;56,71;1752,25;239,69;644,7;3461,46
ES158;RALN;CA;18452,43;0;1996,86;19,46;463,14;2323,46
ES158;RALN;CD;26713,28;61,87;1685,75;15,24;6072,77;1384,03
ES158;RALN;CB;20097,07;89,45;1500,36;12,92;560,83;2814,95
ES158;RALN;DI;39979;257;5604;0;33661;0
C3652;RALN;CC;21146,55;131,28;1785,49;1156,3;1008,81;2143,67
C3652;RALN;CA;17630,5;164,06;1492,51;933,79;459,17;1637,47
C3652;RALN;CD;24382,24;96,55;2154,24;872,21;1615,97;4300,01
C3652;RALN;CB;19110,5;135,82;1571,96;1377,88;552,51;1800,02
C3652;RALN;DI;39979,58;209,68;6561,47;0;38662,11;13887,16
C6865;RALN;CC;22492,98;481,62;1929,52;1866,34;960,54;2481,09
C6865;RALN;CA;18173,61;64,94;1503,18;1269,29;455,7;1625,69
C6865;RALN;CD;27717,86;388,11;2786,79;1629,37;6260,71;1799,51
C6865;RALN;CB;20375,59;301,34;1730,61;1388,23;558,68;1845,14
C6865;RALN;FP;39979;0;4699;0;37844;0
C6342;RALN;CC;22221,3;76,8;1860,9;204;984,3;1798,5
C6342;RALN;CD;24695,5;0;2068,75;510,5;10122,25;745,5
C6342;RALN;CB;19867;118,67;1677,33;693,67;563;1816,33
C3657;RALN;CC;22364,65;140,75;1524,21;429,29;951,86;3034,68
C3657;RALN;CD;24993,25;94,09;2356,99;341,54;7732,03;1312,55
C3657;RALN;CB;19755,86;191,49;1217,69;784,88;578,64;1971,97
C3657;RALN;FP;39979;0;5598;0;22919;21276
C1518;RALN;CC;22002,34;294,07;4467,37;709,08;995,6;521,26
C1518;RALN;CA;17667,33;0;2960,33;429,33;446;1094
C1518;RALN;CD;26606;299,6;4976,8;384,2;6636,8;984,8
C1518;RALN;CB;20030,38;190,97;3385,66;247,24;563,69;373,24
C5280;RALN;CC;21351;40,2;1795,2;452;896,6;1662,2
C5280;RALN;CA;17971;0;1508;0;447;1235
C5280;RALN;CD;24425,77;44,98;2054,66;282,23;7389,98;1478,47
C5280;RALN;CB;19352,56;9,25;1623,95;175,6;554,38;1717,73
C7313;RALN;CC;23387,5;272;1946;489;4207;2624
C7313;RALN;CD;26539;78;2143;0;12743;72
C7313;RALN;CB;19670;88;1607;0;0;0
C1925;RALN;CC;23254,86;100;2054,43;142,86;2325;592,57
C1925;RALN;CD;31139;0;3652;0;16228;2630
C1925;RALN;CB;18877,37;0;1582,33;227,85;548,05;300,76
C5436;RALN;CC;20121,52;2,88;1687,02;338,63;1689,9;775,39
C5436;RALN;CD;24336;444;2079,5;563,5;4234;150
C5436;RALN;CB;19617,29;60,71;1652,71;897,57;573,71;282
C2153;RALN;CC;22588,92;133,28;1909,3;794,72;780,97;3588,44
