ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
PN8576;EPNE;ME;AC;2;0;0;0;0;0;0;0
PN8576;EPNE;ME;AB;0;3;0;0;0;0;0;0
C1189;RALN;ND;CA;0;1,33;0;0;0;0;0;0
C1189;RALN;ND;CB;1,33;10,67;0;0;0;0;0;0
C1189;RALN;ND;CC;1,33;4,67;0;0;0;0;0;0
C1865;PRTN;NF;CB;1;0;0;0;0;0;0;0
D8309;EN60;ND;LI;0;0,75;0;0;0;0;0;0
C6484;RALN;ND;PC;0;0;0;0;0;0;0,55;20
LS12282;LS13;NF;LI;2;2;0;0;0;0;0;0
C4454;RALN;ND;CC;0,72;0;0;0;0;0;0;0
C4454;RALN;ND;CD;0,22;0;0;0;0;0;0;0
UC12439;RALN;ND;CD;0,5;0;0;0;0;0;0;0
RA12338;RALN;ND;PC;3;7;0;0;0;0;0;0
Q9154;UNIV;ND;RC;101;118;0;0;0;0;0;0
Q9154;UNIV;ND;AL;0;0,02;0;0;0;0;0;0
N10747;RALN;ND;PC;6,01;0;0;0;0;0;0;0
N10747;RALN;ND;CD;0,25;16,9;0;0;0;0;0;0
N10747;RALN;ND;CB;1;1,58;0;0;0;0;0;0
N10747;RALN;ND;CC;0;0,25;0;0;0;0;0;0
C1731;RALN;ND;CB;0;0;0;0;0;0;0,5;0,5
C1731;RALN;ND;CA;0;0;0;0;0;0;0;0,5
C1731;RALN;ND;CC;0;0;0;0;0;0;0;0,5
C249;RALN;ND;CD;0;0,75;0;0;0;0;0;0
C249;RALN;ND;CC;0,16;0;0;0;0;0;0;0
OL12985;EPNE;ME;AB;0;1;0;0;0;0;0;0
C12463;RALN;ND;CD;1;0;0;0;0;0;0;0
C12463;RALN;ND;CC;0;1;0;0;0;0;0;0
C3943;RALN;ND;CA;0;2;0;0;0;0;0;0
C3943;RALN;ND;CC;0;1;0;0;0;0;0;0
C7417;RALN;ND;CB;3,84;0;0;0;0;0;0;0
C7417;RALN;ND;CC;0;0,75;0;0;0;0;0;0
C7417;RALN;ND;CA;3;0;0;0;0;0;0;0
Q9137;UNIV;ND;RC;74;77;0;0;0;0;0;0
Q9137;UNIV;ND;AL;0,41;0,37;0;0;0;0;0;0
Q9137;UNIV;ND;CD;33,29;51,38;0;0;0;0;0;0
Q9137;UNIV;ND;CB;15,1;1,89;0;0;0;0;0;0
Q9137;UNIV;ND;CC;58,46;50,83;0;0;0;0;0;0
N8724;REVA;SC;CB;0;2,12;0;0;0;0;0;0
C2564;RALN;ND;CD;0,09;0;0;0;0;0;0;0
C2564;RALN;ND;CB;0;0,17;0;0;0;0;0;0
C5694;RALN;ND;CC;0,95;0;0;0;0,23;0,23;0;0
C5694;RALN;ND;CB;0,07;0,07;0;0;0;0;0,4;0,4
C5694;RALN;ND;CD;0;1,01;0;0;0;1,14;0;0
C5970;RALN;ND;CC;1;1;0;0;0;0;0;0
C5318;RALN;ND;CC;0,16;0,25;0;0;0;0;0;0
C5318;RALN;ND;CD;0;0,91;0;0;0;0;0;0
C2496;RALN;ND;CA;0;0;0;0;0;0;0,6;2,88
C2405;RALN;ND;CC;0;0;0;0;0;0,58;0;0
C6904;RALN;ND;CC;0;0;0;0;1;0;0;0
C6904;RALN;ND;CD;1,54;4,54;0;0;2;0;0;0
C8304;RALN;ND;CC;0;0;0;0;0;1,75;1,97;0,56
C2487;RALN;ND;CC;0,75;0;0;0;0;0;0;0
C2487;RALN;ND;CD;0;1,83;0;0;0;0;0;0
C2487;RALN;ND;CB;0;0;0;0;0;0;2,53;2,55
C8223;RALN;ND;CB;0;0;0;0;0;0,39;0;0
J8629;SSNA;ME;LA;0;3;0;0;1;10,1;0;0
J8629;SSNA;ME;MD;2,84;9,19;0;0;0;0;0;0
J8629;SSNA;ME;LT;1;2,3;0;0;1,42;0,33;0;0
J8629;SSNA;ME;SI;0;11,98;0;0;1,8;4,1;0;0
J8629;SSNA;ME;DT;0;2;0;0;0;0;0;0
J8629;SSNA;ME;MO;0;0,83;0;0;0;0;0;0
J8629;SSNA;ME;SV;0;2,56;0;0;0;0;0;0
J8629;SSNA;ME;SF;0;2,75;0;0;0;0;0;0
J8629;SSNA;ME;DP;1;0;0;0;0;0;0;0
J8629;SSNA;ME;DS;0;3,24;0;0;0;0;0;0
J8629;SSNA;ME;ST;0,11;0,88;0;0;0;0,79;0;0
J8629;SSNA;ME;DA;0;1;0;0;0;0;0;0
C6261;REFR;SC;CB;0;0,23;0;0;0;0;0;0
C6261;REFR;SC;CD;0;2,25;0;0;0;0,42;0;0
C6261;REFR;SC;CC;0;0,17;0;0;0;1;0;0
C7931;RALN;ND;CC;0,02;0;0;0;0;0;0;0
C7931;RALN;ND;CD;0,04;0;0;0;0;0;0;0
C5430;RALN;ND;CC;0;0;0;0;0;1;0;0
OL13156;EPNE;ME;AB;0;0;0;0;0,83;0;0;0
OL13156;EPNE;ME;AC;0;0;0;0;0;0,44;0;0
C5113;RALN;ND;CB;0;0;0;0;0;0;0,1;0
C6737;RALN;ND;CD;0,25;0;0;0;0;0;0;0
C3819;RALN;ND;CA;0,67;0;0;0;0;0;1,79;5,6
C3819;RALN;ND;CD;0,7;11,81;0;0;0;0;0;0
C3819;RALN;ND;CB;0;0;0;0;0;0;56;2,8
C4329;RALN;ND;CB;1;0;0;0;0;0;0;0
C7839;RALN;ND;CA;0;0;0;0;0;0;1;0
