ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
IP10969;PRTN;NF;CA;0;3,66;0;0;0;0;0;0
IP10969;PRTN;NF;CC;5,02;16,97;0;0;0;0;0;0
IP10969;PRTN;NF;CB;3,42;5,87;0;0;0;0;0;0
C7237;RALN;ND;CD;1;0;0;0;0;0;0;0
C7237;RALN;ND;CC;1;0;0;0;0;0;0;0
C1843;RALN;ND;CC;0,52;1,26;0;0;0;0;0;0
C1843;RALN;ND;CA;0,26;0;0;0;0;0;2,24;1,63
C1843;RALN;ND;CB;1,22;5,15;0;0;0;0;0;7,28
C1843;RALN;ND;CD;0,24;0;0;0;0;0;0;0
C1632;RALN;ND;CB;0;0;0;0;0;0;0,29;0,11
C481;PRBZ;NF;CA;0;1,96;0;0;0;0;1;0,52
C481;PRBZ;NF;CB;0;0,99;0;0;0;0;0;0
C481;PRBZ;NF;CC;0,6;5,38;0;0;0;0;0;0
C2401;RALN;ND;CB;2;0;0;0;0;0;0;0
C2401;RALN;ND;CC;0,92;1,83;0;0;0;0;0;0
C2401;RALN;ND;CD;0;0;0;0;1,33;0,5;0;0
N10879;PRTN;NF;CD;0;1;0;0;0;0;0;0
N10879;PRTN;NF;CC;0;0,49;0;0;0;0;0;0
C6153;RALN;ND;CC;0,5;0,25;0;0;0;0;0;0
C6153;RALN;ND;PC;0;0;0;0;0;0;13;1
C4151;RALN;ND;CB;0;0;0;0;1;0;0;0
C4151;RALN;ND;CC;0,5;0;0;0;0;0;0;0
C4151;RALN;ND;CD;0,5;0,5;0;0;0;0;0;0
C7102;RALN;ND;CC;0;1,5;0;0;0;0;0;0
P9073;RALN;ND;CD;7,66;13,54;0;0;0;0;0;0
C7447;RALN;ND;CC;0;1,5;0;0;0;0;0;0
C7447;RALN;ND;CD;0;0,5;0;0;0;0;0;0
C7015;RALN;ND;CB;1,25;0;0;0;0;0;0;0
C7015;RALN;ND;CD;0,17;0;0;0;0;0;0;0
C6261;REFR;SC;CC;1;1,19;0;0;2,32;1,01;0;0
C6261;REFR;SC;CD;0,12;1;0;0;1,54;1,23;0;0
C3705;PRBZ;NF;CA;0;0;0;0;0;0;3,2;0,23
C3705;PRBZ;NF;CC;0,88;3,69;0;0;0;0;0;0
C3705;PRBZ;NF;CB;0,65;0,46;0;0;0;0;0;0
C3705;PRBZ;NF;CD;0;0,94;0;0;0;0;0;0
C5878;RALN;ND;CC;0;1;0;0;0;0;0;0
C5878;RALN;ND;CD;0;0,33;0;0;0;0;0;0
AU10079;AUIN;ND;LI;4;7,67;0;0;0;0;0;0
AS12815;LS13;NF;LI;3,17;3,92;0;0;0;0;0;0
C4818;RALN;ND;CD;15,67;130,83;0;0;0;0;0;0
C4818;RALN;ND;CC;136,83;86,5;0;0;0;0;2,58;1
C4818;RALN;ND;CB;0;0;0;0;0;0;4,17;0
C4818;RALN;ND;CA;0;0;0;0;0;0;20,17;2
OL13140;EPNE;ME;AB;0;0;0;0;0;1;0;0
C4049;RALN;ND;CC;0;1;0;0;0;0;0;0
C2027;RALN;ND;CC;0;2;0;0;1;2;0;0
C7071;RALN;ND;CD;0;0,08;0;0;0,08;0;0;0
C7071;RALN;ND;CC;0,88;0;0;0;0;0;0;0
LS12068;LS13;NF;LI;61;52;0;0;0;0;0;0
C1532;RALN;ND;CC;0,3;0,11;0;0;0;0;0;0
