ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
C4424;REFR;CD;28388,78;38,84;2505,28;565,83;3483,32;1826,01
C4424;REFR;CC;24246,33;56,37;1954,75;275,4;1254,66;1946,9
C4424;REFR;CB;21028,25;41,03;1747,61;666,7;944,18;2012,11
C4424;REFR;XA;24047,05;17,6;2024,7;214,91;2183,32;3583,5
C4424;REFR;XB;28074;0;2575,5;861,5;4900,5;4778
C4424;REFR;CA;18495;0;1541;0;815;1087
C4424;REFR;FP;41779;0;3482;0;51416;0
C4424;REFR;DI;44900,33;0;3714;0;51316,67;0
C3048;REFR;CD;29354;0;3031;0;9742,6;501,8
C3048;REFR;CC;23578,83;41,35;1993,18;27,17;1057,68;1980,23
C3048;REFR;CB;19922;0;1658,95;57,91;946,97;1752,61
C3048;REFR;XA;24436,67;69;2042,17;38;2201,5;4999,83
C3048;REFR;XB;29675;0;3165;0;12471;0
C3048;REFR;CA;18281;0;1523;0;814;65
C3048;REFR;FP;30569,76;0;4473,17;0;29440;11595,12
C7643;REFR;CD;29895,25;197,5;3137,75;0;10565,5;1338
C7643;REFR;CC;24094,91;27,83;2016,19;294,77;1010,04;188,55
C7643;REFR;CB;20852,99;10,67;1744,75;246,56;955,35;671,86
C7643;REFR;XA;24096;0;2008;241,5;2184;579
C7643;REFR;FP;41779;0;6228;0;34809;258
C7361;REFR;CD;28143,04;12,67;2642,64;146,21;5625,14;1599,9
C7361;REFR;CC;23612,06;1,8;1972,23;412,49;1073,54;1794,22
C7361;REFR;CB;20597,45;40,97;1720,59;117,99;1005,38;1577,09
C7361;REFR;XA;24387,25;0;2032,25;509,5;2207,38;4196,75
C7361;REFR;FP;41779;0;5915;0;29707;0
C7361;REFR;XC;31107;0;3239;0;12848;0
C6389;REFR;CD;30749,2;0;2084;0;10853,6;85,2
C6389;REFR;CC;24380,89;52,62;1973,4;372,85;1081,21;1819,67
C6389;REFR;CB;20216,68;46,03;1688,68;0;1210,14;2158,37
C6389;REFR;XA;23509;0;1959;197,67;2080,67;4584,67
C6389;REFR;CA;19263;0;1605,5;0;889;1708,5
C6389;REFR;FP;41779;0;6809;0;23344;19635
C2918;REFR;CD;30462,77;110,46;2548,92;0;12849,54;1671,08
C2918;REFR;CC;24199,91;52,6;2021,11;154,98;1065,32;1496,04
C2918;REFR;CB;21382,05;75,89;1792;185,95;991,78;1933,95
C2918;REFR;XA;24349;53,67;2033,67;101,33;2168,33;3980
C2918;REFR;FP;42254;0;5755;0;26753;3483
C3825;REFR;CD;29341,29;13,34;2058,34;87,83;5729,32;1114,31
C3825;REFR;CC;24126,74;63,6;2016,04;280,92;1162,37;1435,58
C3825;REFR;CB;20853,23;2,34;1742,23;98,63;946,66;1352,84
C3825;REFR;XA;24742,62;17,72;2058,81;471,52;2284,75;4347,33
C3825;REFR;XB;29076,5;0;2423;52,5;2355;4528
C3825;REFR;FP;42072;0;5577;0;50599;0
C2235;REFR;CD;28279,58;32,49;2502,87;273,3;3078,1;2681,89
C2235;REFR;CC;23802,65;29,95;1983,65;170,9;1077,39;2004,51
C2235;REFR;CB;20768,13;21,89;1730,93;56,99;963,6;2298,38
C2235;REFR;XA;23586,18;59,8;1972,36;159,64;2171,13;3973,39
C2235;REFR;XB;29675;0;3182;1764;12655;0
C2235;REFR;CA;18858,23;0;1571,54;0;816,92;1717,85
C2235;REFR;FP;41779;0;6790;0;42331;4676
C5166;REFR;CD;26877,89;0;2570,24;0;4966,9;69,54
C5166;REFR;CC;24398,83;0;2033,22;584,35;1082,83;259,63
C5166;REFR;CB;20829,75;0;1738,25;342,25;967,5;524,75
C5166;REFR;FP;41779;0;5381;0;22410;1875
C7464;REFR;CD;28280,94;12,73;2346,12;106,66;8177,82;3096,29
C7464;REFR;CC;23835,61;15,8;1937,71;78,36;1077,74;2080,81
C7464;REFR;CB;20582,05;0;1720,91;23,86;988,5;2098,76
C7464;REFR;FP;41779;0;3482;0;41076;7104
C1563;REFR;CD;29928;0;2930,5;0;7824;1345,5
C1563;REFR;CC;24050;30;2021;1047;1076;3304
C1563;REFR;CB;20225,5;0;1697,5;1733;924;3314,5
C1563;REFR;FP;41779;124;4421;0;18777;12043
C2573;REFR;CD;29926,19;78,79;2497,19;220,64;5090,39;1622,63
C2573;REFR;CC;24214,38;57,29;2018,17;105,76;1331,09;1560,68
C2573;REFR;CB;20824,09;38,71;1640,32;144,69;967,84;1629,71
C2573;REFR;CA;19419;183,5;1634;38,5;825,5;1291,5
C2573;REFR;FP;41779;0;4304;0;26161;8220
C1750;REFR;CD;28000,43;109,3;2576,06;462,14;4561,53;2337
C1750;REFR;CC;23811,4;13;1985,4;294,1;1075,17;2018,69
C1750;REFR;CB;20197,59;43,48;1690,66;374,1;955,97;2223,5
C1750;REFR;XA;24274;13,5;2024;485;2209,5;2101,5
C1750;REFR;FP;41779;0;5689;0;33034;7469
C1750;REFR;XC;30176;0;3028;0;10216;0
C2603;REFR;CD;30176;0;3311;309;21507;184
C2603;REFR;CC;23866,54;0;1990,77;365,86;1076,38;7307,1
C2603;REFR;CB;20870,25;0;1741,5;98;968,5;6887,25
C2603;REFR;XA;25543;0;2129;414;2192;6958
C2603;REFR;FP;41779;0;5695;0;28320;2022
C1172;REFR;CD;29058,48;162,79;2426,08;192,48;7201,89;1886,19
C1172;REFR;CC;24470,16;150,64;2050,35;74,37;1082,14;858,15
C1172;REFR;CB;21012,46;0;1748,61;0;942,06;197
C1172;REFR;XA;23184;0;1932;354,5;2137;54,5
C1172;REFR;XB;29675;0;2471;0;8121;0
C1172;REFR;FP;41608;0;6161;0;40783;7171
C2394;REFR;CD;28573,16;63,34;2457,85;217,17;4363,24;1670,48
C2394;REFR;CC;23880,51;49,51;1994,97;148,52;1076,26;2508,04
C2394;REFR;CB;20899,65;66,01;1705,89;85,51;965,37;1622,49
C2394;REFR;FP;41779;0;3506;0;24078;16355
C6166;REFR;CD;28946,32;174,79;2691,7;19,97;5029,23;2387,92
C6166;REFR;CC;24113,37;99,78;2030,21;16,95;1245,33;2910,6
C6166;REFR;CB;20314,34;28,41;1721,44;0;994,32;3084,58
C6166;REFR;XA;24213,88;12,3;2026,69;361,69;2193,54;3884,49
C6166;REFR;XB;28478;0;3106;0;13734;0
C6166;REFR;CA;19416;0;1629;0;890;3575
C6166;REFR;FP;41779;0;6763;0;44507;8564
C6166;REFR;XS;20889;0;1753;0;940;2269
C5632;REFR;CD;28790;0;2971,5;9,5;8095;1617,5
C5632;REFR;CC;24135,65;354,52;2040,78;106,96;1078,96;568,43
C5632;REFR;CB;20417,29;0;1702,14;954,29;944,43;455,86
C5632;REFR;FP;41779;0;5168;0;20149;6077
C7353;REFR;CD;31364,2;434;2649,8;2011,4;4226,6;1657,4
C7353;REFR;CC;23967,22;11,07;2014,45;123,35;1074,58;2498,71
C7353;REFR;CB;20489,37;21,59;1711,43;646,36;957,58;2761,99
C7353;REFR;XA;23972,75;130,75;2008,75;442;2206,75;2350,5
C7353;REFR;XB;29675;0;2473;128;2363;3611
C7353;REFR;FP;41779;0;3505;0;28949;12547
C644;REFR;CD;28446,66;63,35;2558,6;73,06;4213,29;2080,65
C644;REFR;CC;24168,17;55,54;2019,03;218,61;1078,81;2068,27
C644;REFR;CB;20789,27;24,54;1737,5;132,21;965,73;1619,37
C644;REFR;XA;24297,97;0;2029,52;710,43;2196,6;3467,23
C644;REFR;CA;18281;0;1523;0;814;1741
C644;REFR;FP;41779;0;6678;0;49781;4878
C644;REFR;XC;32341;0;3108;0;9593;762
C2592;REFR;CD;30192;31,55;3036,64;83,45;8505,27;1377,91
C2592;REFR;CC;24059,63;10,3;1989,08;167,42;1008,48;1498,41
C2592;REFR;CB;20751,94;54,64;1687,08;435,46;807,13;2040,17
C2592;REFR;XA;24904,33;0;2076,67;140,33;2042;3879,33
C2592;REFR;XB;29675;197;2489;67;2155;2173
C2592;REFR;FP;41779;0;4523;0;31126;8631
C7264;REFR;CD;27064;0;2513;35;601;984,5
C7264;REFR;CC;24345,81;67,78;1983,61;137,17;1434,56;1734,7
C7264;REFR;CB;20618,1;39,65;1730,31;53,29;961,32;1956,27
C7264;REFR;XA;24741;0;2062;89,67;2215;2453,33
C7264;REFR;FP;41779;0;5618;0;23682;599
C8233;REFR;CD;27892,85;198,13;2359,4;94,47;5670,64;1472,43
C8233;REFR;CC;23932,85;21,04;1993,43;183,86;1134,76;484,27
C8233;REFR;CB;19612,91;0;1634,34;4,86;931,82;161,68
C8233;REFR;XA;24446,25;0;1968;0;1627;1237,75
C8233;REFR;XB;28478;0;2373;1137;12436;0
C8233;REFR;FP;38553;0;4376;0;26362;15320
C5758;REFR;CD;28538;65,25;2385,25;152;8522,5;2845,5
C5758;REFR;CC;23961,67;67,04;2000,82;170,13;1079,66;1898,67
C5758;REFR;CB;20285;0;1694;42;958,67;1974,67
C5758;REFR;XA;23346,67;0;1945,67;977,67;2180;2401,33
C5758;REFR;XB;28478;436;2405;853;11716;0
C5758;REFR;FP;41779;0;5350;0;24287;9181
C3085;REFR;CD;27190,41;0;2999,75;0;14618,68;1802,23
C3085;REFR;CC;24111,98;7,44;2023,25;93,55;1078,63;2257,19
C3085;REFR;CB;21022,2;0;1757,44;363,15;987,61;2451,88
C3085;REFR;XA;24133,46;0;1995,72;1196,46;2194,7;4039,83
C3085;REFR;CA;19416;242;1638;0;825;1322
C3085;REFR;FP;39789,52;0;6484,76;0;46585,71;8665,71
C3085;REFR;XC;29991;0;3197;0;14053;0
C3430;REFR;CD;28135,34;353,01;2743,4;0;6477,38;1568,16
C3430;REFR;CC;24455,83;0;2038;103,83;1082,17;2365,33
C3430;REFR;CB;21496,67;90,33;1802;1285,33;983;2219,33
C3430;REFR;XB;26473;0;2635;0;8180;0
C3430;REFR;FP;41779;0;5587;0;27897;11003
U12256;REFR;CD;27775,4;6,56;2403,23;0;2805,33;1568,55
U12256;REFR;CC;24182,5;54,98;2019,75;71,61;1822,47;1460,7
U12256;REFR;CB;21040,39;33,72;1760,33;0;941,58;1457,66
U14017;REFR;CD;28108,84;8,69;2468,45;0;2680,45;1281,15
U14017;REFR;CC;24343,48;73,89;2037,06;13,14;1642,52;1974,17
U14017;REFR;CB;21486,95;11,05;1793,61;0;946,15;1664,69
U14017;REFR;DI;44554,24;0;5094,91;0;21729,02;0
N12517;REFR;CD;27948,52;148,6;2749,25;137,17;8812,97;475,72
N12517;REFR;CC;24622,72;196,42;2083,43;0;1332,79;3647,22
N14358;REFR;CD;26018,92;36,52;2322,9;0;2835,68;0
N14358;REFR;CC;21628,47;36,83;1775,61;0;1524,54;0
N14358;REFR;XA;12807,65;0;1086,61;0;1177,5;1034,87
C631;REFR;CD;28381,9;72,22;2703,58;507,86;5280,32;1098,47
C631;REFR;CC;23750,28;32,6;1982,72;343,69;1073,95;383,09
C631;REFR;CB;20986,21;104,3;1764,83;257,6;986,14;283,69
C631;REFR;XA;24590,69;90,01;2041,23;390,37;2216,22;3214,86
C631;REFR;XB;26473;0;2854;0;10109;170
C631;REFR;CA;19532;10;1628,67;11,67;826,67;65
C3326;REFR;CD;27878,66;0;2787,33;146,81;8340,52;1021,17
C3326;REFR;CC;23795,4;128,1;2001,79;276,49;1086,82;790,79
C3326;REFR;CB;20623,06;19,67;1718,37;103,59;960,57;944,51
C3326;REFR;XA;23646,91;0;1972,24;234,2;2191,23;2464,05
C3326;REFR;XB;28074;0;2772,5;144;9608;1302
C3326;REFR;CA;18774,75;0;1564,5;0;817,5;496,5
C3326;REFR;FP;41779;0;5654;0;39460;0
C5506;REFR;CD;30176;551;3202;0;11506;4876
C5506;REFR;CC;23792;0;1982,67;467,67;1075,67;1356,33
C5506;REFR;CB;19351;0;1613;0;927;153
C2913;REFR;CD;30176;767;3209;0;11600;960
C2913;REFR;CC;23234,75;0;1990,38;615,66;1072,25;2271,02
C2913;REFR;CB;20285,52;125,88;1702,22;286,73;949,79;2289,4
C2913;REFR;XA;25008;0;2084;233;2218;1717
C5238;REFR;CD;28088,29;51,57;2767,43;700;9600,29;3174,71
C5238;REFR;CC;23931,71;7,09;2003,94;179,24;1076,29;3131,98
C5238;REFR;CB;20374,34;0;1692,81;423,65;997,93;2306,32
C5238;REFR;XA;23428;0;1952,5;23,5;2202;1956,5
