ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_ASSENZA;FORM_UOMINI;FORM_DONNE;FORM_MEDIA_UOMINI;FORM_MEDIA_DONNE
C1364;RALN;CB;055000;Z01;4;4;0;0
C1364;RALN;CC;0C1000;Z01;6;10;0;0
C1364;RALN;CD;0D1000;Z01;4;4;0;0
C1364;RALN;CC;043000;Z01;3;0;0;0
C1364;RALN;CD;0D4000;Z01;3;0;0;0
C1364;RALN;CC;042000;Z01;4;0;0;0
C1364;RALN;CB;054000;Z01;4;0;0;0
C1364;RALN;CB;0B7A00;Z01;2;4;0;0
C1364;RALN;CB;038490;Z01;2;2;0;0
C1364;RALN;CB;036495;Z01;4;0;0;0
C1364;RALN;CB;032000;Z01;4;2;0;0
C1364;RALN;CC;045000;Z01;0;4;0;0
C1364;RALN;CD;0D5000;Z01;3;0;0;0
C1364;RALN;CD;049000;Z01;2;2;0;0
C1364;RALN;CD;050000;Z01;5;0;0;0
C1364;RALN;CB;036494;Z01;2;2;0;0
C1364;RALN;FP;0D0102;Z01;1;1;0;0
M8652;MNST;3A;040F01;Z01;1;2;0,00027855153203343;0,00055710306406685
M8652;MNST;3A;040F01;Z01;322;681;0,089693593314763;0,18969359331476
M8652;MNST;2A;032F02;Z01;82;44;0,018283166109253;0,0098104793756968
M8652;MNST;1A;023F01;Z01;3;56;0,028301886792453;0,52830188679245
M8652;MNST;3A;040F01;Z01;301;574;0,083844011142061;0,15988857938719
M8652;MNST;3A;040F01;Z01;198;1802;0,055153203342618;0,50194986072423
M8652;MNST;2A;032F02;Z01;100;38;0,022296544035674;0,0084726867335563
M8652;MNST;2A;032F02;Z01;625;1623;0,13935340022297;0,361872909699
M8652;MNST;2A;034F03;Z01;73;133;0,012354036215942;0,022508038585209
M8652;MNST;2A;034F03;Z01;83;58;0,014046369944153;0,009815535623625
M8652;MNST;D2;0D0079;Z01;34;8;0,27642276422764;0,065040650406504
M8652;MNST;D2;0D0079;Z01;51;77;0,41463414634146;0,6260162601626
M8652;MNST;2A;034F03;Z01;315;1463;0,053308512438653;0,2475884244373
M8652;MNST;3A;041F02;Z01;138;142;0,06484962406015;0,066729323308271
M8652;MNST;D2;0D0079;Z01;0;47;0;0,38211382113821
M8652;MNST;3A;041F02;Z01;138;748;0,06484962406015;0,3515037593985
M8652;MNST;3A;041F02;Z01;35;586;0,016447368421053;0,27537593984962
M8652;MNST;3A;041F02;Z01;12;0;0,0056390977443609;0
M8652;MNST;2A;035F04;Z01;35;58;0,010526315789474;0,017443609022556
M8652;MNST;2A;035F04;Z01;23;12;0,0069172932330827;0,003609022556391
M8652;MNST;2A;035F04;Z01;501;459;0,15067669172932;0,13804511278195
M8652;MNST;1A;024F03;Z01;235;93;0,32413793103448;0,12827586206897
M8652;MNST;1A;024F03;Z01;3;0;0,0041379310344828;0
M8652;MNST;1A;024F02;Z01;125;67;0,1840942562592;0,098674521354934
M8652;CPEN;CP;0D0DPP;Z01;130;286;0,78787878787879;1,7333333333333
M8652;MNST;3A;044F05;Z01;3;151;0,0059171597633136;0,29783037475345
M8652;MNST;3A;044F05;Z01;29;44;0,057199211045365;0,086785009861933
M8652;MNST;3A;044F05;Z01;7;29;0,013806706114398;0,057199211045365
M8652;MNST;3A;044F05;Z01;99;136;0,19526627218935;0,26824457593688
M8652;MNST;2A;030F01;Z01;15;0;0,026978417266187;0
M8652;MNST;2A;030F01;Z01;3;14;0,0053956834532374;0,025179856115108
M8652;MNST;2A;030F01;Z01;99;257;0,17805755395683;0,46223021582734
M8652;MNST;3A;043F04;Z01;31;90;0,035187287173666;0,10215664018161
M8652;MNST;3A;043F04;Z01;320;284;0,36322360953462;0,32236095346198
M8652;MNST;2A;035F05;Z01;0;11;0;0,013221153846154
M8652;MNST;3A;042F03;Z01;160;606;0,092165898617512;0,34907834101382
