ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
AA37;SSNA;LA;A13870;LT;T14007;V;1
AA37;SSNA;DA;AD0612;DA;AD0032;O;1
AA37;SSNA;MD;SD0036;MD;SD0035;O;1
AA37;SSNA;MD;SD0035;MD;SD0E34;O;4
AA37;SSNA;DA;AD0A31;DA;AD0032;O;2
AA37;SSNA;MD;SD0N33;MD;SD0E33;O;1
AA37;SSNA;LT;T16026;DP;PD0A45;V;1
AA37;SSNA;MD;SD0035;MD;SD0036;O;2
AA37;SSNA;DA;AD0612;DA;AD0A31;O;1
AG9899;SSNA;PS;SD0SE1;PS;SD0CO1;O;1
AG9899;SSNA;DA;AD0S31;DA;AD0032;O;1
AG9899;SSNA;DP;PD0S45;DP;PD0046;O;1
AP192;SSNA;CH;SD0E15;CH;SD0E16;O;2
AP192;SSNA;LT;T14007;LT;T16026;O;4
AP192;SSNA;FI;SD0A41;FI;SD0E41;O;1
AP192;SSNA;MD;SD0035;MD;SD0E33;O;1
AP192;SSNA;DT;TD0A02;DT;TD0S02;O;1
AP192;SSNA;BI;SD0E12;BI;SD0A12;O;1
AP192;SSNA;CH;SD0E16;DG;0D0482;V;1
AP192;SSNA;LA;A14005;LA;A16028;O;1
AP192;SSNA;DP;PD0A45;DP;PD0S45;O;1
AP192;SSNA;CH;SD0A15;CH;SD0E15;O;1
AP193;SSNA;LT;T18868;DT;TD0S02;V;1
AP194;SSNA;DT;TD0A02;DT;TD0S02;O;8
AP194;SSNA;DA;AD0032;DG;0D0163;V;1
AP194;SSNA;DP;PD0S45;DP;PD0046;O;2
AP194;SSNA;LA;A14005;LA;A16028;O;1
AP194;SSNA;CH;SD0E15;CH;SD0E16;O;1
AP194;SSNA;LT;T14007;LT;T16026;O;13
AP195;SSNA;CH;SD0E15;CH;SD0E16;O;1
AP195;SSNA;LT;T16026;DT;TD0S02;V;2
AP195;SSNA;SV;S18865;DT;TD0810;V;1
AP195;SSNA;LA;A16028;DT;TD0810;V;1
AP195;SSNA;LA;A18869;DA;AD0612;V;1
AP195;SSNA;LT;T14007;LT;T16026;O;1
AP195;SSNA;LT;T14007;LA;A14005;V;1
AP195;SSNA;LT;T16026;DT;TD0810;V;2
