ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C1720;RALN;FP;0D0103;C99;0;1
C5541;RALN;FP;0D0103;C99;1;0
C8245;RALN;FP;0D0102;C99;1;0
C5906;RALN;FP;0D0102;C18;1;0
C3636;RALN;FP;0D0102;C99;1;0
M8655;RALN;FP;0D0102;C01;0;3
M8655;RALN;FP;0D0102;C03;3;1
C3041;RALN;FP;0D0102;C99;0;1
C249;RALN;FP;0D0102;C18;1;0
C7400;RALN;FP;0D0102;C99;1;0
C7989;RALN;FP;0D0102;C99;1;0
C7617;RALN;FP;0D0102;C99;1;0
C3872;RALN;FP;0D0102;C01;0;1
C1759;RALN;FP;0D0102;C99;1;0
C3065;RALN;FP;0D0102;C21;1;0
P9082;RALN;FP;0D0102;C18;1;0
C6613;RALN;FP;0D0102;C18;1;0
C2282;RALN;FP;0D0102;C18;0;1
M8655;RALN;FP;0D0102;C25;2;0
C1263;RALN;FP;0D0102;C03;0;1
C2158;RALN;FP;0D0102;C19;1;0
C6873;RALN;FP;0D0102;C18;0;1
C5557;RALN;FP;0D0102;C18;0;1
C2127;RALN;FP;0D0102;C19;1;0
C7394;RALN;FP;0D0102;C03;1;0
C2565;RALN;FP;0D0102;C18;0;1
C4233;RALN;FP;0D0102;C18;1;0
C4177;RALN;FP;0D0102;C99;1;0
C394;RALN;FP;0D0102;C18;1;0
C3584;RALN;FP;0D0102;C99;0;1
C4190;RALN;FP;0D0102;C18;0;1
C3925;RALN;FP;0D0102;C01;1;0
C1811;RALN;FP;0D0102;C03;0;1
C6004;RALN;FP;0D0102;C18;0;1
C1470;RALN;FP;0D0102;C18;1;0
C1846;RALN;FP;0D0102;C25;1;0
C2210;RALN;FP;0D0102;C03;1;0
C1080;RALN;FP;0D0102;C18;1;0
C5136;RALN;FP;0D0102;C18;1;0
C8155;RALN;FP;0D0102;C99;2;0
C3525;RALN;FP;0D0102;C19;1;0
C1289;RALN;FP;0D0102;C18;0;1
C779;RALN;FP;0D0102;C03;1;0
C7530;RALN;FP;0D0102;C25;1;0
C3766;RALN;FP;0D0102;C99;1;0
C7641;RALN;FP;0D0102;C18;1;0
C2562;RALN;FP;0D0102;C18;1;0
C1364;RALN;FP;0D0102;C99;1;0
C2466;RALN;FP;0D0102;C01;1;0
C3972;RALN;FP;0D0102;C18;1;0
C1485;RALN;FP;0D0102;C18;1;0
C5431;RALN;FP;0D0102;C18;0;1
C6781;RALN;FP;0D0102;C99;1;0
C7537;RALN;FP;0D0102;C99;0;1
P9086;RALN;FP;0D0102;C18;1;0
