"Istituzione","Contratto","Macrocategoria","Categoria","Personale Tempo Determinato Uomini","Personale Tempo Determinato Donne","Formazione Lavoro Uomini","Formazione Lavoro Donne","Interinale Uomini","Interinale Donne","Lavoro Socialmente Utile Uomini","Lavoro Socialmente Utile Donne"
"IP11028","SCTN","CO","SN","5,67","9,42","0","0","0","0","0","0"
"CS10225","RALN","ND","CA","1,38","0,74","0","0","0,49","0","0","0"
"C222","RALN","ND","CA","0","0","0","0","0","0","11","5"
"C223","RALN","ND","CA","0,67","0","0","0","0","0","0","0"
"C226","RALN","ND","CA","2","1,59","0","0","0","0","0","0"
"C230","RALN","ND","CA","5,05","1,44","0","0","0","0","0","0"
"C236","RALN","ND","CA","12","4","0","0","0","0","0","0"
"C243","RALN","ND","CA","0,5","0","0","0","0","0","0","0"
"C8248","RALN","ND","CA","5,5","3","0","0","0","0","0,5","0"
"C247","RALN","ND","CA","6","5","0","0","0","0","6","5"
"C250","RALN","ND","CA","0","0,5","0","0","0","0","0","0"
"C262","RALN","ND","CA","6,56","1,4","0","0","0","0","0","0"
"C268","RALN","ND","CA","1,32","0","0","0","0","0","0","0"
"C271","RALN","ND","CA","0","0","0","0","0","0","0,02","1"
"C277","RALN","ND","CA","16,78","3,14","0","0","0","0","0","0"
"C285","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C287","RALN","ND","CA","3","3","0","0","0","0","0","0"
"C303","RALN","ND","CA","0","0","0","0","0","0","0,56","0"
"C308","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C314","RALN","ND","CA","0","0","0","0","0","0","0","2"
"C323","RALN","ND","CA","0,3","0","0","0","0","0","0","0"
"C324","RALN","ND","CA","1,28","0,09","0","0","0","0","0","0"
"C344","RALN","ND","CA","6,66","40,04","0","0","0","0","5","7,22"
"C345","RALN","ND","CA","0,67","4,67","0","0","0","0","0","0"
"C349","RALN","ND","CA","0,66","0","0","0","0","0","5,2","1,1"
"C361","RALN","ND","CA","0,76","6,76","0","0","0","0","0,73","0,68"
"C368","RALN","ND","CA","0,67","5,36","0","0","0","0","0","0"
"C370","RALN","ND","CA","1,83","5,5","0","0","0","0","0","0"
"C378","RALN","ND","CA","0","0","0","0","0","0","1,72","0"
"C382","RALN","ND","CA","0","0","0","0","0","0,25","0","0"
"C384","RALN","ND","CA","0","0","0","0","0","0","0,5","0"
"C388","RALN","ND","CA","1,1","0","0","0","0","0","0","0"
"C12480","PRTN","ND","CA","0","0,07","0","0","0","0","0","0"
"C392","RALN","ND","CA","0,68","0,68","0","0","0","0","0","0"
"C396","RALN","ND","CA","1,5","0","0","0","0","0","0","0"
"C397","RALN","ND","CA","0","0","0","0","0","0","1,87","0"
"C402","RALN","ND","CA","3,6","5,04","0","0","0","0","0","0"
"C12494","PRTN","ND","CA","0","4,4","0","0","0","0","0","0"
"C408","RALN","ND","CA","0","0","0","0","0","0","2,93","1,19"
"C416","RALN","ND","CA","3,61","0","0","0","0","0","0","0"
"C422","RALN","ND","CA","44","1","0","0","0","0","16","14"
"C430","RALN","ND","CA","0,43","1,62","0","0","0","0","0,36","0"
"C437","RALN","ND","CA","0","0","0","0","0","0","2,89","2,5"
"C444","RALN","ND","CA","0","0","0","0","0","0","0","0,17"
"C445","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C456","RALN","ND","CA","0","0","0","0","0","0","0,1","0,2"
"C457","RALN","ND","CA","4","0","0","0","0","0","0","0"
"C465","RALN","ND","CA","0,67","4,02","0","0","0","0","0","0"
"C469","RALN","ND","CA","0","0","0","0","0","0","0,67","0"
"C481","PRBZ","ND","CA","2,28","8,92","0","0","0","0","0","0"
"C495","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C512","RALN","ND","CA","0","0","0","0","0","0","0,88","0,83"
"C513","PRTN","ND","CA","0","0,63","0","0","0","0,47","0","0"
"C522","RALN","ND","CA","0","0","0","0","0","0","0,19","0"
"C523","RALN","ND","CA","5","8","0","0","0","0","0","0"
"C524","RALN","ND","CA","7","5","0","0","0","0","0","0"
"C540","RALN","ND","CA","0","0","0","0","0","0","5,39","2,32"
"C547","RALN","ND","CA","0","0","0","0","1","0","0","0"
"C567","RALN","ND","CA","0","0","0","0","0","0","0,37","1"
"C569","RALN","ND","CA","0","0","0","0","0","0","1,23","0,97"
"C574","RALN","ND","CA","0,09","0","0","0","0","0","0","0"
"C582","RALN","ND","CA","0","0","0","0","0","0","1,59","1,29"
"C600","RALN","ND","CA","6,6","4,62","0","0","0","0","0","0"
"C603","RALN","ND","CA","0,24","0","0","0","0","0","0","0"
"C609","RALN","ND","CA","0","0","0","0","0","0","8,14","2,3"
"C624","PRBZ","ND","CA","0,06","0","0","0","0","0","0","0"
"C625","RALN","ND","CA","0","0","0","0","0","0","9","0"
"C628","RALN","ND","CA","0","0","0","0","0","0","3,31","12,95"
"C629","RALN","ND","CA","0","0","0","0","0","0","7,78","0"
"C630","RALN","ND","CA","0","0","0","0","0,08","0","1,82","0"
"C634","RALN","ND","CA","0","0","0","0","0","0","7","1"
"C637","RALN","ND","CA","0","0","0","0","0","0","21","37"
"C651","PRBZ","ND","CA","0","3","0","0","0","0","0","0"
"C657","RALN","ND","CA","0,72","0,72","0","0","0","0","0","0"
"C673","RALN","ND","CA","0","0","0","0","0","0","0","1,56"
"C679","RALN","ND","CA","0","0","0","0","0","0","0,49","0"
"C685","RALN","ND","CA","0","0","0","0","0","0","1,45","0,56"
"C686","RALN","ND","CA","0,09","0","0","0","0","0","0","0"
"C696","RALN","ND","CA","0","0","0","0","0","0","1,12","2,24"
"C703","RALN","ND","CA","0","0","0","0","0","0","2","0"
"C705","RALN","ND","CA","0","0","0","0","0","0","0,12","0"
"C10363","RALN","ND","CA","0","0,99","0","0","0","0","0","0"
"C730","RALN","ND","CA","11,68","10,56","0","0","0","0","18,48","4,4"
"C739","RALN","ND","CA","0","0,77","0","0","0","0","0","0"
"C758","RALN","ND","CA","0","0","0","0","0","0","6","0"
"C761","RALN","ND","CA","0,11","0","0","0","0","0","0","0"
"C770","RALN","ND","CA","0","0","0","0","0","0","0,55","0,55"
"C771","PRTN","ND","CA","0","5,39","0","0","0","0","0","0"
"C774","RALN","ND","CA","0,55","4,62","0","0","0","0","0","0"
"C778","RALN","ND","CA","0","0","0","0","0","0","0","1"
"C784","RALN","ND","CA","0","0","0","0","0","0","0,17","0"
"C802","PRTN","ND","CA","0","0,62","0","0","0","0","0","0"
"C817","RALN","ND","CA","1","0","0","0","0","0","0","0"
"C824","RALN","ND","CA","0","0","0","0","0","0","0,99","0"
"C827","RALN","ND","CA","0","0","0","0","0","0","1,16","0,04"
"C834","RALN","ND","CA","0","0","0","0","0","0","0,03","0"
"C835","RALN","ND","CA","1,44","1,44","0","0","0","0","0","0"
"C846","RALN","ND","CA","1,44","0","0","0","0","0","0","0"
"C881","PRTN","ND","CA","0","4","0","0","0","0","0","0"
"C893","RALN","ND","CA","0","0","0","0","0","0","1","0"
"C894","RALN","ND","CA","0","4,33","0","0","0","0","0","0"
"C895","RALN","ND","CA","1","5","0","0","0","0","0","0"
"C902","RALN","ND","CA","0","0,06","0","0","0","0","0","0"
"C912","PRTN","ND","CA","0","0,53","0","0","0","0","0","0"
"C917","RALN","ND","CA","0","0","0","0","0","0","4","0"
"C923","RALN","ND","CA","1,98","3,3","0","0","0","0","2,2","9,16"
"C924","RALN","ND","CA","10,35","0","0","0","0","0","0","3,33"
"C926","RALN","ND","CA","0","0","0","0","0","0","0,59","0"
"C927","RALN","ND","CA","10,47","5,06","0","0","0","0","0","0"
"C935","RALN","ND","CA","4","2","0","0","0","0","0","0"
"C909","RALN","ND","CA","0,12","0","0","0","0","0","0","0"
"C946","RALN","ND","CA","1","6","0","0","0","0","0","0"
"C960","RALN","ND","CA","0,08","0,19","0","0","0","0","0","0"
"C964","RALN","ND","CA","0","0","0","0","0","0","0,6","0"
"C970","PRBZ","ND","CA","1,25","4,8","0","0","0","0","20,52","1,38"
"C975","RALN","ND","CA","3,35","0,67","0","0","0","0","0","0"
"C976","RALN","ND","CA","0","0,66","0","0","0","0","0","0"
"C995","RALN","ND","CA","0","0","0","0","0","0","1,12","0,55"
"C12487","PRTN","ND","CA","0","0,6","0","0","0","0","0","0"
"C12473","PRTN","ND","CA","0,66","0,85","0","0","0","0","0","0"
"C1015","PRTN","ND","CA","0,92","0","0","0","0","0","0","0"
