"Istituzione","Contratto","Categoria Partenza","Qualifica Partenza","Categoria Arrivo","Qualifica Arrivo","Tipo Passaggio","Numero Passaggi"
"D8409","EN60","DI","0D00NF","LI","0000ND","V","1"
"RS9204","RESI","DG","0D0097","DI","0D0918","V","2"
"RS9211","SCBZ","DI","0D0164","BD","000DFP","V","2"
"RS9211","SCBZ","DI","0D0164","BD","000IEM","V","1"
"RS9211","SCBZ","DI","0D0164","BD","014155","V","1"
"Q9178","UNIV","PR","0D0173","DG","0D0097","V","1"
"Q9185","UNIV","PR","0D0169","RI","0D0177","V","1"
"Q9131","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9142","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9150","UNIV","RI","0D0177","PR","0D0173","V","1"
"Q9178","UNIV","RI","0D0177","PR","0D0169","V","3"
"Q9173","UNIV","RI","0D0177","PR","0D0169","V","28"
"Q9174","UNIV","RI","0D0177","PR","0D0169","V","38"
"Q9175","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9128","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9181","UNIV","RI","0D0177","PR","0D0169","V","15"
"Q9179","UNIV","RI","0D0177","PR","0D0169","V","42"
"Q9186","UNIV","RI","0D0177","PR","0D0169","V","29"
"Q9135","UNIV","RI","0D0177","PR","0D0169","V","5"
"Q9184","UNIV","RI","0D0177","PR","0D0169","V","16"
"Q9185","UNIV","RI","0D0177","PR","0D0169","V","3"
"Q9130","UNIV","RI","0D0177","PR","0D0169","V","7"
"Q9180","UNIV","RI","0D0177","PR","0D0169","V","3"
"Q9131","UNIV","RI","0D0177","PR","0D0169","V","18"
"Q9132","UNIV","RI","0D0177","PR","0D0169","V","7"
"Q9133","UNIV","RI","0D0177","PR","0D0169","V","19"
"Q9134","UNIV","RI","0D0177","PR","0D0169","V","1"
"Q9136","UNIV","RI","0D0177","PR","0D0169","V","2"
"Q9137","UNIV","RI","0D0177","PR","0D0169","V","2"
"Q9188","UNIV","RI","0D0177","PR","0D0169","V","10"
"Q9139","UNIV","RI","0D0177","PR","0D0169","V","19"
"Q9140","UNIV","RI","0D0177","PR","0D0169","V","23"
"Q9141","UNIV","RI","0D0177","PR","0D0169","V","7"
"Q9142","UNIV","RI","0D0177","PR","0D0169","V","16"
"Q9187","UNIV","RI","0D0177","PR","0D0169","V","9"
"Q9143","UNIV","RI","0D0177","PR","0D0169","V","4"
"Q9145","UNIV","RI","0D0177","PR","0D0169","V","3"
"Q9146","UNIV","RI","0D0177","PR","0D0169","V","25"
"Q9147","UNIV","RI","0D0177","PR","0D0169","V","66"
"Q9148","UNIV","RI","0D0177","PR","0D0169","V","14"
"Q9149","UNIV","RI","0D0177","PR","0D0169","V","38"
"Q9150","UNIV","RI","0D0177","PR","0D0169","V","46"
"Q9151","UNIV","RI","0D0177","PR","0D0169","V","21"
