"Istituzione","Contratto","Categoria","Qualifica","Causale Cessazione","Uomini","Donne"
"C7929","SCLA","DO","014155","C01","0","8"
"M8653","SCLA","DO","016135","C01","1","0"
"M8653","SCLA","DO","014154","C01","0","1"
"M8653","SCLA","SA","012117","C01","0","1"
"M8653","SCLA","SA","011121","C01","1","1"
"M8659","SCLA","DO","016132","C01","0","1"
"M10398","SCLA","SD","0D0158","C01","130","106"
"M10398","SCLA","DO","016132","C01","548","471"
"M10398","SCLA","DO","016135","C01","241","456"
"M10398","SCLA","DO","014154","C01","69","603"
"M10398","SCLA","DO","014155","C01","0","279"
"M10398","SCLA","DO","014143","C01","80","22"
"M10398","SCLA","DO","014646","C01","22","1"
"M10398","SCLA","IS","016630","C01","8","19"
"M10398","SCLA","IS","016638","C01","25","40"
"M10398","SCLA","IS","014634","C01","1","45"
"M10398","SCLA","IS","014714","C01","0","13"
"M10398","SCLA","IS","014656","C01","3","9"
"M10398","SCLA","SA","013159","C01","35","15"
"M10398","SCLA","SA","012117","C01","88","95"
"M10398","SCLA","SA","012119","C01","84","5"
"M10398","SCLA","SA","012125","C01","0","1"
"M10398","SCLA","SA","011121","C01","514","453"
"M10398","SCLA","SR","016139","C01","17","23"
"M10398","SCLA","SR","014138","C01","1","22"
"C963","SCLA","DO","016132","C01","1","0"
"C963","SCLA","DO","014154","C01","1","0"
"RS9208","SCLA","DO","016132","C01","1","0"
"P9112","AFAM","PR","018P01","C01","1","2"
"M10398","AFAM","PR","018P01","C01","61","33"
"M10398","AFAM","PR","016P02","C01","4","1"
"CS10071","AFAM","PR","018P01","C01","1","0"
"IC10832","AFAM","PR","018P01","C01","1","0"
"AG12450","MNST","2A","030F01","C01","1","0"
"AG12246","MNST","D2","0D0079","C01","1","0"
"AG10325","MNST","MS","0D0497","C01","1","0"
"AG10325","MNST","3A","043F04","C01","1","0"
"AG10325","MNST","2A","034F03","C01","0","1"
"OC9816","MNST","2A","034F03","C01","0","1"
"OC9816","MNST","2A","032F02","C01","1","1"
"OC9816","MNST","1A","024F03","C01","2","0"
"OC9829","MNST","D2","0D0079","C01","1","0"
"OC9829","MNST","3A","043F04","C01","1","0"
"OC9829","MNST","2A","035F05","C01","1","0"
"OC9829","MNST","2A","034F03","C01","0","2"
"OC9815","MNST","3A","043F04","C01","1","0"
"OC9815","MNST","2A","034F03","C01","2","0"
"M8653","MNST","D2","0D0079","C01","2","1"
"M8653","MNST","3A","043F04","C01","1","1"
"M8653","MNST","3A","042F03","C01","2","1"
"M8653","MNST","3A","041F02","C01","2","1"
"M8653","MNST","3A","040F01","C01","4","3"
"M8653","MNST","2A","035F04","C01","1","7"
"M8653","MNST","2A","034F03","C01","7","8"
"M8653","MNST","2A","032F02","C01","4","1"
"M8653","MNST","2A","030F01","C01","4","0"
"M8653","MNST","1A","023F01","C01","1","0"
"M8653","MNST","PC","000061","C01","20","27"
"M10395","MNST","D2","0D0079","C01","4","0"
"M10395","MNST","3A","044F06","C01","7","2"
"M10395","MNST","3A","044F05","C01","0","1"
"M10395","MNST","3A","043F04","C01","4","1"
"M10395","MNST","3A","042F03","C01","8","0"
"M10395","MNST","3A","041F02","C01","3","0"
