ANNO;CODI_TITOLO;DESC_TITOLO
2015;004500;LAUREA BREVE
2015;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2015;008000;ALTRI TITOLI POST LAUREA
2015;003000;FINO ALLA SCUOLA DELL'OBBLIGO
2015;004000;LICENZA MEDIA SUPERIORE
2015;005000;LAUREA
