ANNO;CODI_TITOLO;DESC_TITOLO
2016;004500;LAUREA BREVE
2016;007000;SPECIALIZZAZIONE POST LAUREA / DOTTORATO DI RICERCA
2016;008000;ALTRI TITOLI POST LAUREA
2016;003000;FINO ALLA SCUOLA DELL'OBBLIGO
2016;004000;LICENZA MEDIA SUPERIORE
2016;005000;LAUREA
