ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
U12388;SSNA;MD;SD0036;C03;3;0
U9577;SSNA;MD;SD0036;C01;1;0
U12388;SSNA;MD;SD0036;C99;1;0
U9575;SSNA;MD;SD0036;C99;0;1
U10422;SSNA;MD;SD0036;C99;2;0
U10422;SSNA;MD;SD0036;C18;1;0
U9542;SSNA;MD;SD0036;C18;1;0
U12388;SSNA;MD;SD0036;C18;1;0
U9542;SSNA;MD;SD0036;C99;0;1
U9575;SSNA;MD;SD0036;C01;1;0
U9559;SSNA;MD;SD0036;C18;1;2
U9559;SSNA;MD;SD0036;C99;0;1
U9546;SSNA;MD;SD0036;C18;9;1
U9583;SSNA;MD;SD0036;C18;8;5
U12365;SSNA;MD;SD0036;C01;1;0
U9636;SSNA;MD;SD0036;C18;23;12
PU9818;SSNA;MD;SD0036;C03;1;0
U12379;SSNA;MD;SD0036;C18;2;2
U12365;SSNA;MD;SD0036;C99;0;1
J10944;SSNA;MD;SD0036;C99;1;0
U12384;SSNA;MD;SD0036;C03;2;1
U12365;SSNA;MD;SD0036;C03;0;1
U12384;SSNA;MD;SD0036;C99;2;2
U12349;SSNA;MD;SD0036;C03;5;0
U12349;SSNA;MD;SD0036;C99;1;0
U12349;SSNA;MD;SD0036;C18;0;1
U9545;SSNA;MD;SD0036;C18;2;1
U10746;SSNA;MD;SD0036;C01;1;0
U12361;SSNA;MD;SD0036;C99;1;0
U10746;SSNA;MD;SD0036;C03;1;0
U9545;SSNA;MD;SD0036;C99;3;1
U9565;SSNA;MD;SD0036;C01;1;0
U12362;SSNA;MD;SD0036;C18;1;0
U9489;SSNA;MD;SD0036;C03;1;1
U9629;SSNA;MD;SD0036;C18;1;0
U9629;SSNA;MD;SD0036;C21;1;0
U9560;SSNA;MD;SD0036;C18;0;1
U9575;SSNA;MD;SD0036;C03;2;2
U9629;SSNA;MD;SD0036;C99;5;3
U10753;SSNA;MD;SD0036;C18;2;0
U9602;SSNA;MD;SD0036;C03;1;0
U9629;SSNA;MD;SD0036;C03;1;0
U12365;SSNA;MD;SD0036;C18;2;0
U9602;SSNA;MD;SD0036;C99;1;0
U10753;SSNA;MD;SD0036;C99;0;1
U9560;SSNA;MD;SD0036;C03;1;0
U10753;SSNA;MD;SD0036;C03;2;0
U9629;SSNA;MD;SD0036;C01;2;0
U12352;SSNA;MD;SD0036;C01;1;0
U10850;SSNA;MD;SD0036;C03;1;0
U9542;SSNA;MD;SD0036;C03;1;0
U9534;SSNA;MD;SD0036;C03;1;0
PU10539;SSNA;MD;SD0036;C01;1;0
U9575;SSNA;MD;SD0036;C18;1;0
U9534;SSNA;MD;SD0036;C99;1;0
U10742;SSNA;MD;SD0036;C18;2;1
U9565;SSNA;MD;SD0036;C03;1;1
U10743;SSNA;MD;SD0036;C18;1;0
U10755;SSNA;MD;SD0036;C03;1;0
U9560;SSNA;MD;SD0036;C99;1;0
U10755;SSNA;MD;SD0036;C99;1;0
U9543;SSNA;MD;SD0036;C18;9;2
U10743;SSNA;MD;SD0036;C21;1;0
U9565;SSNA;MD;SD0036;C99;0;1
U9576;SSNA;MD;SD0036;C18;5;3
U9449;SSNA;MD;SD0036;C18;1;0
U10857;SSNA;MD;SD0036;C21;1;0
U9540;SSNA;MD;SD0036;C99;4;0
U9540;SSNA;MD;SD0036;C19;1;0
U10857;SSNA;MD;SD0036;C01;0;2
PU9818;SSNA;MD;SD0036;C01;1;0
U12256;SSNA;MD;SD0036;C03;1;1
U10518;SSNA;MD;SD0036;C18;21;8
U9444;SSNA;MD;SD0036;C25;1;0
U12350;SSNA;MD;SD0036;C99;3;1
U9474;SSNA;MD;SD0036;C01;0;1
U12350;SSNA;MD;SD0036;C18;3;2
U12350;SSNA;MD;SD0036;C03;3;1
U12261;SSNA;MD;SD0036;C03;1;0
U9639;SSNA;MD;SD0036;C18;1;0
U10857;SSNA;MD;SD0036;C99;2;0
U9566;SSNA;MD;SD0036;C18;17;5
U9444;SSNA;MD;SD0036;C99;3;1
U12372;SSNA;MD;SD0036;C18;1;0
U10620;SSNA;MD;SD0036;C18;3;2
U12372;SSNA;MD;SD0036;C99;2;0
U10620;SSNA;MD;SD0036;C99;1;1
U9429;SSNA;MD;SD0036;C99;1;2
