ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C1050;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
PA12216;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
P9035;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C1701;RALN;CD;049000;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5412;RALN;CD;049000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7929;RALN;CD;049000;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CS10932;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
P9094;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
C6333;RALN;CD;049000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
C917;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
C1501;RALN;CD;049000;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UC10951;RALN;CD;049000;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0
C4498;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C3669;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C12275;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C327;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1352;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C6903;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
R9207;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C5305;RALN;CD;049000;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C6627;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1274;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
C7510;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C2876;RALN;CD;049000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5150;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C4125;RALN;CD;049000;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
UC12325;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1218;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6115;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C5349;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C3934;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
C7629;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC12602;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
C3489;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C827;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
UC10156;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7343;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7427;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C583;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C726;RALN;CD;049000;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
UC10248;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C5525;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C2375;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4626;RALN;CD;049000;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C4829;RALN;CD;049000;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
C6255;RALN;CD;049000;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
C1579;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C3499;RALN;CD;049000;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P9112;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
UC10816;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C5421;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C1998;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC11082;RALN;CD;049000;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
C1664;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C1757;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C7585;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
UC10835;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
UC10412;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C7249;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C1863;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AB11886;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
