ISTITUZIONE;CONTRATTO;MACROCATEGORIA;CATEGORIA;PERSONALE_TEMPO_DETERMINATO_UOMINI;PERSONALE_TEMPO_DETERMINATO_DONNE;FORMAZIONE_LAVORO_UOMINI;FORMAZIONE_LAVORO_DONNE;INTERINALE_UOMINI;INTERINALE_DONNE;LAVORO_SOCIALMENTE_UTILE_UOMINI;LAVORO_SOCIALMENTE_UTILE_DONNE
CS10373;RALN;ND;CB;0,5;0;0;0;0;0;0;0
CS10373;RALN;ND;CC;0;0,14;0;0;3;4;0;0
CS10373;RALN;ND;CD;0;0;0;0;1;0;0;0
C3914;RALN;ND;CB;0,47;0;0;0;0;0;0;0
C3914;RALN;ND;CA;0;0;0;0;0;0;0,13;0
C4671;RALN;ND;CB;1,39;0;0;0;0;0;0;0
C834;RALN;ND;CD;1;0;0;0;0;0;0;0
C834;RALN;ND;CB;0;0;0;0;1,39;0;0;0
ES10847;RALN;ND;CB;0;0;0;0;14;8;0;0
UC9861;RALN;ND;CD;0;1;0;0;0;0;0;0
UC9861;RALN;ND;CC;0;1;0;0;0;0;0;0
C6857;RALN;ND;CC;0,08;0,95;0;0;0;0;0;0
C4442;RALN;ND;CC;1,76;1,95;0;0;0;0;0;0
Q9139;UNIV;ND;CC;17,93;31,37;0;0;0;0;0;0
Q9139;UNIV;ND;CD;0;3,6;0;0;0;0;0;0
Q9139;UNIV;ND;CB;5;2;0;0;0;0;0;0
Q9139;UNIV;ND;RC;60,21;26,61;0;0;0;0;0;0
U9524;SSNA;ME;DS;1;0;0;0;0;0;0;0
U9524;SSNA;ME;LT;2,54;1,88;0;0;4,92;12,5;0;0
U9524;SSNA;ME;LA;0,92;2,67;0;0;0;0;0;0
U9524;SSNA;ME;SI;0;2,13;0;0;8,58;24,33;0;0
U9524;SSNA;ME;ST;4,25;7,54;0;0;1,17;1,17;0;0
U9524;SSNA;ME;MD;4,46;15,21;0;0;0;0;0;0
UC12449;RALN;ND;PC;0;0;0;0;0;0;1;0
UC12449;RALN;ND;CB;0,08;0;0;0;0;0;0;0
P9113;RALN;ND;CB;0;0;0;0;0;0;18;1
C2433;RALN;ND;CB;0;0;0;0;0,62;0,14;0,55;0
C2433;RALN;ND;CC;0,42;0;0;0;0;0;0;0
C288;REFR;SC;CC;0;0;0;0;0;0,14;0;0
C635;PRTN;NF;CB;0;0;0;0;0;0;2;3
C635;PRTN;NF;CC;0;0;0;0;0;0;1;1,21
C635;PRTN;NF;CA;0;0;0;0;0;0;2;1
C5741;RALN;ND;CC;4;1;1;5;0;0;2;0
C974;RALN;ND;CD;0,28;0;0;0;0;0;0;0
C783;RALN;ND;CB;0,56;0,43;0;0;0;0;0,67;5,36
C783;RALN;ND;CD;1,09;0;0;0;0;0;0;0
C783;RALN;ND;CC;0,67;0;0;0;0;0;0;0
C7925;RALN;ND;CB;1;0;0;0;0;0;1,94;1,14
C7925;RALN;ND;CC;0;1;0;0;0;0;0;0
C5465;RALN;ND;CC;0;0;0;0;0,25;0,75;0;0
C2392;PRTN;NF;CA;0;2,04;0;0;0;0;0;0
C2392;PRTN;NF;CB;1;0;0;0;0;0;1,7;0
C2392;PRTN;NF;CC;0;0;0;0;0;0;0,83;0
C813;RALN;ND;CB;0,95;0;0;0;0;0;0;0
C813;RALN;ND;CC;0;0,75;0;0;0;0;0;0
C2545;RALN;ND;CB;0;0;0;0;0;0;0;0,6
C2716;PRTN;NF;CC;0;1;0;0;0;0;0;0
C3289;RALN;ND;CC;1,25;0,83;0;0;0;0;0;0
C4232;RALN;ND;CD;1;1;0;0;0;0;0;0
C3468;RALN;ND;CB;0;23,18;0;0;0;0;1,5;7
C3468;RALN;ND;CD;0;0,67;0;0;0;0;0;0
C3468;RALN;ND;CC;6,66;35,98;0;0;0;0;0;0
C2955;REFR;SC;CB;0;0;0;0;0,4;0;0;0
C2955;REFR;SC;CC;0;0;0,64;0,24;0;0;0;0
C7268;RALN;ND;CC;1;0;0;0;0;0;0;0
C5311;RALN;ND;CA;1,63;1,42;0;0;0;0;0;0
C3413;RALN;ND;CC;0,02;0,04;0;0;0;0;0;0
C2264;REVA;SC;CB;0,16;0;0;0;0;0;0;0
