ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;COMANDATI_DISTACCATI_UOMINI;COMANDATI_DISTACCATI_DOMME;FUORI_RUOLO_UOMINI;FUORI_RUOLO_DONNE;COMANDATI_DISTACCATI_ESTERO_UOMINI;COMANDATI_DISTACCATI_ESTERO_DONNE;FUORI_RUOLO_ESTERO_UOMINI;FUORI_RUOLO_ESTERO_DONNE;CONVENZIONI_UOMINI;CONVENZIONI_DONNE;CONVENZIONI_ESTERO_UOMINI;CONVENZIONI_ESTERO_DONNE;ESONERI_UOMINI;ESONERI_DONNE;ASPETTATIVE_UOMINI;ASPETTATIVE_DONNE
C1039;RALN;CD;049000;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
C6620;RALN;CD;049000;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
C12457;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C264;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
UC10784;RALN;CD;049000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C6363;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
R9190;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C1717;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C3701;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C5551;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C4876;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
UC10007;RALN;CD;049000;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
C6894;RALN;CD;049000;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
C7425;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
R9813;RALN;CD;049000;2;0;0;0;2;2;0;0;1;0;0;0;0;0;1;5
C12931;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C3073;RALN;CD;049000;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
C6564;RALN;CD;049000;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
UC9848;RALN;CD;049000;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
UC10951;RALN;CD;049000;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0
C5951;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
C5055;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C6058;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
C4062;RALN;CD;049000;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
C6277;RALN;CD;049000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C7577;RALN;CD;049000;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
UC10406;RALN;CD;049000;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
