ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
U10620;SSNA;MV;41784,09;2544,15;6303,63;495,04;43986,38;3362,93
U10620;SSNA;LT;19609,83;1102,88;1767,18;1406,5;146,91;3369,02
U10620;SSNA;SV;23122,69;3690,59;2346,96;1838,43;230,16;6244,72
U10620;SSNA;LA;20189,2;2222,87;1973,94;408,34;162,22;2079,42
U10620;SSNA;DP;41604;0;5318,05;0;29974,42;3470,84
U10620;SSNA;SI;23099,9;2514,34;2180,88;943,97;609,37;2887,43
U10620;SSNA;DT;41604,21;102,05;4598,71;0;21200,14;0
U10620;SSNA;DS;41815,75;141,24;5192,98;405,56;31427,32;858,56
U10620;SSNA;DA;41362,44;0;5908,92;0;38118,12;0
U10620;SSNA;MD;41745,44;1268,13;6249,15;1449,46;44100,94;2936,34
U10620;SSNA;SF;23069,18;1981,11;2138,24;42,13;187,24;1674,9
U10620;SSNA;ST;23074,45;2052,72;2136,6;913,17;767,94;2335,42
U10750;SSNA;MV;41897,62;1481,18;5840,27;259,19;30188,61;1931,2
U10750;SSNA;LT;19882,89;2362,09;1841,63;2251,9;176,36;6524,96
U10750;SSNA;SV;23317,38;3997,26;2264,31;1990,85;181,37;8891,58
U10750;SSNA;LA;21226,94;5029,34;2130,02;1539,09;172,71;5618,24
U10750;SSNA;DP;41536;0;5105,82;0;18885,82;18560,36
U10750;SSNA;SI;23147,47;4365,51;2531,47;2528,11;694,49;7560,11
U10750;SSNA;DT;41062,97;19,83;4184,14;0;17492,75;235,15
U10750;SSNA;DS;41677,77;139,68;5452,82;548,1;28372,96;2913,3
U10750;SSNA;DA;41516,66;96,48;5939,44;0;29463,26;2132,5
U10750;SSNA;MD;41782,51;1590,85;6426,85;1931,68;31230,18;3925,27
U10750;SSNA;SF;23193,71;4927,13;2249,03;214,47;185,92;3967,29
U10750;SSNA;ST;23170,25;5024,46;2279,86;2213,98;1344,18;7857,57
U10750;SSNA;LP;23071,61;3599,33;2089,97;286,1;174,56;3525,53
U10739;SSNA;LT;19092,59;921,83;1678,77;545,07;178,69;4316,61
U10739;SSNA;LA;20354,07;1573,36;1870,41;326,72;152,79;5463,5
U10739;SSNA;DP;41479,2;0;4474,63;0;24403,89;205,71
U10739;SSNA;SI;23142,85;2290,91;2143,94;788,11;610,45;6663,76
U10739;SSNA;DT;41479;0;5469;0;37185;200
U10739;SSNA;DS;41779,25;0;5146,92;41,92;22640,5;1623,08
U10739;SSNA;DA;41479,37;222,24;4955,34;0;23990,55;226,77
U10739;SSNA;MD;41788,73;781,01;6082,72;645,09;33400,67;5203,12
U10739;SSNA;SF;23130,6;1765,76;2079,2;45,44;173,89;2210,56
U10739;SSNA;ST;23145,78;2185,3;2156,68;1301,11;937,41;4252,42
U10739;SSNA;MO;41779,25;557,25;6315;94,5;36075;842
U10734;SSNA;MV;42081,89;986,45;5829,68;233,07;24456,75;2562,86
U10734;SSNA;LT;19725,44;2208,76;1839,42;2405,49;155,86;3328,45
U10734;SSNA;SV;23274,05;3971,51;2293,96;1161;184,82;5587,83
U10734;SSNA;LA;21473,29;2022,84;1992,33;1529,54;174,01;2018,13
U10734;SSNA;DP;41685,49;0;4441,22;0;13928,71;0
U10734;SSNA;SI;23193,45;3710,92;2277,11;1820,6;631,93;3639,88
U10734;SSNA;DT;41683,26;96,72;3896,44;0;6863,94;411,75
U10734;SSNA;DS;42081,54;78,55;5006,91;1162,86;18220,47;1703,22
U10734;SSNA;DA;41780,46;174,32;5559,88;0;26121,7;210,98
U10734;SSNA;MD;41975,58;1685,31;5822,22;2539,49;25810,36;3724,88
U10734;SSNA;SF;23512,85;3385,26;2268,91;54,38;192,03;2306,1
U10734;SSNA;ST;23264,86;3326,41;2244,26;2143,8;1039,61;3916,6
U9476;SSNA;MV;41780,81;2421,74;6078,56;71,05;33958,13;1846,12
U9476;SSNA;LT;19442,49;1159,96;1761,88;368,46;163,19;3232,6
U9476;SSNA;SV;23443,15;2933,35;2373,12;311,04;295,87;4893,42
U9476;SSNA;LA;21261,48;1970,98;2065,14;294,27;169,16;2407,1
U9476;SSNA;DP;41478,56;13,58;5237,94;17,51;28134,04;1510,99
U9476;SSNA;SI;23169,97;2363,65;2239,44;641,86;612,75;5454,71
U9476;SSNA;DT;41487;41,22;6726,97;0;36151,22;696,34
U9476;SSNA;DS;41787,84;3,95;4819,66;27,8;18542,82;594,98
U9476;SSNA;DA;41478,49;165,38;6794,83;0;49377,04;543,62
U9476;SSNA;MD;41800,48;692,29;5707,8;1456,78;33224,59;2295,45
U9476;SSNA;SF;23180,73;2085,56;2272,35;124,21;188,08;2837,74
U9476;SSNA;ST;23127,13;2496,18;2310,01;424,35;726,24;4299,44
U9476;SSNA;PS;41779,14;252,86;4401,21;22,07;21389,86;758,64
U9476;SSNA;RR;23612,26;6222,5;3022,96;747,72;194,71;168,54
U10857;SSNA;MV;41779,22;2084,69;6335,6;170,15;30215,16;3446,71
U10857;SSNA;LT;18548,48;1297,12;1684,86;498,9;141,77;2415,5
U10857;SSNA;SV;23101,93;2875,67;2227,75;805,06;181,75;5063,42
U10857;SSNA;LA;20685,92;2615,94;2010,15;295,67;162,2;795,63
U10857;SSNA;DP;41604;0;5561,5;0;27252,5;223
U10857;SSNA;SI;23038,05;3757,34;2321,07;493,34;623,51;3717,74
U10857;SSNA;DT;41586,92;0;4303,15;0;11936,19;1157,88
U10857;SSNA;DS;41636,32;231,36;4988,17;713,4;17009,2;654,39
U10857;SSNA;DA;41870,35;134,35;6538,71;0;27941,85;968,89
U10857;SSNA;MD;41708,9;1431,48;5770,28;895,05;25297,37;3609,15
U10857;SSNA;SF;22918,04;3891,34;2373,24;17,81;203,13;628,23
U10857;SSNA;ST;23119,05;2583,95;2236,4;1219,1;801,58;3041,97
U10857;SSNA;LP;23074;0;1936;0;162;493
U10857;SSNA;MO;41779;3567;4688;0;10908;1
U10857;SSNA;PS;41779;779;4578;0;12377;264
U10733;SSNA;MV;41779,53;2058,79;6125,9;241,67;37718,76;1485,45
U10733;SSNA;LT;20102,23;1830,4;1825,96;740,33;685,9;2596,93
U10733;SSNA;SV;23333,1;2300,67;2135,81;445,29;179,38;6612,95
U10733;SSNA;LA;21227,95;1869,78;1916,04;365,82;244,96;1737,26
U10733;SSNA;DP;41603,94;0;3985,34;156,91;15950,74;0
U10733;SSNA;SI;23076,75;4011,41;2254,25;645,59;627,93;4028,09
U10733;SSNA;DT;41042,49;122,67;4233,51;23,11;25554,84;0
U10733;SSNA;DS;41854,26;86,53;4996;2021,3;24782,87;897,04
U10733;SSNA;DA;41556,55;3,56;3975,84;0;18379,68;0
U10733;SSNA;MD;41750,29;2639,98;5990,85;1899,94;31875,04;4180,22
U10733;SSNA;SF;23219,7;3114,79;2204,59;27,16;169,17;1943,84
U10733;SSNA;ST;23113,28;3476,54;2229,67;3646,85;788,56;4085,55
U10733;SSNA;LP;23074;1679;2007;0;173;168
U10743;SSNA;MV;41779,22;2623,58;6145,2;71,98;29470,57;2753,9
U10743;SSNA;LT;19408,82;1491,52;1751,4;826,21;166,68;2324,58
U10743;SSNA;SV;23128,15;3836,39;2246,42;482,49;301,03;4063,13
U10743;SSNA;LA;20636,42;2454,11;2090,66;483,39;224,29;1215,73
U10743;SSNA;DP;41604;0;4808;0;18114;24810
U10743;SSNA;SI;23038,76;3105,2;2194,15;771,1;644,11;3901,78
U10743;SSNA;DT;41483,4;0;4140;0;12285,9;0
U10743;SSNA;DS;41782,37;306,38;4606,81;22,09;12327,55;607,54
U10743;SSNA;DA;41200,43;202,49;7176,12;0;38153,24;96,47
U10743;SSNA;MD;41667,1;1318,43;5898,63;914,16;23220,06;4499,06
U10743;SSNA;SF;23187,97;3282,58;2232,62;0;203,78;296,63
U10743;SSNA;ST;23108,57;1979,13;2135,02;804,72;824,31;2427,4
U10743;SSNA;LP;23074,5;0;1923;0;175;228
U10735;SSNA;MV;41718,28;1585,43;5870,54;1324,53;28402,57;3027,5
U10735;SSNA;LT;20022,11;1419,97;1782,48;3457,74;152,48;3664,1
U10735;SSNA;SV;23843,18;4189,36;2405,93;6059,27;193,72;5583,43
U10735;SSNA;LA;20280,32;1995,53;1873,94;2000,87;156,5;1899,76
U10735;SSNA;DP;41607,18;63,03;4211,54;0;14363,33;27377,85
U10735;SSNA;SI;23160,44;3078,32;2203,54;3047,52;620,03;4299,15
U10735;SSNA;DT;41528,14;173,88;4031,7;0;12024,3;769,75
U10735;SSNA;DS;41798,36;73,1;5115,92;847,43;21073,15;1309,33
U10735;SSNA;DA;41567,01;2,47;4892,15;0;20752,25;1446,32
U10735;SSNA;MD;41740,4;1440,36;5646,09;883,91;26035,9;3409,97
U10735;SSNA;SF;23169,59;2446,07;2156,55;159,29;178,6;2040,88
U10735;SSNA;ST;23139,87;3490,3;2242,14;3798,74;960,08;3870,85
U10741;SSNA;MV;41779,2;1780,9;6665,37;176,26;40231,23;3293,75
U10741;SSNA;LT;18976,88;1970,8;1755,94;699,25;295,82;3053,61
U10741;SSNA;SV;23112,15;3635,66;2244,75;665,11;216,18;6784,87
U10741;SSNA;LA;20505,07;2707,43;1967,94;379,34;218,7;1985,78
U10741;SSNA;DP;41479,28;0;6153,96;16,98;36031,28;577,4
U10741;SSNA;SI;23039,34;3321,03;2206,48;916,79;627,46;4491,21
U10741;SSNA;DT;41479,64;0;5622,76;0;31208,91;0
U10741;SSNA;DS;41779,25;223,99;5268,67;383,75;24908,08;456,64
U10741;SSNA;DA;41480,62;79,93;7154,41;0;34543,37;334,27
U10741;SSNA;MD;41779,16;1634,65;6412,62;645,55;35896,74;3808,4
U10741;SSNA;SF;23074,32;2901,65;2198,63;49,47;190,06;1853,58
U10741;SSNA;ST;23119,29;3032,48;2185,73;982,7;858,72;3750,65
U10812;SSNA;LT;19379,32;1118,06;1715,96;488,21;144,89;3745,34
U10812;SSNA;SV;23188,82;5165,84;2201,24;703,73;634,78;5787,58
U10812;SSNA;LA;20284,77;2049,63;1894,69;375,9;159,98;2854,4
U10812;SSNA;DP;41479;0;5808;0;65617;4,5
U10812;SSNA;SI;23141,24;2222,7;2110,2;759,31;613,15;5147,76
U10812;SSNA;DT;41342,91;0;7450,18;0;45459,27;0
U10812;SSNA;DS;41794,96;101,03;4986,61;144,14;29202,73;900,28
U10812;SSNA;DA;41473,3;130,99;5132,2;0;40533,91;0
U10812;SSNA;MD;41794,07;823,59;5619,07;776,08;32598,75;3132,61
U10812;SSNA;SF;23114,66;2175,52;2116,17;226,21;176,78;3073,31
U10812;SSNA;ST;23096,88;2066,18;2104,66;726,82;622,75;4108,18
U10812;SSNA;LP;23074,44;0;1936,33;0;0;278
U10812;SSNA;PS;41776,08;400,39;3973,92;0;20232,55;379,8
U10742;SSNA;MV;41776,44;2796,64;6163,12;500,96;40537,58;1789
U10742;SSNA;LT;18752,47;1402,19;1688,59;808,79;142,48;3541,29
U10742;SSNA;SV;23599,72;4956,49;2429,94;668,95;234,51;8567,26
U10742;SSNA;LA;19970,57;1241;1799,03;236,15;147,63;2522,57
U10742;SSNA;DP;41376;22,5;3848,5;0;15600;0
U10742;SSNA;SI;23074,27;4031,87;2272,53;959,13;613,24;4938,94
U10742;SSNA;DT;41507;0;3882,56;0;19590,15;0
U10742;SSNA;DS;41771,33;15,12;4768,73;1135;22469,81;1018,21
U10742;SSNA;DA;41479,33;4,33;4794,33;0;24461,56;12059
U10742;SSNA;MD;41768,93;1390,26;5681,64;1379,47;33927,35;3277,36
U10742;SSNA;SF;23238,7;2735,49;2194,71;2,94;181,73;2415,06
U10742;SSNA;ST;22703,64;3177,92;2186,62;2531,05;181,31;4176,96
U10742;SSNA;LP;23074;0;1936;0;162;2417
U10742;SSNA;PS;41779,33;0;4885;0;22549,33;0
U10740;SSNA;LT;18154,59;972,89;1657,61;256,32;217,34;5390,25
U10740;SSNA;LA;20318,21;2287,98;1986,11;136,77;178,73;5188,55
U10740;SSNA;DP;42052,32;0;6848,16;0;25607,04;25486,8
U10740;SSNA;SI;23062,8;2090,88;2147,35;176,58;632,12;6929,16
U10740;SSNA;DT;41605;0;4773;0;17298;8296
U10740;SSNA;DS;42073,06;264,37;5059,17;0;16164,03;9866,84
U10740;SSNA;DA;41659,86;0;7707,31;0;49483,45;32131,86
U10740;SSNA;MD;42122,76;696,61;5789,18;0;26967,21;10790,91
U10740;SSNA;SF;23083,2;2625,63;2160,79;32,77;185,28;3701,21
U10740;SSNA;ST;23147,3;2246,94;2184,21;55,13;862,9;6365,25
PU10744;SSNA;LT;18939,98;1118,73;1781,22;787,49;150,92;4254,46
PU10744;SSNA;LA;21096,93;2747,96;1974,83;129,93;161,38;3902,12
PU10744;SSNA;DP;41479;0;6406;0;72506;0
PU10744;SSNA;SI;23195,2;2617,7;2110,15;554,82;611,26;4746,79
PU10744;SSNA;DS;41661,41;165,62;4572,37;703;21547,61;1300,3
PU10744;SSNA;DA;41396,74;123,44;2763,81;0;53202,44;710
PU10744;SSNA;MD;41798,31;632,17;5185,51;1430,91;29451,34;3148,86
PU10744;SSNA;SF;23519,77;3813,67;2231,16;16,97;184,47;2487,76
PU10744;SSNA;ST;22835,16;2607,02;2073,4;1397,88;1143,28;4047,65
PU10744;SSNA;PS;41959;0;3621;0;3555;0
U10903;SSNA;LT;19290,77;2019,77;1812,98;5541,41;297,99;6891,73
U10903;SSNA;LA;20405,92;1953,21;1918,37;2821,18;191,95;3955,82
U10903;SSNA;DP;41604,5;0;4468,17;223;21113,17;6799,33
U10903;SSNA;SI;23097,09;3506,61;2371,22;4623,38;622,63;8211,26
U10903;SSNA;DT;41604,63;0;5926,53;0;38491,16;3,79
U10903;SSNA;DS;41779,34;38,52;4990,75;5340,34;17603,35;3133,35
