ISTITUZIONE;CONTRATTO;CATEGORIA_PARTENZA;QUALIFICA_PARTENZA;CATEGORIA_ARRIVO;QUALIFICA_ARRIVO;TIPO_PASSAGGIO;NUMERO_PASSAGGI
C7100;RALN;CC;046000;CC;097000;O;1
C7100;RALN;CC;0C1000;CC;042000;O;2
C6774;RALN;CB;0B7000;CB;0B7A00;O;1
C6774;RALN;CB;037492;CB;037493;O;1
C3061;RALN;CD;099000;CD;0D7000;O;1
C3705;PRBZ;CB;000724;CB;000723;O;1
C3705;PRBZ;CD;000718;CD;000717;O;1
C3705;PRBZ;CB;000726;CB;000725;O;2
C3705;PRBZ;CC;000722;CC;000721;O;4
C3705;PRBZ;CD;000716;CD;000715;O;1
C3705;PRBZ;CA;000728;CA;000727;O;2
C5843;RALN;CD;049000;CD;050000;O;4
C5843;RALN;CC;045000;CC;046000;O;1
C5843;RALN;CB;037492;CB;038490;O;9
C5843;RALN;CC;0C1000;CC;042000;O;4
C5843;RALN;CD;0D1000;CD;049000;O;2
C5843;RALN;CD;0D4000;CD;0D5000;O;3
C5843;RALN;CB;038491;CB;0B7000;O;1
C5843;RALN;CD;0D5000;CD;099000;O;9
C5843;RALN;CB;054000;CB;032000;O;3
C5843;RALN;CB;032000;CB;034000;O;3
C5843;RALN;CA;0A5000;CA;0A6000;O;1
C5843;RALN;CC;043000;CC;045000;O;38
C5843;RALN;CB;0B7A00;CB;0B8000;O;4
C5843;RALN;CB;037493;CB;038491;O;1
C5843;RALN;CA;027000;CA;028000;O;1
C5843;RALN;CD;099000;CD;0D7000;O;4
C5843;RALN;CD;050000;CD;0D4000;O;11
C5843;RALN;CC;046000;CC;097000;O;12
C5843;RALN;CB;034000;CB;036495;O;5
C5843;RALN;DI;0D0165;CD;099000;V;1
PA94;RALN;CB;0B7000;CB;0B8000;O;3
PA94;RALN;CC;046000;CC;097000;O;15
PA94;RALN;CB;0B7A00;CB;0B8000;O;2
C5244;RALN;CC;046000;CC;097000;O;1
C5244;RALN;CC;042000;CC;043000;O;2
C5244;RALN;CC;043000;CC;045000;O;1
C5244;RALN;CC;045000;CC;046000;O;1
C6351;RALN;CB;034000;CB;036495;O;1
C6351;RALN;CC;0C1000;CC;042000;O;4
C6351;RALN;CD;0D4000;CD;0D5000;O;1
C7209;RALN;CA;028000;CA;0A5000;O;2
C7209;RALN;CB;0B7A00;CC;0C1000;V;1
C7209;RALN;CA;0A5000;CA;0A6000;O;4
C7209;RALN;CB;032000;CC;0C1000;V;1
C7209;RALN;CC;046000;CC;097000;O;3
C7209;RALN;CB;032000;CB;034000;O;4
C7209;RALN;CA;025000;CB;054000;V;2
C7209;RALN;CA;025000;CA;027000;O;4
C7209;RALN;CD;0D4000;CD;0D5000;O;2
