ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C8150;RALN;CD;0D4000;C03;2;4
C5170;RALN;CD;0D4000;C03;2;2
C2317;RALN;CD;0D4000;C18;1;0
C4931;RALN;CD;0D4000;C99;0;3
CS9926;RALN;CD;0D4000;C99;0;1
C5170;RALN;CD;0D4000;C01;1;1
C661;RALN;CD;0D4000;C03;1;0
UC12348;RALN;CD;0D4000;C18;1;3
C1437;RALN;CD;0D4000;C99;0;1
C8218;RALN;CD;0D4000;C18;0;1
C6070;RALN;CD;0D4000;C21;1;0
C7288;RALN;CD;0D4000;C03;0;1
C5148;RALN;CD;0D4000;C99;0;1
C4409;RALN;CD;0D4000;C99;1;0
C3458;RALN;CD;0D4000;C03;0;1
C6345;RALN;CD;0D4000;C99;0;1
C3823;RALN;CD;0D4000;C03;0;1
C2648;RALN;CD;0D4000;C99;0;1
CM9098;RALN;CD;0D4000;C03;1;0
C960;RALN;CD;0D4000;C99;0;1
C1658;RALN;CD;0D4000;C03;0;3
C5041;RALN;CD;0D4000;C03;1;0
C6988;RALN;CD;0D4000;C19;1;0
C7297;RALN;CD;0D4000;C01;1;0
P9048;RALN;CD;0D4000;C01;1;0
D8373;RALN;CD;0D4000;C19;0;1
C5959;RALN;CD;0D4000;C25;0;1
C1658;RALN;CD;0D4000;C21;0;1
C6803;RALN;CD;0D4000;C03;0;1
IP10611;RALN;CD;0D4000;C27;0;1
C2379;RALN;CD;0D4000;C03;0;1
C3810;RALN;CD;0D4000;C01;0;1
C3292;RALN;CD;0D4000;C99;0;1
C5242;RALN;CD;0D4000;C18;0;1
C5439;RALN;CD;0D4000;C03;0;1
C5502;RALN;CD;0D4000;C18;0;1
C6158;RALN;CD;0D4000;C03;1;0
C3784;RALN;CD;0D4000;C18;1;0
CM12343;RALN;CD;0D4000;C19;1;2
R9205;RALN;CD;0D4000;C19;0;1
R9205;RALN;CD;0D4000;C03;3;7
V9719;RALN;CD;0D4000;C19;0;1
V9757;RALN;CD;0D4000;C21;0;1
R9205;RALN;CD;0D4000;C01;1;0
C5536;RALN;CD;0D4000;C99;0;1
C2900;RALN;CD;0D4000;C03;1;0
C4525;RALN;CD;0D4000;C18;1;0
C423;RALN;CD;0D4000;C03;0;1
C7120;RALN;CD;0D4000;C01;2;0
C5638;RALN;CD;0D4000;C99;1;0
C3765;RALN;CD;0D4000;C03;0;1
C5477;RALN;CD;0D4000;C18;1;0
N10728;RALN;CD;0D4000;C19;1;0
V9719;RALN;CD;0D4000;C18;0;3
C8266;RALN;CD;0D4000;C03;0;2
C4645;RALN;CD;0D4000;C01;1;0
C1271;RALN;CD;0D4000;C01;2;0
C8020;RALN;CD;0D4000;C01;1;0
C1271;RALN;CD;0D4000;C03;1;0
C528;RALN;CD;0D4000;C03;0;1
R9194;RALN;CD;0D4000;C03;5;2
C3254;RALN;CD;0D4000;C03;1;0
R9194;RALN;CD;0D4000;C99;3;1
C6316;RALN;CD;0D4000;C18;0;1
C4694;RALN;CD;0D4000;C18;1;0
R9194;RALN;CD;0D4000;C21;6;3
C7537;RALN;CD;0D4000;C03;1;0
T9311;RALN;CD;0D4000;C18;1;0
R9194;RALN;CD;0D4000;C18;0;1
C4660;RALN;CD;0D4000;C01;0;1
C5917;RALN;CD;0D4000;C01;2;0
